,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,0,1,2,3,4,5
Timestamp,,,,,,
1709753310000,0.0,,,,,
1709753315000,0.0,,,,,
1709753320000,456.6333333333,,,,,
1709753325000,963.6166666666,,,,,
1709753330000,963.6166666666,,,,,
1709753335000,963.6166666666,,,,,
1709753340000,1686.4333333332997,,,,,
1709753345000,3466.21666667,,,,,
1709753350000,6125.91666667,,,,,
1709753355000,9502.85,,,,,
1709753360000,12195.06666666,,,,,
1709753365000,14706.98333333,,,,,
1709753370000,18065.16666666,,,,,
1709753375000,20216.63333333,,,,,
1709753380000,22463.15,,,,,
1709753385000,24521.05,,,,,
1709753390000,26941.383333330003,,,,,
1709753395000,29976.4,,,,,
1709753400000,32055.98333333,,,,,
1709753405000,32806.38333333,,,,,
1709753410000,33488.38333333,,,,,
1709753415000,32678.883333330003,,,,,
1709753420000,32828.2,,,,,
1709753425000,32645.433333330002,,,,,
1709753430000,33135.35,,,,,
1709753435000,34108.25,,,,,
1709753440000,33591.86666666,,,,,
1709753445000,34129.03333333,,,,,
1709753450000,34960.03333333,,,,,
1709753455000,35248.3,,,,,
1709753460000,35390.85,,,,,
1709753465000,36508.88333333,,,,,
1709753470000,35866.11666666,,,,,
1709753475000,36499.0,,,,,
1709753480000,36816.91666666,,,,,
1709753485000,37086.0,,,,,
1709753490000,36597.0,,,,,
1709753495000,36683.2,,,,,
1709753500000,37798.66666666,,,,,
1709753505000,37229.41666666,,,,,
1709753510000,37403.5,,,,,
1709753515000,37044.216666659995,,,,,
1709753520000,36912.11666666,,,,,
1709753525000,36766.58333333,,,,,
1709753530000,37308.61666666,,,,,
1709753535000,36716.733333330005,,,,,
1709753540000,36659.56666666,,,,,
1709753545000,37114.03333333,,,,,
1709753550000,36584.06666666,,,,,
1709753555000,36897.58333333,,,,,
1709753560000,36821.41666666,,,,,
1709753565000,36067.81666666,,,,,
1709753570000,34375.76666666,,,,,
1709753575000,35382.25,,,,,
1709753580000,35846.983333330005,,,,,
1709753585000,36666.966666659995,,,,,
1709753590000,37082.26666666,,,,,
1709753595000,37884.5,,,,,
1709753600000,36768.08333333,,,,,
1709753605000,36748.88333333,,,,,
1709753610000,37779.733333330005,,,,,
1709753615000,36787.1,,,,,
1709753620000,36989.05,,,,,
1709753625000,38871.733333330005,,,,,
1709753630000,40262.11666666,,,,,
1709753635000,39963.28333333,,,,,
1709753640000,40041.2,,,,,
1709753645000,38661.13333333,,,,,
1709753650000,38523.95,,,,,
1709753655000,38333.216666659995,,,,,
1709753660000,38945.05,,,,,
1709753665000,38560.55,,,,,
1709753670000,37956.58333333,,,,,
1709753675000,38839.53333333,,,,,
1709753680000,38202.8,,,,,
1709753685000,,,,,,
1709753730000,0.0,0.0,,,,
1709753735000,0.0,0.0,,,,
1709753740000,140.7666666666,100.7333333333,,,,
1709753745000,849.9,498.35,,,,
1709753750000,1889.9166666666,1096.2666666666,,,,
1709753755000,2386.2,1335.1166666666,,,,
1709753760000,5658.56666667,3009.8,,,,
1709753765000,9745.883333329999,5023.01666667,,,,
1709753770000,12317.16666666,6219.116666670001,,,,
1709753775000,12868.516666659998,6542.45,,,,
1709753780000,15379.2,7715.35,,,,
1709753785000,17750.483333329998,9001.61666666,,,,
1709753790000,20980.266666659998,10544.46666666,,,,
1709753795000,23643.516666659998,11958.7,,,,
1709753800000,26305.583333330003,13169.5,,,,
1709753805000,29221.5,14427.383333329999,,,,
1709753810000,31568.91666666,15595.8,,,,
1709753815000,34781.36666666,17157.5,,,,
1709753820000,34320.716666659995,16825.78333333,,,,
1709753825000,33468.91666666,16397.13333333,,,,
1709753830000,34332.966666659995,16868.483333329998,,,,
1709753835000,36233.56666666,17801.66666666,,,,
1709753840000,37009.1,18257.7,,,,
1709753845000,38099.733333330005,18637.11666666,,,,
1709753850000,37082.5,18155.95,,,,
1709753855000,37896.716666659995,18423.8,,,,
1709753860000,38610.8,18650.266666659998,,,,
1709753865000,37755.45,18420.15,,,,
1709753870000,36349.08333333,17646.13333333,,,,
1709753875000,36321.91666666,17620.83333333,,,,
1709753880000,36622.466666659995,17741.65,,,,
1709753885000,35201.13333333,17117.41666666,,,,
1709753890000,34944.75,16992.91666666,,,,
1709753895000,35581.11666666,17271.316666659997,,,,
1709753900000,34110.06666666,16470.35,,,,
1709753905000,33286.91666666,15965.08333333,,,,
1709753910000,33358.4,16145.266666659998,,,,
