,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs
,Timestamps_Watermarks____Map,TumblingEventTimeWindows____Timestamps_Watermarks,Sink:_Sink,Source:_Source1,Source:_Source2,Timestamps_Watermarks____Map,TumblingEventTimeWindows____Timestamps_Watermarks,Sink:_Sink,Source:_Source1,Source:_Source2,Timestamps_Watermarks____Map,TumblingEventTimeWindows____Timestamps_Watermarks,Sink:_Sink,Source:_Source1,Source:_Source2
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timestamp,,,,,,,,,,,,,,,
1736613105000,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,259.0,12041000.0,-9.223372036854775e+18,-9.223372036854775e+18
1736613110000,9.0,21.0,1.0,0.0,0.0,11.0,1.0,0.0,4.0,9.0,218412000.0,342.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736613115000,0.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,2387.0,8927000.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736613120000,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,793.0,985000.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736613125000,10.0,19.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,10.0,36190000.0,806000.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736613130000,9.0,19.0,0.0,0.0,0.0,10.0,0.0,0.0,9.0,9.0,26316000.0,243.0,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736613135000,9.0,19.0,0.0,0.0,0.0,10.0,0.0,0.0,9.0,9.0,28458000.0,150.0,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736613140000,9.0,19.0,0.0,0.0,0.0,10.0,0.0,0.0,9.0,9.0,40752000.0,126.0,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736613145000,9.0,21.0,0.0,0.0,0.0,11.0,0.0,0.0,9.0,9.0,36.0,154.0,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736613150000,9.0,20.0,0.0,0.0,0.0,10.0,0.0,0.0,9.0,9.0,12.0,130.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736613155000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,507.0,118.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736613160000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,7443000.0,118.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736613165000,8.0,19.0,0.0,0.0,0.0,10.0,0.0,0.0,9.0,8.0,6111000.0,5730.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736613170000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,10539000.0,155.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736613175000,9.0,19.0,2.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,2304000.0,155.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736613180000,9.0,19.0,2.0,0.0,0.0,10.0,2.0,0.0,9.0,9.0,2304000.0,155.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736613185000,9.0,20.0,0.0,0.0,0.0,10.0,0.0,0.0,9.0,9.0,6.0,202.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736613190000,9.0,19.0,2.0,0.0,0.0,10.0,2.0,0.0,9.0,9.0,24417000.0,154.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736613195000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,2304000.0,154.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736613200000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,2304000.0,292.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736613205000,9.0,19.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,9.0,3.0,375.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736613210000,9.0,19.0,0.0,0.0,0.0,10.0,0.0,0.0,9.0,9.0,7551000.0,120.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736613215000,9.0,19.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,9.0,4.0,125.0,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736613220000,9.0,19.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,9.0,27.0,770.0,862.0,-9.223372036854775e+18,-9.223372036854775e+18
