,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks
,0,1,2,3,4,5,6,7
Timestamp,,,,,,,,
1737113445000,21965.93333333,20864.266666659998,21952.36666666,20635.78333333,,,,
1737113450000,21109.28333333,21669.83333333,21180.25,21552.85,,,,
1737113455000,21204.71666666,21726.56666666,21156.03333333,21627.15,,,,
1737113460000,21847.53333333,22236.21666666,21553.68333333,22104.78333333,,,,
1737113465000,22756.53333333,21912.31666666,22817.41666666,21789.95,,,,
1737113470000,20971.43333333,18083.53333333,20898.03333333,17991.95,,,,
1737113475000,17682.71666666,16960.36666666,17625.483333329998,16863.25,,,,
1737113480000,16544.78333333,16224.85,16529.21666666,16120.7,,,,
1737113485000,16486.33333333,17236.8,16374.25,17016.88333333,,,,
1737113490000,17800.66666666,18246.8,17770.96666666,18145.16666666,,,,
1737113495000,,,,,,,,
1737113520000,0.0,0.0,0.0,0.0,0.0,0.0,,
1737113525000,1295.7666666666,0.0,0.0,1380.8166666666,0.0,0.0,,
1737113530000,3589.83333333,913.8333333333,837.6666666666,3739.03333333,1848.9666666666,1798.6166666666,,
1737113535000,5039.65,3427.55,3155.3666666666,5244.48333333,4119.68333333,4013.2,,
1737113540000,7968.08333333,5083.66666667,4856.96666667,8173.0,5713.46666667,5420.18333333,,
1737113545000,10175.76666666,7940.18333333,7677.21666666,10107.55,8984.93333333,8622.23333333,,
1737113550000,13230.51666666,10152.16666666,9678.9,13456.25,10984.46666666,10708.86666666,,
1737113555000,15246.78333333,13324.38333333,12848.36666666,15212.48333333,13820.8,13397.71666666,,
1737113560000,16193.91666666,15274.9,14795.36666666,16171.15,15141.03333333,14742.56666666,,
1737113565000,17259.03333333,16242.86666666,15750.58333333,17223.08333333,16093.45,15679.55,,
1737113570000,18139.08333333,17298.38333333,16739.28333333,18116.4,17194.11666666,16692.23333333,,
1737113575000,19199.65,18198.2,17619.76666666,19188.78333333,18265.93333333,17797.33333333,,
1737113580000,20229.25,19273.56666666,18654.91666666,20434.1,19581.65,18865.41666666,,
1737113585000,20200.86666666,20325.15,19660.06666666,20191.65,21110.23333333,20542.15,,
1737113590000,19198.6,20613.35,19781.23333333,19164.01666666,20304.95,19783.6,,
1737113595000,19096.26666666,19258.88333333,18697.08333333,18890.26666666,19038.58333333,18544.06666666,,
1737113600000,16459.23333333,19117.95,18409.8,16236.45,18294.15,17976.08333333,,
1737113605000,16671.91666666,16579.3,16058.83333333,16741.7,15364.88333333,15185.3,,
1737113610000,16217.75,16478.91666666,15956.23333333,16041.71666666,16539.5,16108.5,,
1737113615000,17633.16666666,16271.51666666,15634.71666666,17640.13333333,16389.18333333,15958.15,,
1737113620000,19310.3,17701.15,16987.31666666,19320.88333333,18196.96666666,17683.18333333,,
1737113625000,19285.16666666,19409.01666666,18759.41666666,19335.16666666,19227.76666666,18733.38333333,,
1737113630000,19267.73333333,19435.9,18816.43333333,19261.33333333,19188.48333333,18751.23333333,,
1737113635000,19133.9,19348.1,18728.91666666,19115.8,19153.68333333,18449.2,,
1737113640000,19204.86666666,19203.01666666,18583.65,18967.21666666,18768.81666666,18500.63333333,,
1737113645000,18752.8,19253.78333333,18650.13333333,18878.7,18697.81666666,18097.83333333,,
1737113650000,18805.88333333,18922.71666666,18505.5,18682.03333333,18830.91666666,18253.13333333,,
1737113655000,18607.65,18711.71666666,18416.31666666,18588.61666666,18901.35,18367.45,,
1737113660000,19750.86666666,18522.55,18057.5,19737.33333333,18908.56666666,18418.6,,
1737113665000,18346.25,19757.6,18961.31666666,18325.2,19584.13333333,18990.66666666,,
1737113670000,16066.48333333,18760.4,18191.05,15984.51666666,17436.2,16990.38333333,,
1737113675000,14794.15,16100.13333333,15734.13333333,14786.55,15060.5,14742.7,,
1737113680000,14254.66666666,14832.85,14380.56666666,14393.28333333,14769.93333333,14333.58333333,,
1737113685000,16869.71666666,14117.6,13631.31666666,16826.55,15071.466666659999,14556.966666659999,,
1737113690000,18533.35,16811.2,16055.58333333,18506.38333333,17753.45,17207.16666666,,
1737113695000,18477.88333333,18584.21666666,17978.35,18544.33333333,18254.41666666,17918.75,,
1737113700000,18485.733333329998,18622.88333333,18037.233333329998,18495.25,18546.65,17916.61666666,,
1737113705000,18890.86666666,18565.28333333,17953.816666659997,18725.733333329998,18412.75,17912.45,,
1737113710000,19020.65,18974.816666659997,18163.13333333,19132.983333329998,18603.35,18226.25,,
1737113715000,19079.05,19245.11666666,18324.45,19065.71666666,18452.93333333,18029.53333333,,
1737113720000,18633.55,19339.7,18665.71666666,18618.983333329998,18574.516666659998,18087.95,,
1737113725000,18772.68333333,18779.71666666,18325.83333333,18836.3,18526.58333333,18057.983333329998,,
1737113730000,19382.2,18901.8,18401.38333333,19406.08333333,18739.16666666,18248.66666666,,
1737113735000,17559.28333333,19478.45,18875.316666659997,17529.53333333,19305.25,18822.13333333,,
1737113740000,18407.38333333,17672.78333333,17218.46666666,18243.25,17218.1,16856.4,,
1737113745000,17567.46666666,18479.9,17741.816666659997,17769.38333333,18205.35,17878.36666666,,
1737113750000,17371.45,17693.13333333,17336.63333333,17397.65,17612.4,17059.96666666,,
1737113755000,19521.9,17112.8,16384.25,19415.03333333,17968.85,17484.68333333,,
1737113760000,19495.566666659997,19507.45,18871.41666666,19487.66666666,19001.36666666,18881.4,,
1737113765000,19343.11666666,19578.55,18964.08333333,19233.15,19000.88333333,18662.91666666,,
1737113770000,18848.983333329998,19331.066666659997,18939.46666666,18682.75,18672.5,18176.7,,
1737113775000,,19106.766666659998,18594.83333333,,,,,
1737113780000,,,,,,,,
1737113800000,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
1737113805000,0.0,620.0333333333,621.5666666666,0.0,0.0,0.0,0.0,0.0
1737113810000,641.8,1950.1166666666,1935.1,553.4,534.8833333333,828.5166666666,831.45,635.35
1737113815000,2000.7,3522.4,3502.58333333,1810.6166666666,1803.05,2303.65,2259.4833333333,2281.0
1737113820000,4087.21666667,6233.96666667,6188.95,3322.1,3201.9,4509.28333333,4455.76666667,4189.2
1737113825000,6614.65,8443.48333333,8378.95,6007.35,5834.56666667,6942.63333333,6852.18333333,6801.06666666
1737113830000,8456.8,9404.9,9327.83333333,8423.91666666,8378.6,8716.51666666,8576.71666666,8654.66666666
1737113835000,9685.71666666,10573.65,10508.96666666,9151.98333333,9318.11666666,9947.25,9753.68333333,9848.13333333
1737113840000,10641.65,11379.96666666,11275.35,10375.16666666,10173.75,10668.56666666,10454.85,10595.55
1737113845000,11371.13333333,12403.6,12325.35,11354.81666666,11280.38333333,11826.48333333,11606.43333333,11579.23333333
1737113850000,12721.88333333,13551.61666666,13436.65,12081.26666666,12004.7,12797.41666666,12549.21666666,12722.21666666
1737113855000,13567.41666666,14452.2,14332.38333333,13518.73333333,13445.2,13574.93333333,13471.38333333,13495.98333333
1737113860000,14900.66666666,15845.8,15713.4,14202.93333333,14124.8,15130.05,14836.75,15006.81666666
1737113865000,15878.31666666,15949.33333333,15672.96666666,15700.95,15457.03333333,15877.01666666,15796.03333333,15785.41666666
1737113870000,15806.46666666,15638.98333333,15539.86666666,15839.16666666,15768.13333333,16143.85,15853.36666666,15964.06666666
1737113875000,15865.11666666,14648.11666666,14504.53333333,15621.5,15532.26666666,15580.1,15275.2,15498.45
1737113880000,14084.63333333,14013.88333333,13891.63333333,14807.28333333,14827.56666666,13932.73333333,13658.5,13908.66666666
1737113885000,14332.86666666,14329.51666666,14230.83333333,13913.55,13815.53333333,14045.81666666,13722.3,14076.23333333
1737113890000,14523.01666666,16009.15,15919.03333333,14050.91666666,13805.16666666,14919.21666666,14631.23333333,14529.03333333
1737113895000,16282.35,16774.4,16631.28333333,16010.75,15708.08333333,16666.46666666,16340.45,16238.31666666
1737113900000,16725.45,16748.96666666,16615.55,16917.85,16982.06666666,16963.58333333,16613.93333333,16645.95
1737113905000,17514.23333333,17222.98333333,17054.28333333,16707.23333333,16629.68333333,17099.61666666,16753.3,17188.38333333
1737113910000,16913.31666666,17023.61666666,16715.91666666,17477.71666666,17384.56666666,16881.61666666,16543.4,16792.46666666
1737113915000,17179.21666666,17095.73333333,16964.55,16760.06666666,16668.55,17631.9,17128.4,17238.23333333
1737113920000,17113.45,16776.45,16636.86666666,17107.7,17013.65,16930.75,16590.65,16862.91666666
1737113925000,16744.46666666,17033.21666666,17019.95,16848.11666666,16911.01666666,17044.21666666,16483.01666666,16716.81666666
1737113930000,17468.85,17311.88333333,17131.41666666,16898.95,16808.5,17169.73333333,16794.15,17352.81666666
1737113935000,17046.93333333,17631.1,17313.4,17326.48333333,17096.33333333,17078.78333333,16745.76666666,16988.53333333
1737113940000,17821.25,16046.15,15917.68333333,17379.96666666,17275.86666666,17715.31666666,17333.23333333,17858.35
1737113945000,15391.73333333,15885.5,15738.5,16286.18333333,16160.33333333,15870.61666666,15560.88333333,15610.55
1737113950000,16132.0,16240.98333333,16084.1,15835.65,15845.83333333,16063.91666666,15709.2,15955.48333333
1737113955000,16226.7,15971.98333333,15788.25,16180.63333333,15973.86666666,15688.96666666,15371.65,15982.6
1737113960000,16643.98333333,17335.1,17198.86666666,15632.88333333,15376.06666666,16919.9,16639.73333333,16773.7
1737113965000,16600.73333333,16932.48333333,16806.48333333,17306.75,17210.98333333,16987.26666666,16709.21666666,16535.95
