,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond
,0,1,2,3,4,5,6,7
Timestamp,,,,,,,,
1707950370000,757.0,,,,,,,
1707950375000,378.0,,,,,,,
1707950380000,240.0,,,,,,,
1707950385000,173.0,,,,,,,
1707950390000,141.0,,,,,,,
1707950395000,193.0,,,,,,,
1707950400000,297.0,,,,,,,
1707950405000,360.0,,,,,,,
1707950410000,431.0,,,,,,,
1707950415000,486.0,,,,,,,
1707950420000,533.0,,,,,,,
1707950425000,572.0,,,,,,,
1707950430000,592.0,,,,,,,
1707950435000,675.0,,,,,,,
1707950440000,762.0,,,,,,,
1707950445000,848.0,,,,,,,
1707950450000,930.0,,,,,,,
1707950455000,975.0,,,,,,,
1707950460000,982.0,,,,,,,
1707950465000,999.0,,,,,,,
1707950470000,999.0,,,,,,,
1707950475000,1000.0,,,,,,,
1707950480000,1000.0,,,,,,,
1707950485000,1000.0,,,,,,,
1707950490000,1000.0,,,,,,,
1707950495000,1000.0,,,,,,,
1707950500000,1000.0,,,,,,,
1707950505000,1000.0,,,,,,,
1707950510000,1000.0,,,,,,,
1707950515000,1000.0,,,,,,,
1707950520000,1000.0,,,,,,,
1707950525000,1000.0,,,,,,,
1707950530000,1000.0,,,,,,,
1707950535000,1000.0,,,,,,,
1707950540000,1000.0,,,,,,,
1707950545000,1000.0,,,,,,,
1707950550000,1000.0,,,,,,,
1707950555000,1000.0,,,,,,,
1707950560000,1000.0,,,,,,,
1707950565000,1000.0,,,,,,,
1707950570000,1000.0,,,,,,,
1707950575000,1000.0,,,,,,,
1707950580000,1000.0,,,,,,,
1707950585000,1000.0,,,,,,,
1707950590000,1000.0,,,,,,,
1707950595000,1000.0,,,,,,,
1707950600000,1000.0,,,,,,,
