Timestamp,"('flink_taskmanager_job_task_numRecordsInPerSecond', 0)","('flink_taskmanager_job_task_numRecordsInPerSecond', 1)","('flink_taskmanager_job_task_numRecordsInPerSecond', 2)","('flink_taskmanager_job_task_numRecordsInPerSecond', 3)","('flink_taskmanager_job_task_numRecordsInPerSecond', 4)","('flink_taskmanager_job_task_numRecordsInPerSecond', 5)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 0)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 1)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 2)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 3)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 4)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 5)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 0)",flink_jobmanager_job_lastCheckpointSize,flink_jobmanager_job_lastCheckpointDuration,Parallelism
0,0.0,,,,,,,,,,,,0.0,-1.0,-1.0,1
5,0.0,,,,,,1000.0,,,,,,0.0,1381.0,14.0,1
10,0.0,,,,,,35.0,,,,,,0.0,1381.0,11.0,1
15,0.0,,,,,,0.0,,,,,,0.0,1381.0,367.0,1
20,122.9,,,,,,92.0,,,,,,0.0,1381.0,41.0,1
25,796.7833333333,,,,,,200.0,,,,,,0.0,1381.0,16.0,1
30,1542.4833333333,,,,,,243.0,,,,,,53.0,1381.0,391.0,1
35,3404.4,,,,,,369.0,,,,,,204.0,1381.0,375.0,1
40,5279.23333333,,,,,,460.0,,,,,,313.0,1381.0,357.0,1
45,7152.78333333,,,,,,527.0,,,,,,393.0,1381.0,373.0,1
50,8914.01666666,,,,,,580.0,,,,,,457.0,1381.0,370.0,1
55,10824.96666666,,,,,,622.0,,,,,,507.0,1381.0,369.0,1
60,12532.98333333,,,,,,656.0,,,,,,546.0,1381.0,358.0,1
65,14333.61666666,,,,,,685.0,,,,,,580.0,1381.0,366.0,1
70,16221.51666666,,,,,,765.0,,,,,,658.0,1381.0,402.0,1
75,18119.81666666,,,,,,852.0,,,,,,739.0,1381.0,358.0,1
80,19830.68333333,,,,,,912.0,,,,,,818.0,1381.0,340.0,1
85,21021.9,,,,,,952.0,,,,,,897.0,1381.0,350.0,1
90,21868.25,,,,,,1000.0,,,,,,956.0,1381.0,375.0,1
95,21886.05,,,,,,1000.0,,,,,,957.0,1381.0,350.0,1
100,21904.11666666,,,,,,1000.0,,,,,,957.0,1381.0,385.0,1
105,21949.61666666,,,,,,1000.0,,,,,,955.0,1381.0,337.0,1
110,22157.56666666,,,,,,1000.0,,,,,,956.0,1381.0,331.0,1
115,22212.8,,,,,,1000.0,,,,,,956.0,1381.0,358.0,1
120,22462.05,,,,,,1000.0,,,,,,958.0,1381.0,340.0,1
