,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs
,Source:_Source,Map,Map,Map,Map,Map,Map,Map,Sink:_Sink,Source:_Source,Map,Map,Map,Map,Map,Map,Map,Sink:_Sink,Source:_Source,Map,Map,Map,Map,Map,Map,Map,Sink:_Sink
,0,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,0
Timestamp,,,,,,,,,,,,,,,,,,,,,,,,,,,
1722245095000,0.0,8.0,8.0,9.0,,,,,1.0,13.0,1.0,1.0,1.0,,,,,0.0,-9.223372036854775e+18,201.0,268.0,437.0,,,,,0.0
1722245100000,0.0,4.0,4.0,9.0,,,,,1.0,13.0,1.0,1.0,1.0,,,,,0.0,-9.223372036854775e+18,134.0,134.0,402.0,,,,,0.0
1722245105000,0.0,8.0,3.0,9.0,,,,,1.0,13.0,1.0,1.0,2.0,,,,,0.0,-9.223372036854775e+18,603.0,201.0,404.0,,,,,0.0
1722245110000,0.0,8.0,2.0,8.0,,,,,1.0,13.0,1.0,7.0,1.0,,,,,0.0,-9.223372036854775e+18,268.0,100.0,482.0,,,,,0.0
1722245115000,0.0,8.0,8.0,9.0,,,,,1.0,13.0,1.0,1.0,2.0,,,,,0.0,-9.223372036854775e+18,268.0,268.0,402.0,,,,,0.0
1722245120000,0.0,3.0,4.0,9.0,,,,,1.0,13.0,1.0,1.0,1.0,,,,,0.0,-9.223372036854775e+18,100.0,134.0,471.0,,,,,0.0
1722245125000,0.0,3.0,1.0,9.0,,,,,10.0,10.0,10.0,1.0,2.0,,,,,0.0,-9.223372036854775e+18,88941000.0,33.0,606.0,,,,,2.0
1722245130000,,,,,,,,,,,,,,,,,,,,,,,,,,,
1722245160000,0.0,3.0,0.0,0.0,0.0,,,,2.0,9.0,2.0,0.0,0.0,0.0,,,,0.0,-9.223372036854775e+18,5360.0,0.0,0.0,0.0,,,,17972000.0
1722245165000,0.0,2.0,9.0,4.0,1.0,,,,1.0,13.0,1.0,1.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,36.0,1064.0,120.0,40.0,,,,0.0
1722245170000,0.0,6.0,9.0,5.0,9.0,,,,1.0,16.0,1.0,1.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,281.0,402.0,167.0,442.0,,,,0.0
1722245175000,0.0,8.0,7.0,5.0,9.0,,,,1.0,15.0,1.0,1.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,235.0,134.0,167.0,442.0,,,,0.0
1722245180000,0.0,9.0,9.0,8.0,9.0,,,,1.0,15.0,1.0,1.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,361.0,442.0,703.0,370.0,,,,0.0
1722245185000,0.0,9.0,8.0,8.0,9.0,,,,1.0,14.0,1.0,1.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,361.0,269.0,234.0,404.0,,,,0.0
1722245190000,0.0,2.0,9.0,5.0,9.0,,,,10.0,15.0,9.0,1.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,202.0,335.0,167.0,448.0,,,,0.0
1722245195000,0.0,8.0,6.0,9.0,9.0,,,,1.0,15.0,1.0,9.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,268.0,120.0,301.0,404.0,,,,0.0
1722245200000,0.0,5.0,9.0,6.0,9.0,,,,1.0,15.0,1.0,1.0,10.0,1.0,,,,0.0,-9.223372036854775e+18,241.0,323.0,1004.0,437.0,,,,0.0
1722245205000,0.0,6.0,8.0,5.0,9.0,,,,1.0,15.0,1.0,1.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,201.0,522.0,167.0,666.0,,,,0.0
1722245210000,0.0,4.0,0.0,1.0,9.0,,,,10.0,16.0,10.0,1.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,289.0,32.0,33.0,512.0,,,,0.0
1722245215000,0.0,8.0,6.0,4.0,9.0,,,,1.0,15.0,1.0,10.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,321.0,404.0,167.0,404.0,,,,0.0
1722245220000,0.0,6.0,8.0,8.0,9.0,,,,1.0,15.0,1.0,1.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,202.0,330.0,207529000.0,536.0,,,,0.0
1722245225000,0.0,8.0,9.0,7.0,9.0,,,,1.0,15.0,1.0,1.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,321.0,442.0,269.0,448.0,,,,0.0
1722245230000,0.0,3.0,9.0,7.0,9.0,,,,5.0,15.0,5.0,1.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,234.0,335.0,167.0,482.0,,,,0.0
1722245235000,0.0,8.0,9.0,9.0,9.0,,,,1.0,15.0,1.0,1.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,268.0,603.0,167.0,707.0,,,,0.0
1722245240000,0.0,9.0,9.0,6.0,8.0,,,,1.0,14.0,1.0,1.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,301.0,402.0,177882000.0,257.0,,,,0.0
1722245245000,0.0,8.0,9.0,7.0,9.0,,,,1.0,15.0,1.0,1.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,301.0,368.0,200.0,484.0,,,,0.0
1722245250000,0.0,6.0,9.0,8.0,9.0,,,,5.0,15.0,5.0,1.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,234.0,363.0,201.0,482.0,,,,0.0
1722245255000,0.0,8.0,6.0,6.0,9.0,,,,1.0,14.0,1.0,3.0,1.0,2.0,,,,0.0,-9.223372036854775e+18,269.0,100.0,167.0,482.0,,,,0.0
1722245260000,0.0,8.0,7.0,8.0,9.0,,,,1.0,15.0,1.0,1.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,268.0,350.0,234.0,484.0,,,,0.0
1722245265000,0.0,7.0,8.0,8.0,9.0,,,,1.0,15.0,1.0,2.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,234.0,234.0,321.0,471.0,,,,0.0
1722245270000,0.0,5.0,7.0,9.0,9.0,,,,5.0,15.0,5.0,2.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,202.0,234.0,234.0,435.0,,,,0.0
1722245275000,0.0,9.0,6.0,7.0,9.0,,,,1.0,15.0,1.0,10.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,361.0,154.0,269.0,402.0,,,,0.0
1722245280000,0.0,9.0,9.0,8.0,9.0,,,,1.0,15.0,1.0,1.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,268.0,363.0,904.0,370.0,,,,0.0
1722245285000,0.0,9.0,9.0,8.0,9.0,,,,1.0,13.0,1.0,2.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,301.0,361.0,268.0,368.0,,,,0.0
1722245290000,0.0,5.0,8.0,9.0,9.0,,,,7.0,15.0,7.0,1.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,235.0,234.0,361.0,484.0,,,,0.0
1722245295000,0.0,9.0,5.0,9.0,9.0,,,,1.0,15.0,1.0,10.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,361.0,505.0,268.0,435.0,,,,0.0
1722245300000,0.0,8.0,9.0,9.0,9.0,,,,1.0,15.0,1.0,1.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,268.0,285.0,1191.0,402.0,,,,0.0
1722245305000,0.0,8.0,9.0,8.0,9.0,,,,1.0,15.0,1.0,2.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,268.0,349.0,301.0,435.0,,,,0.0
1722245310000,0.0,5.0,8.0,9.0,9.0,,,,3.0,15.0,3.0,1.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,321.0,321.0,276.0,522.0,,,,0.0
1722245315000,0.0,8.0,4.0,9.0,9.0,,,,1.0,14.0,1.0,10.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,361.0,201.0,301.0,435.0,,,,0.0
1722245320000,0.0,9.0,8.0,8.0,9.0,,,,1.0,14.0,1.0,1.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,301.0,301.0,237176000.0,404.0,,,,0.0
1722245325000,0.0,8.0,4.0,6.0,9.0,,,,1.0,15.0,1.0,1.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,268.0,185.0,225.0,470.0,,,,0.0
1722245330000,0.0,6.0,7.0,6.0,9.0,,,,1.0,15.0,1.0,1.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,361.0,281.0,268.0,425.0,,,,0.0
1722245335000,0.0,9.0,9.0,6.0,9.0,,,,1.0,13.0,1.0,1.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,361.0,133.0,201.0,375.0,,,,0.0
1722245340000,0.0,9.0,9.0,7.0,9.0,,,,1.0,15.0,1.0,1.0,1.0,2.0,,,,0.0,-9.223372036854775e+18,361.0,301.0,1368.0,402.0,,,,0.0
1722245345000,0.0,9.0,7.0,8.0,8.0,,,,1.0,14.0,1.0,1.0,1.0,2.0,,,,0.0,-9.223372036854775e+18,301.0,281.0,234.0,368.0,,,,0.0
1722245350000,0.0,4.0,7.0,6.0,9.0,,,,9.0,15.0,9.0,1.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,143.0,234.0,281.0,562.0,,,,0.0
1722245355000,0.0,8.0,6.0,9.0,9.0,,,,1.0,15.0,1.0,10.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,361.0,39.0,335.0,435.0,,,,0.0
1722245360000,0.0,7.0,9.0,9.0,9.0,,,,1.0,15.0,1.0,1.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,235.0,437.0,1004.0,335.0,,,,0.0
1722245365000,0.0,2.0,9.0,8.0,9.0,,,,1.0,14.0,1.0,1.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,57.0,269.0,234.0,723.0,,,,0.0
1722245370000,0.0,4.0,8.0,9.0,9.0,,,,10.0,15.0,10.0,3.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,108.0,321.0,301.0,565.0,,,,1.0
1722245375000,0.0,8.0,6.0,4.0,9.0,,,,1.0,15.0,1.0,10.0,1.0,2.0,,,,0.0,-9.223372036854775e+18,234.0,166.0,66.0,562.0,,,,0.0
1722245380000,0.0,6.0,8.0,6.0,9.0,,,,1.0,15.0,1.0,1.0,1.0,2.0,,,,0.0,-9.223372036854775e+18,201.0,377.0,118588000.0,603.0,,,,0.0
1722245385000,0.0,7.0,7.0,8.0,9.0,,,,1.0,15.0,1.0,2.0,1.0,2.0,,,,0.0,-9.223372036854775e+18,281.0,201.0,361.0,469.0,,,,0.0
1722245390000,0.0,5.0,9.0,7.0,9.0,,,,3.0,14.0,3.0,1.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,321.0,268.0,303.0,541.0,,,,0.0
1722245395000,0.0,8.0,4.0,7.0,9.0,,,,1.0,15.0,1.0,10.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,268.0,392.0,281.0,522.0,,,,0.0
1722245400000,0.0,7.0,9.0,8.0,9.0,,,,1.0,15.0,1.0,1.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,167.0,269.0,351.0,502.0,,,,0.0
1722245405000,0.0,9.0,4.0,8.0,9.0,,,,1.0,14.0,1.0,2.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,268.0,201.0,267.0,402.0,,,,0.0
1722245410000,0.0,5.0,4.0,8.0,9.0,,,,7.0,15.0,7.0,1.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,203.0,234.0,317.0,522.0,,,,0.0
1722245415000,0.0,9.0,6.0,9.0,9.0,,,,1.0,15.0,1.0,10.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,361.0,257.0,319.0,482.0,,,,0.0
1722245420000,0.0,8.0,8.0,9.0,9.0,,,,1.0,15.0,1.0,1.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,268.0,301.0,1004.0,435.0,,,,0.0
1722245425000,0.0,8.0,6.0,9.0,9.0,,,,1.0,15.0,1.0,2.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,268.0,172.0,343.0,522.0,,,,0.0
1722245430000,0.0,5.0,7.0,7.0,9.0,,,,5.0,15.0,5.0,1.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,234.0,201.0,201.0,522.0,,,,0.0
1722245435000,0.0,8.0,6.0,6.0,9.0,,,,1.0,15.0,1.0,10.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,268.0,195.0,321.0,522.0,,,,0.0
1722245440000,0.0,8.0,7.0,9.0,9.0,,,,1.0,15.0,1.0,1.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,269.0,301.0,452.0,435.0,,,,0.0
1722245445000,0.0,7.0,8.0,9.0,9.0,,,,1.0,14.0,1.0,1.0,1.0,2.0,,,,0.0,-9.223372036854775e+18,234.0,281.0,361.0,469.0,,,,0.0
1722245450000,0.0,3.0,9.0,5.0,9.0,,,,7.0,15.0,7.0,1.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,100.0,282.0,323.0,482.0,,,,0.0
1722245455000,0.0,8.0,5.0,8.0,9.0,,,,1.0,15.0,1.0,10.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,268.0,167.0,234.0,482.0,,,,0.0
1722245460000,0.0,9.0,9.0,7.0,9.0,,,,1.0,15.0,1.0,1.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,323.0,301.0,804.0,525.0,,,,0.0
1722245465000,0.0,9.0,9.0,9.0,9.0,,,,1.0,14.0,1.0,1.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,301.0,402.0,361.0,402.0,,,,0.0
1722245470000,0.0,6.0,8.0,9.0,9.0,,,,1.0,15.0,1.0,1.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,234.0,297.0,361.0,484.0,,,,0.0
1722245475000,0.0,9.0,6.0,8.0,9.0,,,,1.0,15.0,1.0,10.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,268.0,175.0,268.0,404.0,,,,0.0
1722245480000,0.0,8.0,9.0,9.0,9.0,,,,1.0,15.0,1.0,1.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,268.0,363.0,1368.0,469.0,,,,0.0
1722245485000,0.0,8.0,7.0,8.0,9.0,,,,1.0,15.0,1.0,2.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,321.0,276.0,321.0,471.0,,,,0.0
1722245490000,0.0,4.0,3.0,6.0,9.0,,,,8.0,15.0,8.0,1.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,167.0,105.0,281.0,522.0,,,,0.0
1722245495000,0.0,7.0,5.0,6.0,9.0,,,,1.0,14.0,1.0,10.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,234.0,35.0,290.0,471.0,,,,0.0
1722245500000,0.0,6.0,9.0,9.0,9.0,,,,1.0,15.0,1.0,1.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,268.0,301.0,237176000.0,727.0,,,,0.0
1722245505000,0.0,8.0,6.0,9.0,9.0,,,,1.0,15.0,1.0,1.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,268.0,189.0,326.0,435.0,,,,0.0
1722245510000,0.0,5.0,4.0,6.0,9.0,,,,7.0,15.0,7.0,1.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,321.0,134.0,281.0,522.0,,,,0.0
1722245515000,0.0,9.0,6.0,7.0,9.0,,,,1.0,15.0,1.0,10.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,361.0,177882000.0,201.0,368.0,,,,0.0
1722245520000,0.0,9.0,4.0,5.0,9.0,,,,1.0,13.0,1.0,1.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,301.0,161.0,267.0,361.0,,,,0.0
1722245525000,0.0,9.0,5.0,6.0,9.0,,,,2.0,14.0,1.0,1.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,361.0,134.0,167.0,442.0,,,,0.0
1722245530000,0.0,6.0,5.0,9.0,9.0,,,,5.0,15.0,5.0,2.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,234.0,167.0,268.0,482.0,,,,0.0
1722245535000,0.0,9.0,5.0,7.0,9.0,,,,1.0,14.0,1.0,10.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,268.0,199.0,201.0,435.0,,,,0.0
1722245540000,0.0,8.0,9.0,8.0,9.0,,,,1.0,15.0,1.0,2.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,361.0,301.0,1399.0,522.0,,,,0.0
1722245545000,0.0,8.0,5.0,9.0,9.0,,,,1.0,14.0,1.0,1.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,321.0,167.0,301.0,522.0,,,,0.0
1722245550000,0.0,5.0,5.0,9.0,9.0,,,,4.0,15.0,4.0,2.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,321.0,234.0,402.0,482.0,,,,0.0
1722245555000,0.0,8.0,6.0,9.0,9.0,,,,1.0,15.0,1.0,10.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,361.0,603.0,268.0,402.0,,,,0.0
1722245560000,0.0,8.0,9.0,9.0,9.0,,,,1.0,15.0,1.0,1.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,321.0,335.0,603.0,435.0,,,,0.0
1722245565000,0.0,8.0,8.0,8.0,9.0,,,,1.0,15.0,1.0,1.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,268.0,234.0,268.0,437.0,,,,0.0
1722245570000,0.0,5.0,9.0,8.0,9.0,,,,7.0,15.0,7.0,1.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,202.0,402.0,301.0,562.0,,,,0.0
1722245575000,0.0,9.0,5.0,9.0,9.0,,,,1.0,15.0,1.0,10.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,361.0,128.0,303.0,522.0,,,,0.0
1722245580000,0.0,8.0,9.0,8.0,9.0,,,,1.0,15.0,1.0,1.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,321.0,301.0,282.0,522.0,,,,0.0
1722245585000,0.0,8.0,9.0,8.0,9.0,,,,1.0,15.0,1.0,1.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,321.0,303.0,281.0,404.0,,,,0.0
1722245590000,0.0,5.0,7.0,9.0,9.0,,,,8.0,15.0,8.0,1.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,160.0,262.0,260.0,435.0,,,,0.0
1722245595000,0.0,9.0,4.0,8.0,9.0,,,,1.0,13.0,1.0,10.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,361.0,79.0,301.0,368.0,,,,0.0
1722245600000,0.0,9.0,9.0,8.0,9.0,,,,1.0,14.0,1.0,2.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,301.0,361.0,1186.0,482.0,,,,0.0
1722245605000,0.0,8.0,9.0,7.0,9.0,,,,1.0,15.0,1.0,1.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,268.0,234.0,234.0,522.0,,,,0.0
1722245610000,0.0,5.0,8.0,9.0,9.0,,,,5.0,15.0,5.0,1.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,234.0,263.0,335.0,444.0,,,,0.0
1722245615000,0.0,8.0,4.0,9.0,9.0,,,,1.0,15.0,1.0,10.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,321.0,201.0,402.0,437.0,,,,0.0
1722245620000,0.0,8.0,9.0,9.0,9.0,,,,1.0,15.0,1.0,2.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,268.0,301.0,335.0,402.0,,,,0.0
1722245625000,0.0,9.0,8.0,8.0,9.0,,,,1.0,15.0,1.0,2.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,301.0,301.0,301.0,435.0,,,,0.0
1722245630000,0.0,5.0,7.0,8.0,9.0,,,,6.0,15.0,6.0,1.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,160.0,281.0,267.0,482.0,,,,0.0
1722245635000,0.0,9.0,6.0,8.0,9.0,,,,1.0,15.0,1.0,10.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,268.0,166.0,235.0,522.0,,,,0.0
1722245640000,0.0,8.0,9.0,9.0,9.0,,,,1.0,15.0,1.0,1.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,321.0,301.0,454.0,444.0,,,,0.0
1722245645000,0.0,9.0,9.0,8.0,9.0,,,,1.0,15.0,1.0,1.0,1.0,1.0,,,,0.0,-9.223372036854775e+18,361.0,335.0,268.0,404.0,,,,0.0
1722245650000,,,,,,,,,,,,,,,,,,,,,,,,,,,
1722245685000,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,-9.223372036854775e+18,0.0,0.0,14711000.0,26823000.0,6162.0,,,0.0
1722245690000,0.0,2.0,0.0,0.0,0.0,0.0,,,1.0,6.0,1.0,0.0,1.0,1.0,1.0,,,0.0,-9.223372036854775e+18,71.0,1699.0,17.0,34.0,39.0,,,0.0
1722245695000,0.0,4.0,0.0,2.0,1.0,2.0,,,1.0,8.0,1.0,1.0,1.0,1.0,1.0,,,0.0,-9.223372036854775e+18,101.0,32.0,69.0,29.0,101.0,,,0.0
1722245700000,0.0,11.0,1.0,3.0,2.0,2.0,,,1.0,15.0,1.0,1.0,1.0,1.0,1.0,,,0.0,-9.223372036854775e+18,515.0,47.0,202.0,89.0,70.0,,,0.0
1722245705000,0.0,12.0,0.0,0.0,0.0,0.0,,,1.0,16.0,1.0,1.0,1.0,1.0,1.0,,,0.0,-9.223372036854775e+18,656.0,34.0,45.0,37.0,62.0,,,0.0
1722245710000,0.0,9.0,1.0,1.0,0.0,0.0,,,1.0,17.0,1.0,1.0,1.0,1.0,1.0,,,0.0,-9.223372036854775e+18,452.0,62.0,31.0,94.0,36.0,,,0.0
1722245715000,0.0,12.0,0.0,0.0,1.0,2.0,,,1.0,15.0,1.0,1.0,1.0,1.0,1.0,,,0.0,-9.223372036854775e+18,871.0,63.0,81.0,84.0,150.0,,,0.0
1722245720000,0.0,5.0,0.0,0.0,1.0,0.0,,,1.0,10.0,1.0,1.0,1.0,1.0,1.0,,,0.0,-9.223372036854775e+18,536.0,34.0,100.0,32.0,39.0,,,0.0
1722245725000,0.0,10.0,2.0,0.0,0.0,0.0,,,1.0,13.0,1.0,1.0,1.0,1.0,1.0,,,0.0,-9.223372036854775e+18,1003.0,59.0,36.0,33.0,40.0,,,0.0
1722245730000,0.0,10.0,0.0,0.0,0.0,0.0,,,1.0,14.0,1.0,3.0,1.0,1.0,1.0,,,0.0,-9.223372036854775e+18,673.0,30.0,37.0,30.0,38.0,,,0.0
1722245735000,0.0,9.0,0.0,2.0,8.0,8.0,,,1.0,12.0,1.0,1.0,1.0,10.0,1.0,,,0.0,-9.223372036854775e+18,552.0,67.0,103.0,29.0,1980.0,,,0.0
1722245740000,0.0,9.0,1.0,0.0,0.0,1.0,,,1.0,13.0,1.0,1.0,1.0,1.0,1.0,,,0.0,-9.223372036854775e+18,442.0,46.0,83.0,36.0,61.0,,,0.0
1722245745000,0.0,5.0,2.0,1.0,1.0,6.0,,,14.0,9.0,1.0,1.0,1.0,1.0,1.0,,,0.0,-9.223372036854775e+18,361.0,29.0,74.0,37.0,214.0,,,0.0
1722245750000,0.0,9.0,0.0,2.0,0.0,0.0,,,1.0,12.0,1.0,4.0,1.0,1.0,1.0,,,0.0,-9.223372036854775e+18,656.0,33.0,39.0,42.0,38.0,,,0.0
1722245755000,0.0,10.0,0.0,0.0,5.0,9.0,,,1.0,14.0,1.0,1.0,1.0,10.0,1.0,,,0.0,-9.223372036854775e+18,552.0,36.0,37.0,264.0,1186.0,,,0.0
1722245760000,0.0,7.0,0.0,3.0,1.0,1.0,,,1.0,12.0,1.0,1.0,1.0,1.0,1.0,,,0.0,-9.223372036854775e+18,502.0,38.0,40.0,37.0,121.0,,,0.0
1722245765000,0.0,9.0,1.0,3.0,1.0,3.0,,,1.0,13.0,1.0,1.0,1.0,1.0,1.0,,,0.0,-9.223372036854775e+18,378.0,29.0,144.0,31.0,67.0,,,0.0
1722245770000,0.0,9.0,2.0,0.0,1.0,1.0,,,1.0,13.0,1.0,6.0,1.0,1.0,1.0,,,0.0,-9.223372036854775e+18,442.0,34.0,81.0,32.0,38.0,,,0.0
1722245775000,0.0,9.0,2.0,2.0,5.0,7.0,,,1.0,13.0,1.0,1.0,1.0,1.0,2.0,,,0.0,-9.223372036854775e+18,402.0,38.0,66.0,402.0,1004.0,,,0.0
1722245780000,0.0,8.0,0.0,3.0,0.0,1.0,,,1.0,12.0,1.0,1.0,2.0,1.0,2.0,,,0.0,-9.223372036854775e+18,502.0,40.0,70.0,40.0,32.0,,,0.0
1722245785000,0.0,9.0,1.0,0.0,2.0,3.0,,,1.0,13.0,1.0,1.0,1.0,1.0,1.0,,,0.0,-9.223372036854775e+18,268.0,31.0,123.0,95.0,37.0,,,1.0
1722245790000,0.0,9.0,0.0,3.0,2.0,4.0,,,1.0,13.0,1.0,0.0,1.0,1.0,1.0,,,0.0,-9.223372036854775e+18,361.0,32.0,70.0,34.0,201.0,,,0.0
1722245795000,0.0,8.0,0.0,4.0,3.0,4.0,,,4.0,12.0,2.0,1.0,1.0,10.0,1.0,,,0.0,-9.223372036854775e+18,502.0,33.0,241.0,29.0,228.0,,,0.0
1722245800000,0.0,9.0,1.0,3.0,2.0,9.0,,,1.0,13.0,1.0,1.0,1.0,1.0,1.0,,,0.0,-9.223372036854775e+18,268.0,72.0,120.0,33.0,552.0,,,0.0
1722245805000,0.0,10.0,0.0,4.0,0.0,1.0,,,1.0,14.0,1.0,1.0,1.0,1.0,1.0,,,0.0,-9.223372036854775e+18,369.0,32.0,240.0,33.0,45.0,,,0.0
1722245810000,0.0,11.0,0.0,1.0,0.0,3.0,,,1.0,15.0,1.0,0.0,1.0,1.0,1.0,,,0.0,-9.223372036854775e+18,482.0,33.0,37.0,32.0,47.0,,,0.0
