,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength
,Source:_Source2
,0
Timestamp,
1736811100000,1.0
1736811105000,1.0
1736811110000,1.0
1736811115000,9.0
1736811120000,9.0
1736811125000,9.0
1736811130000,9.0
1736811135000,9.0
1736811140000,9.0
1736811145000,1.0
1736811150000,1.0
1736811155000,1.0
1736811160000,9.0
1736811165000,10.0
1736811170000,9.0
1736811175000,4.0
1736811180000,1.0
1736811185000,9.0
1736811190000,6.0
1736811195000,9.0
1736811200000,9.0
1736811205000,1.0
1736811210000,1.0
1736811215000,1.0
1736811220000,1.0
1736811225000,10.0
1736811230000,9.0
1736811235000,1.0
1736811240000,1.0
1736811245000,9.0
1736811250000,9.0
1736811255000,9.0
1736811260000,1.0
1736811265000,9.0
1736811270000,9.0
1736811275000,9.0
1736811280000,9.0
1736811285000,1.0
1736811290000,1.0
1736811295000,1.0
1736811300000,9.0
1736811305000,9.0
1736811310000,
1736811340000,1.0
1736811345000,1.0
1736811350000,9.0
1736811355000,9.0
1736811360000,1.0
1736811365000,1.0
1736811370000,1.0
1736811375000,1.0
1736811380000,1.0
1736811385000,9.0
1736811390000,6.0
1736811395000,7.0
1736811400000,9.0
1736811405000,1.0
1736811410000,9.0
1736811415000,9.0
1736811420000,9.0
1736811425000,9.0
1736811430000,1.0
1736811435000,9.0
1736811440000,2.0
1736811445000,8.0
1736811450000,1.0
1736811455000,9.0
1736811460000,9.0
1736811465000,9.0
1736811470000,9.0
1736811475000,6.0
1736811480000,2.0
1736811485000,9.0
1736811490000,2.0
1736811495000,0.0
1736811500000,9.0
1736811505000,1.0
1736811510000,1.0
1736811515000,1.0
1736811520000,9.0
1736811525000,5.0
1736811530000,1.0
1736811535000,9.0
1736811540000,1.0
1736811545000,1.0
1736811550000,1.0
1736811555000,9.0
1736811560000,9.0
1736811565000,9.0
1736811570000,1.0
1736811575000,5.0
1736811580000,5.0
1736811585000,
