Parallelism,Throughput_min,Throughput_max,Throughput_mean
52,191120.71845237495,215890.16839080572,202129.84288587837
104,206740.5388888854,243510.81874999672,231179.90829860768
106,225012.57499999652,249090.43020832984,234953.45193497124
108,221935.1946236523,260187.3688888854,239046.31834408245
