,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond
,0,1,2,3,4,5
Timestamp,,,,,,
1707947635000,1000.0,,,,,
1707947640000,678.0,,,,,
1707947645000,781.0,,,,,
1707947650000,541.0,,,,,
1707947655000,401.0,,,,,
1707947660000,319.0,,,,,
1707947665000,340.0,,,,,
1707947670000,427.0,,,,,
1707947675000,492.0,,,,,
1707947680000,547.0,,,,,
1707947685000,593.0,,,,,
1707947690000,630.0,,,,,
1707947695000,661.0,,,,,
1707947700000,688.0,,,,,
1707947705000,697.0,,,,,
1707947710000,776.0,,,,,
1707947715000,859.0,,,,,
1707947720000,941.0,,,,,
1707947725000,987.0,,,,,
1707947730000,991.0,,,,,
1707947735000,994.0,,,,,
1707947740000,995.0,,,,,
1707947745000,995.0,,,,,
1707947750000,995.0,,,,,
1707947755000,995.0,,,,,
1707947760000,994.0,,,,,
1707947765000,994.0,,,,,
1707947770000,994.0,,,,,
1707947775000,995.0,,,,,
1707947780000,997.0,,,,,
1707947785000,997.0,,,,,
1707947790000,997.0,,,,,
1707947795000,998.0,,,,,
1707947800000,998.0,,,,,
1707947805000,997.0,,,,,
1707947810000,997.0,,,,,
1707947815000,997.0,,,,,
1707947820000,995.0,,,,,
1707947825000,995.0,,,,,
1707947830000,994.0,,,,,
1707947835000,993.0,,,,,
1707947840000,991.0,,,,,
1707947845000,991.0,,,,,
1707947850000,991.0,,,,,
1707947855000,991.0,,,,,
1707947860000,991.0,,,,,
1707947865000,992.0,,,,,
1707947870000,992.0,,,,,
1707947875000,992.0,,,,,
1707947880000,995.0,,,,,
1707947885000,995.0,,,,,
1707947890000,996.0,,,,,
1707947895000,997.0,,,,,
1707947900000,997.0,,,,,
1707947905000,998.0,,,,,
1707947910000,998.0,,,,,
1707947915000,998.0,,,,,
1707947920000,998.0,,,,,
1707947925000,998.0,,,,,
1707947930000,998.0,,,,,
1707947935000,997.0,,,,,
1707947940000,997.0,,,,,
1707947945000,998.0,,,,,
1707947950000,998.0,,,,,
1707947955000,997.0,,,,,
1707947960000,999.0,,,,,
1707947965000,997.0,,,,,
1707947970000,998.0,,,,,
1707947975000,998.0,,,,,
1707947980000,998.0,,,,,
1707947985000,998.0,,,,,
1707947990000,998.0,,,,,
1707947995000,998.0,,,,,
1707948000000,998.0,,,,,
1707948005000,996.0,,,,,
1707948010000,996.0,,,,,
1707948015000,996.0,,,,,
1707948020000,,,,,,
1707948075000,1000.0,1000.0,,,,
1707948080000,1000.0,621.0,,,,
1707948085000,1000.0,786.0,,,,
1707948090000,1000.0,602.0,,,,
1707948095000,987.0,576.0,,,,
1707948100000,990.0,584.0,,,,
1707948105000,991.0,590.0,,,,
1707948110000,993.0,648.0,,,,
1707948115000,992.0,640.0,,,,
1707948120000,992.0,622.0,,,,
1707948125000,992.0,607.0,,,,
1707948130000,992.0,614.0,,,,
1707948135000,993.0,642.0,,,,
1707948140000,993.0,629.0,,,,
1707948145000,992.0,620.0,,,,
1707948150000,992.0,674.0,,,,
1707948155000,995.0,677.0,,,,
1707948160000,995.0,695.0,,,,
1707948165000,993.0,705.0,,,,
1707948170000,993.0,699.0,,,,
1707948175000,994.0,718.0,,,,
1707948180000,993.0,729.0,,,,
1707948185000,993.0,743.0,,,,
1707948190000,993.0,745.0,,,,
1707948195000,993.0,745.0,,,,
1707948200000,988.0,757.0,,,,
1707948205000,988.0,743.0,,,,
1707948210000,988.0,731.0,,,,
1707948215000,990.0,740.0,,,,
1707948220000,990.0,734.0,,,,
1707948225000,991.0,729.0,,,,
1707948230000,991.0,731.0,,,,
1707948235000,991.0,730.0,,,,
1707948240000,992.0,732.0,,,,
1707948245000,993.0,730.0,,,,
1707948250000,992.0,734.0,,,,
1707948255000,991.0,720.0,,,,
1707948260000,994.0,725.0,,,,
1707948265000,994.0,749.0,,,,
1707948270000,994.0,723.0,,,,
1707948275000,994.0,731.0,,,,
1707948280000,994.0,739.0,,,,
1707948285000,996.0,746.0,,,,
1707948290000,996.0,741.0,,,,
1707948295000,995.0,726.0,,,,
1707948300000,995.0,728.0,,,,
1707948305000,996.0,740.0,,,,
1707948310000,993.0,729.0,,,,
1707948315000,994.0,739.0,,,,
1707948320000,995.0,740.0,,,,
1707948325000,995.0,738.0,,,,
1707948330000,994.0,752.0,,,,
1707948335000,994.0,746.0,,,,
1707948340000,993.0,745.0,,,,
1707948345000,993.0,730.0,,,,
