,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,0,1,2,3,4,5
Timestamp,,,,,,
1707947635000,0.0,,,,,
1707947640000,0.0,,,,,
1707947645000,669.3833333333,,,,,
1707947650000,896.4166666666,,,,,
1707947655000,896.4166666666,,,,,
1707947660000,896.4166666666,,,,,
1707947665000,2299.45,,,,,
1707947670000,5679.45,,,,,
1707947675000,9375.633333329999,,,,,
1707947680000,15958.466666659999,,,,,
1707947685000,17639.38333333,,,,,
1707947690000,23626.1,,,,,
1707947695000,23630.16666666,,,,,
1707947700000,28120.36666666,,,,,
1707947705000,29449.766666659998,,,,,
1707947710000,29222.73333333,,,,,
1707947715000,33365.33333333,,,,,
1707947720000,36359.78333333,,,,,
1707947725000,34956.75,,,,,
1707947730000,33424.85,,,,,
1707947735000,34653.08333333,,,,,
1707947740000,28070.25,,,,,
1707947745000,27623.65,,,,,
1707947750000,21636.93333333,,,,,
1707947755000,24324.266666659998,,,,,
1707947760000,23756.583333330003,,,,,
1707947765000,25110.316666659997,,,,,
1707947770000,29742.25,,,,,
1707947775000,27674.883333330003,,,,,
1707947780000,29268.7,,,,,
1707947785000,31650.766666659998,,,,,
1707947790000,29802.66666666,,,,,
1707947795000,31678.1,,,,,
1707947800000,31678.1,,,,,
1707947805000,31329.36666666,,,,,
1707947810000,31748.15,,,,,
1707947815000,29056.75,,,,,
1707947820000,27044.833333330003,,,,,
1707947825000,27711.73333333,,,,,
1707947830000,27244.2,,,,,
1707947835000,27944.21666666,,,,,
1707947840000,27194.55,,,,,
1707947845000,29987.816666659997,,,,,
1707947850000,31532.35,,,,,
1707947855000,26279.48333333,,,,,
1707947860000,31373.316666659997,,,,,
1707947865000,30487.73333333,,,,,
1707947870000,30068.95,,,,,
1707947875000,30068.95,,,,,
1707947880000,28408.933333330002,,,,,
1707947885000,29344.266666659998,,,,,
1707947890000,28889.433333330002,,,,,
1707947895000,28921.45,,,,,
1707947900000,31278.23333333,,,,,
1707947905000,26523.566666659997,,,,,
1707947910000,31643.05,,,,,
1707947915000,30096.066666659997,,,,,
1707947920000,26248.95,,,,,
1707947925000,26248.95,,,,,
1707947930000,26248.95,,,,,
1707947935000,29706.933333330002,,,,,
1707947940000,32151.883333330003,,,,,
1707947945000,32033.71666666,,,,,
1707947950000,29812.383333330003,,,,,
1707947955000,34186.15,,,,,
1707947960000,28248.25,,,,,
1707947965000,33882.3,,,,,
1707947970000,27218.28333333,,,,,
1707947975000,29504.55,,,,,
1707947980000,32243.75,,,,,
1707947985000,32243.75,,,,,
1707947990000,32243.75,,,,,
1707947995000,29582.65,,,,,
1707948000000,29614.28333333,,,,,
1707948005000,28725.91666666,,,,,
1707948010000,31895.11666666,,,,,
1707948015000,26894.816666659997,,,,,
1707948020000,,,,,,
1707948070000,,0.0,,,,
1707948075000,0.0,0.0,,,,
1707948080000,0.0,4.85,,,,
1707948085000,15.033333333333,250.6166666666,,,,
1707948090000,1296.0833333333,1569.8666666666,,,,
1707948095000,4605.18333333,4588.51666667,,,,
1707948100000,7800.6,7775.83333333,,,,
1707948105000,11055.58333333,10969.533333329999,,,,
1707948110000,11055.58333333,11115.51666666,,,,
1707948115000,12517.06666666,12709.91666666,,,,
1707948120000,15992.45,15955.48333333,,,,
1707948125000,18617.35,18808.516666659998,,,,
1707948130000,21892.516666659998,22139.733333329998,,,,
1707948135000,22611.8,22537.85,,,,
1707948140000,25760.933333330002,25706.05,,,,
1707948145000,27370.6,27350.86666666,,,,
1707948150000,27679.91666666,27336.566666659997,,,,
1707948155000,27744.05,27689.6,,,,
1707948160000,25345.71666666,25491.25,,,,
1707948165000,24798.96666666,24796.65,,,,
1707948170000,25661.333333330003,25482.0,,,,
1707948175000,24738.36666666,24504.066666659997,,,,
1707948180000,25216.016666659998,25501.633333330003,,,,
1707948185000,25826.86666666,25850.23333333,,,,
1707948190000,26463.9,26446.133333330003,,,,
1707948195000,26512.066666659997,26452.9,,,,
1707948200000,26696.75,26609.4,,,,
1707948205000,26092.28333333,25914.9,,,,
1707948210000,26759.73333333,26765.71666666,,,,
1707948215000,26934.03333333,26860.266666659998,,,,
1707948220000,26656.98333333,26681.45,,,,
1707948225000,26630.7,26558.95,,,,
1707948230000,26483.65,26447.95,,,,
1707948235000,27026.28333333,27133.55,,,,
1707948240000,27017.5,26843.933333330002,,,,
1707948245000,27017.2,26796.75,,,,
1707948250000,25599.15,25519.48333333,,,,
