,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond
,0,1,2,3,4,5,6,7,8
Timestamp,,,,,,,,,
1704790470000,1000.0,,,,,,,,
1704790475000,146.0,,,,,,,,
1704790480000,69.0,,,,,,,,
1704790485000,46.0,,,,,,,,
1704790490000,198.0,,,,,,,,
1704790495000,269.0,,,,,,,,
1704790500000,344.0,,,,,,,,
1704790505000,432.0,,,,,,,,
1704790510000,503.0,,,,,,,,
1704790515000,558.0,,,,,,,,
1704790520000,603.0,,,,,,,,
1704790525000,639.0,,,,,,,,
1704790530000,669.0,,,,,,,,
1704790535000,740.0,,,,,,,,
1704790540000,824.0,,,,,,,,
1704790545000,907.0,,,,,,,,
1704790550000,936.0,,,,,,,,
1704790555000,974.0,,,,,,,,
1704790560000,997.0,,,,,,,,
1704790565000,1000.0,,,,,,,,
1704790570000,1000.0,,,,,,,,
1704790575000,1000.0,,,,,,,,
1704790580000,1000.0,,,,,,,,
1704790585000,1000.0,,,,,,,,
1704790590000,1000.0,,,,,,,,
1704790595000,1000.0,,,,,,,,
1704790600000,1000.0,,,,,,,,
1704790605000,1000.0,,,,,,,,
1704790610000,1000.0,,,,,,,,
1704790615000,1000.0,,,,,,,,
1704790620000,1000.0,,,,,,,,
1704790625000,1000.0,,,,,,,,
1704790630000,1000.0,,,,,,,,
1704790635000,1000.0,,,,,,,,
1704790640000,1000.0,,,,,,,,
1704790645000,1000.0,,,,,,,,
1704790650000,1000.0,,,,,,,,
1704790655000,1000.0,,,,,,,,
1704790660000,1000.0,,,,,,,,
1704790665000,1000.0,,,,,,,,
1704790670000,1000.0,,,,,,,,
1704790675000,,,,,,,,,
1704790725000,,1000.0,,,,,,,
1704790730000,1000.0,920.0,,,,,,,
1704790735000,969.0,582.0,,,,,,,
1704790740000,980.0,447.0,,,,,,,
1704790745000,985.0,505.0,,,,,,,
1704790750000,988.0,483.0,,,,,,,
1704790755000,990.0,494.0,,,,,,,
1704790760000,992.0,554.0,,,,,,,
1704790765000,993.0,610.0,,,,,,,
