,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,0,1,2,3,4,5,6,7,8
Timestamp,,,,,,,,,
1704790465000,0.0,,,,,,,,
1704790470000,0.0,,,,,,,,
1704790475000,0.0,,,,,,,,
1704790480000,0.0,,,,,,,,
1704790485000,0.0,,,,,,,,
1704790490000,595.4666666666,,,,,,,,
1704790495000,980.65,,,,,,,,
1704790500000,2411.8833333333,,,,,,,,
1704790505000,4509.53333333,,,,,,,,
1704790510000,7928.8,,,,,,,,
1704790515000,10136.0,,,,,,,,
1704790520000,12166.68333333,,,,,,,,
1704790525000,13065.93333333,,,,,,,,
1704790530000,14442.766666659998,,,,,,,,
1704790535000,16112.616666659998,,,,,,,,
1704790540000,16384.0,,,,,,,,
1704790545000,18547.4,,,,,,,,
1704790550000,18152.6,,,,,,,,
1704790555000,19146.33333333,,,,,,,,
1704790560000,18995.066666659997,,,,,,,,
1704790565000,18362.68333333,,,,,,,,
1704790570000,15438.93333333,,,,,,,,
1704790575000,14968.533333329999,,,,,,,,
1704790580000,13314.91666666,,,,,,,,
1704790585000,13908.283333329999,,,,,,,,
1704790590000,13780.783333329999,,,,,,,,
1704790595000,12845.3,,,,,,,,
1704790600000,13963.0,,,,,,,,
1704790605000,13053.18333333,,,,,,,,
1704790610000,13514.98333333,,,,,,,,
1704790615000,13758.2,,,,,,,,
1704790620000,13849.633333329999,,,,,,,,
1704790625000,12826.883333329999,,,,,,,,
1704790630000,13818.16666666,,,,,,,,
1704790635000,13727.4,,,,,,,,
1704790640000,14127.43333333,,,,,,,,
1704790645000,13563.866666659998,,,,,,,,
1704790650000,14055.716666659999,,,,,,,,
1704790655000,14274.65,,,,,,,,
1704790660000,14027.783333329999,,,,,,,,
1704790665000,13973.466666659999,,,,,,,,
1704790670000,15033.98333333,,,,,,,,
1704790675000,,,,,,,,,
1704790725000,0.0,0.0,,,,,,,
1704790730000,0.0,0.0,,,,,,,
1704790735000,222.7166666666,224.8833333333,,,,,,,
1704790740000,694.3333333333,774.7166666666,,,,,,,
