,flink_taskmanager_job_task_busyTimeMsPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks
,0
Timestamp,
1737807700000,1000.0
1737807705000,550.0
1737807710000,404.0
1737807715000,591.0
1737807720000,693.0
1737807725000,755.0
1737807730000,795.0
1737807735000,825.0
1737807740000,847.0
1737807745000,864.0
1737807750000,877.0
1737807755000,889.0
1737807760000,898.0
1737807765000,936.0
1737807770000,997.0
1737807775000,1000.0
1737807780000,1000.0
1737807785000,1000.0
1737807790000,1000.0
1737807795000,1000.0
1737807800000,1000.0
1737807805000,1000.0
1737807810000,1000.0
1737807815000,1000.0
1737807820000,1000.0
1737807825000,1000.0
1737807830000,1000.0
1737807835000,1000.0
1737807840000,1000.0
1737807845000,1000.0
1737807850000,1000.0
1737807855000,1000.0
1737807860000,1000.0
1737807865000,1000.0
1737807870000,1000.0
1737807875000,1000.0
1737807880000,1000.0
1737807885000,1000.0
1737807890000,1000.0
1737807895000,1000.0
1737807900000,1000.0
1737807905000,1000.0
1737807910000,1000.0
1737807915000,1000.0
1737807920000,1000.0
1737807925000,1000.0
1737807930000,1000.0
1737807935000,1000.0
1737807940000,
