,flink_taskmanager_job_task_numRecordsInPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks
,0
Timestamp,
1737807700000,0.0
1737807705000,1339.3666666666
1737807710000,2030.5333333333
1737807715000,12573.46666666
1737807720000,17777.25
1737807725000,17777.25
1737807730000,21602.73333333
1737807735000,26076.71666666
1737807740000,30368.61666666
1737807745000,33798.38333333
1737807750000,34046.88333333
1737807755000,40597.21666666
1737807760000,40597.21666666
1737807765000,44325.1
1737807770000,43633.93333333
1737807775000,39896.41666666
1737807780000,34692.63333333
1737807785000,35182.28333333
1737807790000,37996.25
1737807795000,33522.26666666
1737807800000,30818.26666666
1737807805000,28398.98333333
1737807810000,32570.36666666
1737807815000,31749.36666666
1737807820000,37312.61666666
1737807825000,38549.31666666
1737807830000,44489.13333333
1737807835000,43289.2
1737807840000,48927.28333333
1737807845000,54428.35
1737807850000,53156.25
1737807855000,53390.78333333
1737807860000,53844.23333333
1737807865000,53737.85
1737807870000,49317.96666666
1737807875000,43588.63333333
1737807880000,38079.78333333
1737807885000,36402.48333333
1737807890000,36670.9
1737807895000,36514.53333333
1737807900000,36682.08333333
1737807905000,36695.11666666
1737807910000,37431.45
1737807915000,42634.88333333
1737807920000,46679.0
1737807925000,51716.78333333
1737807930000,51716.78333333
1737807935000,52483.1
1737807940000,
