,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,Map,Map,Map,Map,Map,Map,Map
,0,1,2,3,4,5,6
Timestamp,,,,,,,
1722244430000,0.0,,,,,,
1722244435000,0.0,,,,,,
1722244440000,0.0,,,,,,
1722244445000,0.0,,,,,,
1722244450000,0.0,,,,,,
1722244455000,0.0,,,,,,
1722244460000,0.0,,,,,,
1722244465000,0.0,,,,,,
1722244470000,334.0333333333,,,,,,
1722244475000,1017.3,,,,,,
1722244480000,1030.9833333333,,,,,,
1722244485000,1754.2666666666,,,,,,
1722244490000,3484.18333333,,,,,,
1722244495000,5205.58333333,,,,,,
1722244500000,6928.46666666,,,,,,
1722244505000,8655.4,,,,,,
1722244510000,10362.83333333,,,,,,
1722244515000,12087.8,,,,,,
1722244520000,13803.7,,,,,,
1722244525000,15504.5,,,,,,
1722244530000,16895.5,,,,,,
1722244535000,17927.1,,,,,,
1722244540000,19605.53333333,,,,,,
1722244545000,20651.21666666,,,,,,
1722244550000,20811.13333333,,,,,,
1722244555000,21003.266666659998,,,,,,
1722244560000,21217.58333333,,,,,,
1722244565000,21426.83333333,,,,,,
1722244570000,21649.46666666,,,,,,
1722244575000,21867.18333333,,,,,,
1722244580000,22090.53333333,,,,,,
1722244585000,22314.21666666,,,,,,
1722244590000,22527.46666666,,,,,,
1722244595000,22758.8,,,,,,
1722244600000,22987.33333333,,,,,,
1722244605000,23151.48333333,,,,,,
1722244610000,23200.583333330003,,,,,,
1722244615000,23228.883333330003,,,,,,
1722244620000,23229.833333330003,,,,,,
1722244625000,23235.65,,,,,,
1722244630000,23228.55,,,,,,
1722244635000,,,,,,,
1722244670000,0.0,0.0,,,,,
1722244675000,0.0,0.0,,,,,
1722244680000,1673.3333333332998,1815.2833333332999,,,,,
1722244685000,3604.56666667,3730.51666667,,,,,
1722244690000,5563.43333333,5652.65,,,,,
1722244695000,7483.983333329999,7590.7,,,,,
1722244700000,9429.93333333,9552.95,,,,,
1722244705000,11398.81666666,11535.1,,,,,
1722244710000,13336.65,13420.65,,,,,
1722244715000,15252.23333333,15350.16666666,,,,,
1722244720000,17165.2,17255.35,,,,,
1722244725000,19086.58333333,19222.53333333,,,,,
1722244730000,20989.733333329998,21084.45,,,,,
1722244735000,22905.13333333,23020.1,,,,,
1722244740000,23119.23333333,23087.16666666,,,,,
1722244745000,23091.23333333,23083.46666666,,,,,
1722244750000,23039.03333333,23041.0,,,,,
1722244755000,22986.71666666,22984.11666666,,,,,
