,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,0,1,2,3
Timestamp,,,,
1702289425000,0.0,,,
1702289430000,0.0,,,
1702289435000,0.0,,,
1702289440000,240.8833333333,,,
1702289445000,861.6166666666,,,
1702289450000,2061.3333333333,,,
1702289455000,3909.05,,,
1702289460000,5755.63333333,,,
1702289465000,7672.983333329999,,,
1702289470000,9497.883333329999,,,
1702289475000,11339.55,,,
1702289480000,13249.3,,,
1702289485000,15034.116666659998,,,
1702289490000,16891.1,,,
1702289495000,18803.71666666,,,
1702289500000,20321.96666666,,,
1702289505000,21286.88333333,,,
1702289510000,21979.88333333,,,
1702289515000,21935.45,,,
1702289520000,21946.35,,,
1702289525000,21812.36666666,,,
1702289530000,21872.0,,,
1702289535000,21951.08333333,,,
1702289540000,21994.066666659997,,,
1702289545000,22082.53333333,,,
1702289550000,22183.63333333,,,
1702289555000,22034.88333333,,,
1702289560000,22233.266666659998,,,
1702289565000,22486.83333333,,,
1702289570000,22545.7,,,
1702289575000,22688.35,,,
1702289580000,22804.68333333,,,
1702289585000,22987.45,,,
1702289590000,23062.816666659997,,,
1702289595000,22993.41666666,,,
1702289600000,22929.66666666,,,
1702289605000,22953.25,,,
1702289610000,22908.18333333,,,
1702289615000,23023.13333333,,,
1702289620000,22973.95,,,
1702289625000,22879.61666666,,,
1702289630000,22889.03333333,,,
1702289635000,22897.25,,,
1702289640000,22877.13333333,,,
1702289645000,22758.45,,,
1702289650000,22755.93333333,,,
1702289655000,22861.46666666,,,
1702289660000,22949.6,,,
1702289665000,23018.766666659998,,,
1702289670000,23083.28333333,,,
1702289675000,23094.05,,,
1702289680000,22949.03333333,,,
1702289685000,23133.03333333,,,
1702289690000,23139.433333330002,,,
1702289695000,23112.98333333,,,
1702289700000,23146.4,,,
1702289705000,23244.03333333,,,
1702289710000,23252.266666659998,,,
1702289715000,23226.15,,,
1702289720000,23217.66666666,,,
1702289725000,23232.0,,,
1702289730000,23168.516666659998,,,
1702289735000,23144.266666659998,,,
1702289740000,23319.516666659998,,,
1702289745000,23341.21666666,,,
1702289750000,23331.85,,,
1702289755000,23336.85,,,
1702289760000,23211.133333330003,,,
1702289765000,23238.46666666,,,
1702289770000,23254.16666666,,,
1702289775000,23291.03333333,,,
1702289780000,23301.46666666,,,
1702289785000,23224.75,,,
1702289790000,23229.41666666,,,
1702289795000,23282.66666666,,,
1702289800000,23289.15,,,
1702289805000,23313.5,,,
1702289810000,23283.566666659997,,,
1702289815000,23326.383333330003,,,
1702289820000,23433.23333333,,,
1702289825000,23417.03333333,,,
1702289830000,23415.333333330003,,,
1702289835000,23374.03333333,,,
1702289840000,23345.433333330002,,,
1702289845000,23412.766666659998,,,
1702289850000,23479.75,,,
1702289855000,23500.833333330003,,,
1702289860000,,,,
1702289910000,0.0,0.0,,
1702289915000,0.0,0.0,,
1702289920000,491.6166666666,605.9166666666,,
1702289925000,1968.1166666666,2086.25,,
1702289930000,3557.66666667,3675.85,,
1702289935000,5174.63333333,5310.2,,
1702289940000,6830.26666666,6948.5,,
1702289945000,8475.73333333,8613.41666666,,
1702289950000,10103.76666666,10219.45,,
1702289955000,11609.43333333,11766.45,,
1702289960000,12924.55,13073.03333333,,
1702289965000,14488.73333333,14605.0,,
1702289970000,16240.46666666,16334.25,,
1702289975000,17971.28333333,18067.38333333,,
1702289980000,18964.06666666,18964.53333333,,
1702289985000,19265.88333333,19292.58333333,,
1702289990000,19052.23333333,19049.48333333,,
1702289995000,19073.56666666,19065.41666666,,
1702290000000,19223.28333333,19183.08333333,,
