Parallelism,Mean,StdErr,Predictions
0,0.0,0.0,
1,19184.72857142554,784.2114092105279,
2,32784.99687499404,1102.8758441094403,47172.0
3,42983.258433724935,1640.4208050841148,56600.0
4,52000.091772140244,1775.8108741990357,61152.0
5,60418.72041665165,2371.4289056676557,70839.0
6,71282.79567097778,2270.3711927759778,80155.0
7,77911.20527424208,2787.9194872511657,88631.0
8,83592.37599997553,3154.813373673681,99687.0
9,78520.73266663922,2683.9113845690404,104875.0
10,96085.56079542438,3015.880145825635,104489.0
11,88606.77074827302,5243.153470283688,111510.0
12,94495.25675671487,490.3057529584962,120290.0
