Parallelism,Throughput,ThroughputStdErr,BusyTime,BusyTimeStdErr,BackpressureTime,BackpressureTimeStdErr
1,22981.531818178184,1198.8669733486092,984.9069767441861,9.739540100923081,946.3589743589744,35.308790686963334
2,49247.12252251676,306.2209929628424,892.3918918918919,3.2222935504126706,984.8378378378378,6.778237585665864
3,69199.93763439839,392.65197509407665,818.1182795698925,1.561810718324849,819.241935483871,10.487167495810942
4,89287.51302082125,612.3521726627912,770.6875,4.14296808704973,715.390625,7.933615387248928
5,100572.68072914968,1090.4134863436725,695.5375,7.475775657394188,627.5625,7.3308313899030235
6,119253.56666664605,280.10292297383364,690.4824561403508,1.6875399915884604,584.2027027027027,3.152935224998845
7,131460.11576574,419.9563021243978,666.081081081081,1.6704144986927973,500.4189189189189,2.8103243805654454
8,142016.78388886264,625.0941690698727,654.2791666666667,1.6440727221570037,475.26666666666665,2.9338762123902957
