Timestamp,"('flink_taskmanager_job_task_numRecordsInPerSecond', 0)","('flink_taskmanager_job_task_numRecordsInPerSecond', 1)","('flink_taskmanager_job_task_numRecordsInPerSecond', 2)","('flink_taskmanager_job_task_numRecordsInPerSecond', 3)","('flink_taskmanager_job_task_numRecordsInPerSecond', 4)","('flink_taskmanager_job_task_numRecordsInPerSecond', 5)","('flink_taskmanager_job_task_numRecordsInPerSecond', 6)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 0)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 1)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 2)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 3)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 4)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 5)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 6)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 0)",flink_jobmanager_job_lastCheckpointSize,flink_jobmanager_job_lastCheckpointDuration,Parallelism
0,0.0,,,,,,,1000.0,,,,,,,0.0,-1.0,-1.0,1
5,0.0,,,,,,,1000.0,,,,,,,0.0,-1.0,-1.0,1
10,82.3333333333,,,,,,,0.0,,,,,,,0.0,1381.0,906.0,1
15,1130.7,,,,,,,374.0,,,,,,,234.0,1381.0,16.0,1
20,2069.4,,,,,,,428.0,,,,,,,268.0,1381.0,393.0,1
25,3911.56666667,,,,,,,571.0,,,,,,,437.0,1381.0,370.0,1
30,5685.71666667,,,,,,,657.0,,,,,,,535.0,1381.0,688.0,1
35,7591.65,,,,,,,714.0,,,,,,,601.0,1381.0,359.0,1
40,9426.95,,,,,,,755.0,,,,,,,653.0,1381.0,369.0,1
45,11364.65,,,,,,,786.0,,,,,,,689.0,1381.0,362.0,1
50,13292.966666659999,,,,,,,810.0,,,,,,,718.0,1381.0,401.0,1
55,15116.3,,,,,,,829.0,,,,,,,741.0,1381.0,376.0,1
60,16854.71666666,,,,,,,844.0,,,,,,,761.0,1381.0,334.0,1
65,18702.55,,,,,,,857.0,,,,,,,776.0,1381.0,369.0,1
70,20524.28333333,,,,,,,947.0,,,,,,,857.0,1381.0,359.0,1
75,21278.36666666,,,,,,,962.0,,,,,,,895.0,1381.0,341.0,1
80,22164.233333329998,,,,,,,1000.0,,,,,,,947.0,1381.0,357.0,1
85,22258.55,,,,,,,1000.0,,,,,,,948.0,1381.0,341.0,1
90,22235.91666666,,,,,,,1000.0,,,,,,,949.0,1381.0,605.0,1
95,22260.0,,,,,,,1000.0,,,,,,,951.0,1381.0,339.0,1
100,22296.95,,,,,,,1000.0,,,,,,,949.0,1381.0,342.0,1
105,22192.03333333,,,,,,,1000.0,,,,,,,949.0,1381.0,337.0,1
110,22237.93333333,,,,,,,1000.0,,,,,,,949.0,1381.0,329.0,1
115,22391.316666659997,,,,,,,1000.0,,,,,,,951.0,1381.0,366.0,1
120,22585.483333329998,,,,,,,1000.0,,,,,,,952.0,1381.0,343.0,1
125,22741.516666659998,,,,,,,1000.0,,,,,,,953.0,1381.0,364.0,1
130,22602.83333333,,,,,,,1000.0,,,,,,,949.0,1381.0,493.0,1
135,22748.066666659997,,,,,,,1000.0,,,,,,,951.0,1381.0,357.0,1
140,22888.15,,,,,,,1000.0,,,,,,,950.0,1381.0,329.0,1
145,22924.83333333,,,,,,,1000.0,,,,,,,952.0,1381.0,359.0,1
150,23150.15,,,,,,,1000.0,,,,,,,952.0,1381.0,324.0,1
155,23179.48333333,,,,,,,1000.0,,,,,,,953.0,1381.0,343.0,1
160,23282.95,,,,,,,1000.0,,,,,,,953.0,1381.0,356.0,1
165,23414.683333330002,,,,,,,1000.0,,,,,,,955.0,1381.0,345.0,1
170,23411.516666659998,,,,,,,1000.0,,,,,,,956.0,1381.0,375.0,1
175,23388.883333330003,,,,,,,1000.0,,,,,,,955.0,1381.0,345.0,1
180,23433.85,,,,,,,1000.0,,,,,,,954.0,1381.0,354.0,1
185,23414.383333330003,,,,,,,1000.0,,,,,,,955.0,1381.0,373.0,1
190,23633.833333330003,,,,,,,1000.0,,,,,,,959.0,1381.0,345.0,1
195,23671.95,,,,,,,1000.0,,,,,,,960.0,1381.0,323.0,1
200,23669.35,,,,,,,1000.0,,,,,,,960.0,1381.0,354.0,1
205,23634.433333330002,,,,,,,1000.0,,,,,,,958.0,1381.0,336.0,1
210,23557.65,,,,,,,1000.0,,,,,,,961.0,1381.0,333.0,1
215,23590.4,,,,,,,1000.0,,,,,,,960.0,1381.0,336.0,1
220,23591.25,,,,,,,1000.0,,,,,,,962.0,1381.0,337.0,1
225,23624.383333330003,,,,,,,1000.0,,,,,,,959.0,1381.0,353.0,1
230,23647.23333333,,,,,,,1000.0,,,,,,,958.0,1381.0,331.0,1
235,23654.316666659997,,,,,,,1000.0,,,,,,,959.0,1381.0,353.0,1
240,23662.3,,,,,,,1000.0,,,,,,,960.0,1381.0,338.0,1
245,23565.883333330003,,,,,,,1000.0,,,,,,,958.0,1381.0,328.0,1
250,23571.03333333,,,,,,,1000.0,,,,,,,956.0,1381.0,331.0,1
255,,,,,,,,,,,,,,,,1381.0,355.0,0
300,0.0,,,,,,,,,,,,,,0.0,,,1
305,0.0,0.0,,,,,,604.0,1000.0,,,,,,0.0,-1.0,-1.0,2
310,646.15,0.0,,,,,,766.0,612.0,,,,,,336.0,-1.0,-1.0,2
315,2121.7833333333,733.6833333333,,,,,,844.0,523.0,,,,,,502.0,1381.0,601.0,2
320,3778.05,2145.0666666666,,,,,,883.0,575.0,,,,,,598.0,1381.0,396.0,2
325,5436.56666667,3851.83333333,,,,,,907.0,626.0,,,,,,650.0,1381.0,398.0,2
330,7152.51666666,5519.96666667,,,,,,922.0,651.0,,,,,,691.0,1381.0,403.0,2
335,8688.26666666,7210.01666666,,,,,,933.0,677.0,,,,,,716.0,1381.0,403.0,2
340,10068.31666666,8726.8,,,,,,942.0,677.0,,,,,,736.0,1381.0,369.0,2
345,11551.91666666,10130.91666666,,,,,,948.0,674.0,,,,,,750.0,1381.0,596.0,2
350,13151.46666666,11635.56666666,,,,,,954.0,676.0,,,,,,762.0,1381.0,378.0,2
355,14774.9,13234.98333333,,,,,,958.0,679.0,,,,,,774.0,1381.0,504.0,2
360,16524.3,14817.35,,,,,,961.0,685.0,,,,,,782.0,1381.0,410.0,2
365,18215.4,16590.36666666,,,,,,994.0,694.0,,,,,,854.0,1381.0,360.0,2
370,19085.21666666,18290.16666666,,,,,,1000.0,707.0,,,,,,872.0,1381.0,371.0,2
375,19356.43333333,19054.61666666,,,,,,1000.0,726.0,,,,,,874.0,1381.0,426.0,2
380,19283.3,19366.55,,,,,,1000.0,735.0,,,,,,875.0,1381.0,333.0,2
385,19373.4,19279.03333333,,,,,,1000.0,732.0,,,,,,877.0,1381.0,345.0,2
