,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,0,1,2,3,4,5
Timestamp,,,,,,
1707958310000,0.0,,,,,
1707958315000,0.0,,,,,
1707958320000,202.0666666666,,,,,
1707958325000,737.5666666666,,,,,
1707958330000,737.5666666666,,,,,
1707958335000,737.5666666666,,,,,
1707958340000,1153.5,,,,,
1707958345000,3909.88333333,,,,,
1707958350000,6670.66666666,,,,,
1707958355000,11449.8,,,,,
1707958360000,12696.466666659999,,,,,
1707958365000,18759.88333333,,,,,
1707958370000,18759.88333333,,,,,
1707958375000,24825.066666659997,,,,,
1707958380000,25583.65,,,,,
1707958385000,25048.15,,,,,
1707958390000,28310.1,,,,,
1707958395000,31502.75,,,,,
1707958400000,31086.816666659997,,,,,
1707958405000,30162.266666659998,,,,,
1707958410000,32423.96666666,,,,,
1707958415000,27644.833333330003,,,,,
1707958420000,27079.4,,,,,
1707958425000,22126.38333333,,,,,
1707958430000,28333.2,,,,,
1707958435000,22900.16666666,,,,,
1707958440000,26391.65,,,,,
1707958445000,28805.8,,,,,
1707958450000,29821.75,,,,,
1707958455000,28733.066666659997,,,,,
1707958460000,31082.7,,,,,
1707958465000,33748.88333333,,,,,
1707958470000,28726.4,,,,,
1707958475000,29969.583333330003,,,,,
1707958480000,29288.35,,,,,
1707958485000,28177.95,,,,,
1707958490000,24198.833333330003,,,,,
1707958495000,26659.55,,,,,
1707958500000,26171.03333333,,,,,
1707958505000,26219.016666659998,,,,,
1707958510000,26068.48333333,,,,,
1707958515000,29195.45,,,,,
1707958520000,28163.583333330003,,,,,
1707958525000,26301.633333330003,,,,,
1707958530000,30333.933333330002,,,,,
1707958535000,29090.75,,,,,
1707958540000,29995.36666666,,,,,
1707958545000,29995.36666666,,,,,
1707958550000,29898.316666659997,,,,,
1707958555000,29447.3,,,,,
1707958560000,31320.1,,,,,
1707958565000,29519.583333330003,,,,,
1707958570000,27626.91666666,,,,,
1707958575000,27060.383333330003,,,,,
1707958580000,31199.65,,,,,
1707958585000,29470.55,,,,,
1707958590000,28051.53333333,,,,,
1707958595000,32066.016666659998,,,,,
1707958600000,31161.4,,,,,
1707958605000,32294.183333330002,,,,,
1707958610000,30163.53333333,,,,,
1707958615000,27521.683333330002,,,,,
1707958620000,26565.85,,,,,
1707958625000,27322.91666666,,,,,
1707958630000,30478.183333330002,,,,,
1707958635000,27211.05,,,,,
1707958640000,28490.683333330002,,,,,
1707958645000,28032.35,,,,,
1707958650000,31321.35,,,,,
1707958655000,27306.86666666,,,,,
1707958660000,28250.8,,,,,
1707958665000,27118.016666659998,,,,,
1707958670000,27118.016666659998,,,,,
1707958675000,29503.016666659998,,,,,
1707958680000,31029.016666659998,,,,,
1707958685000,29869.5,,,,,
1707958690000,,,,,,
1707958740000,0.0,0.0,,,,
1707958745000,0.0,4.65,,,,
1707958750000,4.416666666666,4.65,,,,
1707958755000,4.416666666666,1606.9166666666,,,,
1707958760000,1484.6666666666,4600.93333333,,,,
1707958765000,4375.88333333,7970.51666666,,,,
1707958770000,7746.86666666,9657.86666666,,,,
1707958775000,9714.81666666,10665.283333329999,,,,
1707958780000,10638.4,10665.283333329999,,,,
1707958785000,10700.23333333,10850.91666666,,,,
1707958790000,10700.23333333,12485.83333333,,,,
1707958795000,12253.43333333,15133.0,,,,
1707958800000,14893.06666666,17729.61666666,,,,
1707958805000,17534.63333333,20754.91666666,,,,
1707958810000,20756.983333329998,24147.98333333,,,,
1707958815000,24210.7,23701.95,,,,
1707958820000,23567.8,23003.483333329998,,,,
1707958825000,23291.633333330003,22962.16666666,,,,
1707958830000,23073.133333330003,21519.08333333,,,,
1707958835000,21299.3,21278.15,,,,
1707958840000,21407.46666666,21873.43333333,,,,
1707958845000,21704.43333333,24732.9,,,,
1707958850000,25018.833333330003,26494.0,,,,
1707958855000,26838.933333330002,27228.1,,,,
1707958860000,27586.03333333,27239.86666666,,,,
1707958865000,27309.86666666,24978.9,,,,
1707958870000,25157.083333330003,24985.833333330003,,,,
1707958875000,25019.016666659998,26108.21666666,,,,
1707958880000,26283.083333330003,24946.066666659997,,,,
1707958885000,25023.333333330003,24849.583333330003,,,,
1707958890000,25093.083333330003,25154.3,,,,
1707958895000,25227.75,25765.96666666,,,,
1707958900000,25793.683333330002,25821.816666659997,,,,
1707958905000,26106.48333333,26373.03333333,,,,
1707958910000,26081.0,26626.1,,,,
1707958915000,26403.583333330003,26782.2,,,,
