,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond
,0,1,2,3,4,5
Timestamp,,,,,,
1709767505000,973.0,821.0,475.0,,,
1709767510000,972.0,876.0,477.0,,,
1709767515000,971.0,877.0,501.0,,,
1709767520000,970.0,884.0,503.0,,,
1709767525000,969.0,893.0,495.0,,,
1709767530000,968.0,890.0,500.0,,,
1709767535000,971.0,889.0,504.0,,,
1709767540000,974.0,888.0,508.0,,,
1709767545000,974.0,890.0,505.0,,,
1709767550000,970.0,893.0,485.0,,,
1709767555000,954.0,944.0,459.0,,,
1709767560000,945.0,971.0,468.0,,,
1709767565000,952.0,982.0,467.0,,,
1709767570000,952.0,984.0,478.0,,,
1709767575000,955.0,985.0,476.0,,,
1709767580000,954.0,984.0,488.0,,,
1709767585000,953.0,984.0,482.0,,,
1709767590000,955.0,988.0,485.0,,,
1709767595000,955.0,988.0,491.0,,,
1709767600000,949.0,989.0,489.0,,,
1709767605000,946.0,989.0,489.0,,,
1709767610000,944.0,989.0,482.0,,,
1709767615000,956.0,988.0,483.0,,,
1709767620000,960.0,987.0,480.0,,,
1709767625000,958.0,990.0,484.0,,,
1709767630000,955.0,988.0,486.0,,,
1709767635000,953.0,988.0,486.0,,,
1709767640000,954.0,988.0,479.0,,,
1709767645000,952.0,988.0,496.0,,,
1709767650000,918.0,990.0,481.0,,,
1709767655000,919.0,990.0,485.0,,,
1709767660000,928.0,988.0,500.0,,,
1709767665000,932.0,987.0,497.0,,,
1709767670000,937.0,987.0,499.0,,,
1709767675000,933.0,989.0,502.0,,,
1709767680000,923.0,988.0,513.0,,,
1709767685000,920.0,988.0,513.0,,,
1709767690000,920.0,988.0,513.0,,,
1709767695000,913.0,988.0,511.0,,,
1709767700000,908.0,985.0,513.0,,,
1709767705000,913.0,985.0,504.0,,,
1709767710000,943.0,985.0,514.0,,,
1709767715000,941.0,986.0,529.0,,,
1709767720000,941.0,988.0,558.0,,,
1709767725000,943.0,989.0,608.0,,,
1709767730000,946.0,951.0,649.0,,,
1709767735000,953.0,936.0,645.0,,,
1709767740000,967.0,929.0,600.0,,,
1709767745000,913.0,924.0,577.0,,,
1709767750000,877.0,926.0,567.0,,,
1709767755000,830.0,926.0,547.0,,,
1709767760000,802.0,931.0,535.0,,,
1709767765000,757.0,931.0,519.0,,,
1709767770000,737.0,932.0,517.0,,,
1709767775000,711.0,932.0,493.0,,,
1709767780000,694.0,932.0,451.0,,,
1709767785000,652.0,932.0,398.0,,,
1709767790000,628.0,971.0,355.0,,,
1709767795000,618.0,986.0,354.0,,,
1709767800000,587.0,994.0,389.0,,,
1709767805000,624.0,1000.0,412.0,,,
1709767810000,640.0,1000.0,425.0,,,
1709767815000,672.0,1000.0,445.0,,,
1709767820000,695.0,1000.0,451.0,,,
1709767825000,732.0,999.0,466.0,,,
1709767830000,745.0,998.0,470.0,,,
1709767835000,768.0,,474.0,,,
1709767840000,,,,,,
1709767885000,,,,1000.0,,
1709767890000,1000.0,1000.0,1000.0,1000.0,,
1709767895000,746.0,287.0,283.0,232.0,,
1709767900000,873.0,491.0,303.0,270.0,,
1709767905000,916.0,467.0,254.0,271.0,,
1709767910000,937.0,554.0,277.0,295.0,,
1709767915000,950.0,579.0,272.0,291.0,,
1709767920000,936.0,626.0,291.0,306.0,,
1709767925000,943.0,675.0,329.0,334.0,,
1709767930000,941.0,715.0,362.0,370.0,,
1709767935000,945.0,746.0,393.0,379.0,,
1709767940000,949.0,766.0,408.0,397.0,,
1709767945000,945.0,783.0,404.0,394.0,,
1709767950000,948.0,797.0,401.0,393.0,,
1709767955000,961.0,855.0,414.0,411.0,,
1709767960000,960.0,878.0,434.0,429.0,,
1709767965000,957.0,926.0,460.0,442.0,,
1709767970000,949.0,940.0,473.0,451.0,,
1709767975000,941.0,967.0,494.0,470.0,,
1709767980000,929.0,978.0,501.0,479.0,,
1709767985000,897.0,981.0,485.0,467.0,,
