,flink_taskmanager_job_task_busyTimeMsPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks
,0
Timestamp,
1737484730000,1000.0
1737484735000,0.0
1737484740000,0.0
1737484745000,33.0
1737484750000,28.0
1737484755000,64.0
1737484760000,196.0
1737484765000,297.0
1737484770000,383.0
1737484775000,452.0
1737484780000,507.0
1737484785000,552.0
1737484790000,589.0
1737484795000,676.0
1737484800000,759.0
1737484805000,831.0
1737484810000,913.0
1737484815000,979.0
1737484820000,991.0
1737484825000,999.0
1737484830000,1000.0
1737484835000,1000.0
1737484840000,1000.0
1737484845000,1000.0
1737484850000,1000.0
1737484855000,1000.0
1737484860000,1000.0
1737484865000,
1737484885000,1000.0
1737484890000,1000.0
1737484895000,781.0
1737484900000,891.0
1737484905000,927.0
1737484910000,946.0
1737484915000,957.0
1737484920000,
1737484945000,1000.0
1737484950000,739.0
1737484955000,870.0
1737484960000,913.0
1737484965000,935.0
1737484970000,
