,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,0,1,2,3,4,5,6
Timestamp,,,,,,,
1708177785000,48289.56666666,47670.21666666,,,,,
1708177790000,48343.2,48152.68333333,,,,,
1708177795000,48351.233333330005,48406.53333333,,,,,
1708177800000,49417.2,48406.6,,,,,
1708177805000,49025.93333333,49431.96666666,,,,,
1708177810000,48523.7,48836.13333333,,,,,
1708177815000,48311.28333333,48435.66666666001,,,,,
1708177820000,47423.483333330005,48491.81666666,,,,,
1708177825000,50724.78333333,47478.9,,,,,
1708177830000,50972.65,50826.616666660004,,,,,
1708177835000,48349.46666666,50913.516666660005,,,,,
1708177840000,49598.75,48048.18333333,,,,,
1708177845000,48674.66666666001,49401.91666666001,,,,,
1708177850000,47125.8,48615.33333333,,,,,
1708177855000,52230.2,46868.733333330005,,,,,
1708177860000,48183.85,52217.21666666,,,,,
1708177865000,46423.8,47998.16666666001,,,,,
1708177870000,46375.483333330005,46448.366666660004,,,,,
1708177875000,47391.46666666,46323.96666666,,,,,
1708177880000,47987.366666660004,47080.016666660005,,,,,
1708177885000,47597.31666666,47891.05,,,,,
1708177890000,47635.96666666,47389.16666666001,,,,,
1708177895000,47470.83333333,47588.71666666,,,,,
1708177900000,47473.15,47445.06666666,,,,,
1708177905000,47655.21666666,47499.43333333,,,,,
1708177910000,46987.75,47665.7,,,,,
1708177915000,47191.2,47096.3,,,,,
1708177920000,50472.41666666001,47029.41666666001,,,,,
1708177925000,48978.866666660004,50318.46666666,,,,,
1708177930000,48085.8,48758.96666666,,,,,
1708177935000,0.0,,,,,,
1708177940000,3021.7666666666,0.0,,,,,
1708177945000,,3208.5166666666,,,,,
1708177950000,0.0,,,,,,
1708177955000,5086.45,0.0,,,,,
1708177960000,0.0,,,,,,
1708177965000,4762.46666667,0.0,,,,,
1708177970000,,4928.2,,,,,
1708177975000,,,,,,,
1708178020000,,,0.0,,,,
1708178025000,0.0,0.0,0.0,,,,
1708178030000,0.0,3.5,3.316666666666,,,,
1708178035000,3.75,323.4,345.1666666666,,,,
1708178040000,388.4,1752.4333333332997,1682.9,,,,
1708178045000,1498.55,5221.4,5208.75,,,,
1708178050000,5413.06666667,7949.15,7869.8,,,,
1708178055000,8159.3,10740.48333333,10492.86666666,,,,
1708178060000,10855.5,14996.05,14422.83333333,,,,
1708178065000,14857.783333329999,18580.816666659997,17991.25,,,,
1708178070000,18696.88333333,22166.93333333,21415.566666659997,,,,
1708178075000,22037.63333333,26047.28333333,25056.3,,,,
1708178080000,25898.21666666,28085.78333333,27010.516666659998,,,,
1708178085000,27886.5,28085.78333333,27010.516666659998,,,,
1708178090000,27886.5,28370.583333330003,27287.11666666,,,,
1708178095000,27882.75,28323.5,27205.316666659997,,,,
1708178100000,27940.53333333,28446.583333330003,27476.316666659997,,,,
1708178105000,28699.86666666,28841.066666659997,27723.95,,,,
1708178110000,28545.36666666,28124.833333330003,26964.633333330003,,,,
1708178115000,27834.85,28821.98333333,27559.71666666,,,,
1708178120000,28346.583333330003,28590.266666659998,27659.766666659998,,,,
1708178125000,28636.45,29330.48333333,28359.85,,,,
1708178130000,29133.98333333,29141.566666659997,28067.21666666,,,,
1708178135000,28922.833333330003,29295.083333330003,28400.1,,,,
1708178140000,29235.316666659997,30646.91666666,29480.71666666,,,,
1708178145000,30332.883333330003,30646.91666666,29480.71666666,,,,
1708178150000,30332.883333330003,30618.05,29448.0,,,,
1708178155000,30332.883333330003,30446.75,29281.23333333,,,,
1708178160000,30222.833333330003,30771.35,29477.61666666,,,,
1708178165000,30288.46666666,31305.583333330003,29935.333333330003,,,,
1708178170000,30808.95,33421.7,32200.6,,,,
1708178175000,33062.63333333,31614.066666659997,30723.1,,,,
1708178180000,31685.683333330002,31325.5,30162.05,,,,
1708178185000,31013.45,31619.016666659998,30134.583333330003,,,,
1708178190000,30940.75,33231.2,32009.23333333,,,,
1708178195000,33105.55,33454.93333333,32090.7,,,,
1708178200000,32982.4,30953.45,29858.7,,,,
1708178205000,30864.85,33106.83333333,31850.35,,,,
1708178210000,32758.933333330002,32847.4,31797.95,,,,
1708178215000,32758.933333330002,34553.93333333,33426.6,,,,
1708178220000,34600.6,37159.26666666,35933.81666666,,,,
1708178225000,36787.53333333,37163.8,35952.3,,,,
1708178230000,37225.05,36412.9,34983.83333333,,,,
1708178235000,36191.63333333,39290.45,37608.85,,,,
1708178240000,38948.55,37344.53333333,35720.63333333,,,,
1708178245000,36735.51666666,32726.03333333,31725.95,,,,
1708178250000,32471.583333330003,28254.36666666,27188.05,,,,
1708178255000,27691.96666666,27736.11666666,26661.45,,,,
1708178260000,27750.85,31540.95,30424.71666666,,,,
1708178265000,31331.55,32040.85,30865.98333333,,,,
1708178270000,31711.48333333,33676.65,32396.383333330003,,,,
1708178275000,33364.68333333,34506.85,33201.58333333,,,,
1708178280000,34132.03333333,33844.6,32499.21666666,,,,
1708178285000,33664.41666666,33804.466666659995,32365.73333333,,,,
1708178290000,33394.983333330005,35357.75,33842.38333333,,,,
1708178295000,34666.55,33343.81666666,32070.683333330002,,,,
1708178300000,32876.06666666,33476.1,32181.133333330003,,,,
1708178305000,33157.2,33476.1,31934.78333333,,,,
1708178310000,33157.2,33179.18333333,31710.66666666,,,,
1708178315000,32844.466666659995,32545.933333330002,31308.083333330003,,,,
1708178320000,31821.816666659997,31611.183333330002,30385.833333330003,,,,
1708178325000,31229.95,32271.05,31050.98333333,,,,
1708178330000,32120.21666666,34722.31666666,33428.76666666,,,,
1708178335000,34745.81666666,34153.233333330005,32647.86666666,,,,
1708178340000,33543.9,30333.433333330002,29274.066666659997,,,,
1708178345000,29889.46666666,28024.95,27027.083333330003,,,,
1708178350000,27702.11666666,26843.78333333,25823.91666666,,,,
1708178355000,26663.23333333,28679.3,27625.0,,,,
1708178360000,28559.183333330002,31044.5,30000.65,,,,
1708178365000,30849.28333333,31909.11666666,30703.016666659998,,,,
1708178370000,31634.766666659998,32614.2,31367.15,,,,
1708178375000,32330.55,32001.98333333,30791.15,,,,
1708178380000,32010.133333330003,32132.2,30961.4,,,,
1708178385000,31828.016666659998,31488.766666659998,30284.316666659997,,,,
1708178390000,31079.833333330003,31715.1,30260.78333333,,,,
1708178395000,31115.133333330003,30558.35,29396.73333333,,,,
1708178400000,30242.53333333,31968.05,30674.66666666,,,,
1708178405000,31797.03333333,33852.4,32665.266666659998,,,,
1708178410000,33613.38333333,33973.61666666,32865.91666666,,,,
1708178415000,33866.6,33477.9,32236.883333330003,,,,
1708178420000,33169.0,31699.633333330003,,,,,
1708178425000,,,,,,,
1708178470000,,0.0,0.0,0.0,,,
1708178475000,0.0,0.0,0.0,0.0,,,
1708178480000,1.85,1.883333333333,2.016666666666,2.216666666666,,,
1708178485000,1.85,1.883333333333,2.016666666666,2.216666666666,,,
1708178490000,1.85,223.0166666666,221.6,222.05,,,
1708178495000,202.4,431.7833333333,442.25,443.0666666666,,,
1708178500000,1786.2333333333,1890.7166666666,1957.8833333332998,1932.3833333332998,,,
1708178505000,4398.4,4776.46666667,4887.6,4844.88333333,,,
1708178510000,7706.983333329999,8091.35,8147.61666666,8143.66666666,,,
1708178515000,9797.81666666,9867.81666666,9797.11666666,9829.11666666,,,
1708178520000,9797.81666666,9867.81666666,9797.11666666,9829.11666666,,,
1708178525000,10421.3,10484.5,10414.71666666,10453.75,,,
1708178530000,11654.95,12024.0,12043.116666659998,12037.9,,,
1708178535000,14331.116666659998,14791.18333333,14710.93333333,14775.45,,,
1708178540000,17575.15,18097.1,18058.9,18134.3,,,
1708178545000,19171.58333333,19690.13333333,19740.55,19730.43333333,,,
1708178550000,21391.9,21315.16666666,21156.05,21248.316666659997,,,
1708178555000,21191.35,21106.4,20935.4,21027.3,,,
1708178560000,20191.733333329998,20292.6,20070.733333329998,20184.566666659997,,,
1708178565000,19202.983333329998,19348.8,19218.066666659997,19289.6,,,
1708178570000,19481.93333333,19600.7,19471.1,19520.66666666,,,
1708178575000,21045.9,21531.46666666,21518.11666666,21545.766666659998,,,
1708178580000,21532.566666659997,21676.95,21531.93333333,21619.88333333,,,
1708178585000,21365.63333333,21527.0,21366.766666659998,21458.266666659998,,,
1708178590000,22328.1,22574.6,22470.71666666,22518.6,,,
1708178595000,23542.98333333,23721.73333333,23667.25,23672.41666666,,,
1708178600000,21820.2,21572.86666666,21324.6,21407.93333333,,,
1708178605000,22292.233333329998,22421.45,22188.066666659997,22304.85,,,
1708178610000,21413.66666666,21570.86666666,21423.4,21499.8,,,
1708178615000,21413.66666666,21619.78333333,21667.2,21745.38333333,,,
1708178620000,21349.15,21694.516666659998,21534.88333333,21622.18333333,,,
1708178625000,22917.63333333,23093.9,22957.41666666,23014.46666666,,,
1708178630000,22199.58333333,22277.78333333,21993.15,22145.61666666,,,
1708178635000,21953.6,21761.88333333,21464.2,21621.016666659998,,,
1708178640000,21466.93333333,21616.4,21450.38333333,21546.9,,,
1708178645000,21406.516666659998,21914.61666666,21886.566666659997,21894.33333333,,,
1708178650000,22105.516666659998,21884.88333333,21554.93333333,21748.5,,,
1708178655000,18214.46666666,17970.566666659997,17690.58333333,17857.13333333,,,
1708178660000,17108.816666659997,17582.3,17576.983333329998,17580.28333333,,,
1708178665000,18461.766666659998,18628.78333333,18538.83333333,18590.7,,,
1708178670000,18731.43333333,19258.9,19311.25,19303.21666666,,,
1708178675000,21144.75,21233.516666659998,20882.36666666,20974.16666666,,,
1708178680000,20625.05,20771.13333333,20677.733333329998,20699.18333333,,,
1708178685000,19831.85,19978.3,19804.95,19909.95,,,
1708178690000,20717.46666666,20994.66666666,20835.43333333,20919.41666666,,,
1708178695000,17672.46666666,18051.91666666,17932.18333333,17987.3,,,
1708178700000,20851.05,21002.58333333,20845.95,20925.483333329998,,,
1708178705000,20454.91666666,20237.63333333,19957.33333333,20115.03333333,,,
1708178710000,18099.55,18230.4,18111.68333333,18166.066666659997,,,
1708178715000,20109.13333333,20616.233333329998,20633.516666659998,20607.83333333,,,
1708178720000,21977.233333329998,22098.28333333,21984.733333329998,22044.016666659998,,,
1708178725000,21903.68333333,21680.58333333,21358.86666666,21509.53333333,,,
1708178730000,20292.266666659998,20054.88333333,19716.03333333,19864.35,,,
1708178735000,18283.983333329998,18706.93333333,18612.816666659997,18652.15,,,
1708178740000,21050.733333329998,20953.38333333,20752.2,20894.9,,,
1708178745000,18652.03333333,18404.88333333,18125.4,18504.6,,,
1708178750000,16274.75,16338.48333333,16374.48333333,16346.56666666,,,
1708178755000,19564.71666666,19801.33333333,19766.41666666,19794.066666659997,,,
1708178760000,17311.1,17436.91666666,17324.46666666,17379.9,,,
1708178765000,18644.03333333,19102.45,19099.91666666,19096.93333333,,,
1708178770000,20145.46666666,20294.41666666,20144.0,20226.7,,,
1708178775000,18135.88333333,17908.58333333,17855.15,18019.05,,,
1708178780000,16683.9,16802.3,16626.983333329998,16728.43333333,,,
1708178785000,16537.61666666,16945.1,16957.7,16962.46666666,,,
1708178790000,17239.316666659997,17343.35,17219.88333333,17305.86666666,,,
1708178795000,19716.21666666,19897.38333333,19854.33333333,19907.3,,,
1708178800000,17406.38333333,17539.71666666,17400.93333333,17464.45,,,
1708178805000,17845.1,18007.66666666,17874.71666666,17716.38333333,,,
1708178810000,19260.65,19091.5,18799.7,18966.45,,,
1708178815000,18714.45,18795.733333329998,18534.566666659997,18673.95,,,
1708178820000,18074.4,18209.483333329998,18062.75,18149.93333333,,,
1708178825000,17407.43333333,17401.38333333,17259.733333329998,17339.6,,,
1708178830000,18306.15,18432.3,18297.8,18375.566666659997,,,
1708178835000,18306.15,18432.3,18064.816666659997,18375.35,,,
1708178840000,18038.35,18092.266666659998,17856.93333333,17988.983333329998,,,
1708178845000,17668.516666659998,17801.766666659998,17714.066666659997,17760.016666659998,,,
1708178850000,18353.43333333,18490.516666659998,18372.066666659997,18444.733333329998,,,
