,flink_taskmanager_job_task_numRecordsInPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks
,0
Timestamp,
1737538790000,0.0
1737538795000,0.0
1737538800000,0.0
1737538805000,100.05
1737538810000,436.5833333333
1737538815000,531.65
1737538820000,6312.0
1737538825000,10562.55
1737538830000,16582.95
1737538835000,21174.9
1737538840000,25289.05
1737538845000,25289.05
1737538850000,32443.96666666
1737538855000,39864.36666666
1737538860000,39864.36666666
1737538865000,41400.216666659995
1737538870000,48402.93333333
1737538875000,48307.866666660004
1737538880000,46625.266666660005
1737538885000,44694.05
1737538890000,38995.2
1737538895000,39728.91666666
1737538900000,35614.76666666
1737538905000,36733.483333330005
1737538910000,31606.48333333
1737538915000,31529.583333330003
1737538920000,39900.0
1737538925000,45740.733333330005
1737538930000,38739.31666666
1737538935000,44391.36666666
1737538940000,40293.61666666
1737538945000,43661.483333330005
1737538950000,43339.93333333
1737538955000,44269.76666666
1737538960000,44269.76666666
1737538965000,48917.85
1737538970000,46889.93333333
1737538975000,40935.11666666
1737538980000,32564.7
1737538985000,30222.91666666
1737538990000,37828.81666666
1737538995000,37989.15
1737539000000,43954.15
1737539005000,38266.95
1737539010000,44199.25
1737539015000,37943.75
1737539020000,43773.61666666
1737539025000,38006.81666666
1737539030000,44277.81666666
1737539035000,
