Parallelism,Throughput,ThroughputStdErr,BusyTime,BusyTimeStdErr,Predictions
0,0.0,0.0,,,
1,18890.808333330042,786.5360457078558,879.8157894736842,28.993866426340045,
2,37951.39465811338,1198.3944866012437,899.8116883116883,8.772374179216179,44832.0
3,55153.83508770978,1527.7304276133507,884.6184210526316,6.687455191518831,65240.0
4,73256.10855854693,2217.3974389166724,826.5675675675676,9.591612233117528,80732.0
5,82769.6217948558,2702.3711996598786,764.1692307692307,8.979643921462225,101307.0
6,96055.08728068336,2607.7756535260455,752.203947368421,7.613804921310547,110019.0
7,101399.43059358606,3131.491057217099,647.1624266144814,9.933832091681625,114251.0
