,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks
,0,1,2,3,4,5,6,7
Timestamp,,,,,,,,
1737112400000,934.0,765.0,633.0,785.0,617.0,623.0,,
1737112405000,938.0,772.0,638.0,783.0,629.0,631.0,,
1737112410000,940.0,783.0,645.0,778.0,664.0,675.0,,
1737112415000,992.0,807.0,698.0,791.0,688.0,692.0,,
1737112420000,993.0,810.0,713.0,791.0,715.0,716.0,,
1737112425000,982.0,835.0,738.0,786.0,725.0,721.0,,
1737112430000,982.0,826.0,729.0,810.0,728.0,732.0,,
1737112435000,983.0,815.0,722.0,807.0,721.0,716.0,,
1737112440000,981.0,809.0,732.0,790.0,703.0,703.0,,
1737112445000,979.0,836.0,750.0,793.0,717.0,696.0,,
1737112450000,975.0,830.0,745.0,808.0,726.0,686.0,,
1737112455000,974.0,830.0,742.0,814.0,731.0,692.0,,
1737112460000,974.0,852.0,745.0,809.0,747.0,703.0,,
1737112465000,965.0,855.0,758.0,825.0,750.0,695.0,,
1737112470000,964.0,853.0,760.0,840.0,765.0,701.0,,
1737112475000,962.0,845.0,767.0,828.0,774.0,714.0,,
1737112480000,961.0,850.0,767.0,839.0,784.0,725.0,,
1737112485000,972.0,847.0,772.0,844.0,788.0,725.0,,
1737112490000,969.0,858.0,783.0,840.0,785.0,718.0,,
1737112495000,969.0,863.0,790.0,850.0,795.0,735.0,,
1737112500000,971.0,859.0,793.0,864.0,805.0,747.0,,
1737112505000,969.0,854.0,785.0,860.0,799.0,756.0,,
1737112510000,972.0,865.0,796.0,860.0,796.0,767.0,,
1737112515000,971.0,867.0,793.0,848.0,786.0,758.0,,
1737112520000,968.0,851.0,798.0,835.0,779.0,754.0,,
1737112525000,978.0,844.0,793.0,829.0,782.0,771.0,,
1737112530000,982.0,837.0,799.0,818.0,782.0,776.0,,
1737112535000,982.0,853.0,802.0,820.0,782.0,771.0,,
1737112540000,981.0,851.0,807.0,831.0,782.0,760.0,,
1737112545000,979.0,851.0,799.0,835.0,789.0,764.0,,
1737112550000,978.0,830.0,787.0,833.0,786.0,767.0,,
1737112555000,976.0,811.0,783.0,839.0,771.0,759.0,,
1737112560000,977.0,806.0,781.0,836.0,756.0,748.0,,
1737112565000,979.0,810.0,780.0,828.0,754.0,747.0,,
1737112570000,979.0,796.0,786.0,819.0,762.0,749.0,,
1737112575000,978.0,796.0,784.0,828.0,773.0,748.0,,
1737112580000,981.0,805.0,779.0,843.0,771.0,750.0,,
1737112585000,979.0,807.0,772.0,834.0,763.0,733.0,,
1737112590000,977.0,798.0,759.0,830.0,759.0,727.0,,
1737112595000,978.0,781.0,751.0,828.0,747.0,719.0,,
1737112600000,978.0,782.0,749.0,808.0,743.0,727.0,,
1737112605000,,,,,,,,
1737112625000,,1000.0,,,1000.0,,,1000.0
1737112630000,1000.0,1000.0,1000.0,1000.0,39.0,100.0,1000.0,1000.0
1737112635000,572.0,0.0,86.0,1000.0,218.0,251.0,0.0,0.0
1737112640000,786.0,153.0,280.0,0.0,270.0,297.0,173.0,7.0
1737112645000,858.0,269.0,400.0,0.0,321.0,346.0,296.0,166.0
1737112650000,893.0,329.0,470.0,180.0,374.0,392.0,356.0,277.0
1737112655000,904.0,372.0,501.0,291.0,408.0,401.0,395.0,321.0
1737112660000,914.0,400.0,531.0,353.0,442.0,435.0,421.0,383.0
1737112665000,923.0,426.0,560.0,401.0,461.0,458.0,453.0,419.0
1737112670000,929.0,440.0,580.0,440.0,472.0,470.0,459.0,441.0
1737112675000,937.0,449.0,581.0,473.0,478.0,479.0,475.0,450.0
1737112680000,933.0,470.0,578.0,482.0,488.0,489.0,494.0,476.0
1737112685000,929.0,493.0,584.0,496.0,507.0,512.0,515.0,489.0
1737112690000,933.0,506.0,596.0,504.0,564.0,560.0,531.0,508.0
1737112695000,968.0,566.0,643.0,517.0,577.0,580.0,590.0,588.0
1737112700000,968.0,568.0,664.0,600.0,609.0,610.0,595.0,625.0
1737112705000,964.0,589.0,660.0,635.0,623.0,622.0,612.0,638.0
1737112710000,964.0,602.0,670.0,645.0,635.0,620.0,623.0,658.0
1737112715000,964.0,601.0,668.0,662.0,623.0,626.0,623.0,665.0
1737112720000,964.0,611.0,650.0,658.0,627.0,632.0,641.0,661.0
1737112725000,963.0,621.0,643.0,642.0,639.0,641.0,650.0,667.0
1737112730000,965.0,628.0,652.0,648.0,645.0,645.0,659.0,682.0
1737112735000,964.0,633.0,652.0,655.0,653.0,647.0,661.0,682.0
1737112740000,963.0,638.0,654.0,659.0,662.0,652.0,668.0,657.0
1737112745000,973.0,633.0,671.0,653.0,658.0,656.0,658.0,671.0
1737112750000,973.0,631.0,671.0,671.0,647.0,654.0,652.0,671.0
1737112755000,972.0,646.0,676.0,676.0,646.0,655.0,662.0,667.0
