Timestamp,flink_jobmanager_job_lastCheckpointSize
0,-1.0
5,42510.0
10,653756.0
15,1643697.0
20,1643697.0
25,7011829.0
30,7011829.0
35,17792616.0
40,23706897.0
45,26167795.0
50,11840641.0
55,20821578.0
60,20821578.0
65,5833641.0
70,5833641.0
75,5833641.0
80,15682084.0
85,9079759.0
90,9079759.0
95,9079759.0
100,10555031.0
105,10555031.0
110,17988364.0
115,14259917.0
120,27842646.0
125,27842646.0
130,15548392.0
135,15548392.0
140,25003779.0
145,24483881.0
150,24483881.0
155,31006855.0
160,31006855.0
165,28055559.0
170,28055559.0
175,28055559.0
180,37215750.0
185,37812737.0
190,23657582.0
195,23657582.0
200,37276583.0
205,40771342.0
210,40771342.0
215,29676995.0
220,29676995.0
225,16670955.0
230,16670955.0
235,25546610.0
240,6641407.0
245,9138413.0
250,9138413.0
255,
275,-1.0
280,-1.0
285,9989762.0
290,24353761.0
295,24353761.0
300,38107034.0
305,20936242.0
310,34973950.0
315,38680717.0
320,18223547.0
325,26554910.0
330,44345515.0
335,22844993.0
340,27561068.0
345,38105990.0
350,16402275.0
355,25038077.0
360,29612561.0
365,39775063.0
370,28234219.0
375,40463832.0
380,50443974.0
385,18323306.0
390,37396292.0
395,41312243.0
400,23276301.0
405,23276301.0
410,33995344.0
415,13385967.0
420,22094215.0
425,39595167.0
430,39595167.0
435,24788439.0
440,34584486.0
445,34584486.0
450,20516831.0
455,31156163.0
460,14568526.0
465,24447279.0
470,24447279.0
475,42325537.0
480,21433478.0
485,38622578.0
490,40688659.0
495,40688659.0
500,26270492.0
505,36858334.0
510,16082270.0
515,26574462.0
520,38801985.0
525,41887387.0
530,22861438.0
535,22861438.0
540,
560,-1.0
565,-1.0
570,6781098.0
575,18616635.0
580,29086245.0
585,24590411.0
590,47991606.0
595,60219305.0
600,19110964.0
605,30789814.0
610,43479933.0
615,14961801.0
620,26156994.0
625,37507367.0
630,39044611.0
635,20027469.0
640,31296571.0
645,46635516.0
650,18801733.0
655,34579336.0
660,44620657.0
665,11241284.0
670,34363081.0
675,38834010.0
680,20352425.0
685,32115058.0
690,44412547.0
695,53771875.0
700,28199556.0
705,38832873.0
710,42058429.0
715,36821708.0
720,46134850.0
725,54667997.0
730,11330757.0
735,19624277.0
740,25401653.0
745,12950922.0
750,34348942.0
755,32773518.0
760,15155850.0
765,25142773.0
770,35259840.0
775,40637929.0
780,27707542.0
785,35753875.0
790,18249086.0
795,27177113.0
800,35947228.0
805,41731125.0
810,14847292.0
815,30974240.0
820,
850,-1.0
855,14028264.0
860,23081332.0
865,26220369.0
870,24122058.0
875,37901104.0
880,38406311.0
885,25574927.0
890,40837452.0
895,55680917.0
900,29819818.0
905,46027904.0
910,68175717.0
915,39416367.0
920,64263626.0
925,78484153.0
930,78607032.0
935,24238973.0
940,36725536.0
945,40498950.0
950,18719136.0
955,44827742.0
960,50294792.0
965,22164706.0
970,39366380.0
975,66124990.0
980,25636687.0
985,38455794.0
990,65967846.0
995,20276016.0
1000,29707493.0
1005,39431828.0
1010,17094338.0
1015,28645730.0
1020,40555650.0
1025,22927673.0
1030,38276457.0
1035,38276457.0
1040,60063673.0
1045,21086860.0
1050,35797808.0
1055,54471737.0
1060,14080685.0
1065,22506219.0
1070,38011012.0
1075,19802694.0
1080,32934244.0
1085,46979868.0
1090,52231921.0
1095,
