,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs
,Source:_Source2
,0
Timestamp,
1737112125000,-9.223372036854775e+18
1737112130000,-9.223372036854775e+18
1737112135000,-9.223372036854775e+18
1737112140000,-9.223372036854775e+18
1737112145000,-9.223372036854775e+18
1737112150000,-9.223372036854775e+18
1737112155000,-9.223372036854775e+18
1737112160000,-9.223372036854775e+18
1737112165000,-9.223372036854775e+18
1737112170000,-9.223372036854775e+18
1737112175000,-9.223372036854775e+18
1737112180000,-9.223372036854775e+18
1737112185000,-9.223372036854775e+18
1737112190000,-9.223372036854775e+18
1737112195000,-9.223372036854775e+18
1737112200000,-9.223372036854775e+18
1737112205000,-9.223372036854775e+18
1737112210000,-9.223372036854775e+18
1737112215000,-9.223372036854775e+18
1737112220000,-9.223372036854775e+18
1737112225000,-9.223372036854775e+18
1737112230000,-9.223372036854775e+18
1737112235000,-9.223372036854775e+18
1737112240000,-9.223372036854775e+18
1737112245000,-9.223372036854775e+18
1737112250000,-9.223372036854775e+18
1737112255000,-9.223372036854775e+18
1737112260000,-9.223372036854775e+18
1737112265000,-9.223372036854775e+18
1737112270000,-9.223372036854775e+18
1737112275000,-9.223372036854775e+18
1737112280000,-9.223372036854775e+18
1737112285000,-9.223372036854775e+18
1737112290000,-9.223372036854775e+18
1737112295000,-9.223372036854775e+18
1737112300000,-9.223372036854775e+18
1737112305000,-9.223372036854775e+18
1737112310000,-9.223372036854775e+18
1737112315000,-9.223372036854775e+18
1737112320000,
1737112345000,-9.223372036854775e+18
1737112350000,-9.223372036854775e+18
1737112355000,-9.223372036854775e+18
1737112360000,-9.223372036854775e+18
1737112365000,-9.223372036854775e+18
1737112370000,-9.223372036854775e+18
1737112375000,-9.223372036854775e+18
1737112380000,-9.223372036854775e+18
1737112385000,-9.223372036854775e+18
1737112390000,-9.223372036854775e+18
1737112395000,-9.223372036854775e+18
1737112400000,-9.223372036854775e+18
1737112405000,-9.223372036854775e+18
1737112410000,-9.223372036854775e+18
1737112415000,-9.223372036854775e+18
1737112420000,-9.223372036854775e+18
1737112425000,-9.223372036854775e+18
1737112430000,-9.223372036854775e+18
1737112435000,-9.223372036854775e+18
1737112440000,-9.223372036854775e+18
1737112445000,-9.223372036854775e+18
1737112450000,-9.223372036854775e+18
1737112455000,-9.223372036854775e+18
1737112460000,-9.223372036854775e+18
1737112465000,-9.223372036854775e+18
1737112470000,-9.223372036854775e+18
1737112475000,-9.223372036854775e+18
1737112480000,-9.223372036854775e+18
1737112485000,-9.223372036854775e+18
1737112490000,-9.223372036854775e+18
1737112495000,-9.223372036854775e+18
1737112500000,-9.223372036854775e+18
1737112505000,-9.223372036854775e+18
1737112510000,-9.223372036854775e+18
1737112515000,-9.223372036854775e+18
1737112520000,-9.223372036854775e+18
1737112525000,-9.223372036854775e+18
1737112530000,-9.223372036854775e+18
1737112535000,-9.223372036854775e+18
1737112540000,-9.223372036854775e+18
1737112545000,-9.223372036854775e+18
1737112550000,-9.223372036854775e+18
1737112555000,-9.223372036854775e+18
1737112560000,-9.223372036854775e+18
1737112565000,-9.223372036854775e+18
1737112570000,-9.223372036854775e+18
1737112575000,-9.223372036854775e+18
1737112580000,-9.223372036854775e+18
1737112585000,-9.223372036854775e+18
1737112590000,-9.223372036854775e+18
1737112595000,-9.223372036854775e+18
1737112600000,-9.223372036854775e+18
1737112605000,
1737112625000,-9.223372036854775e+18
1737112630000,-9.223372036854775e+18
1737112635000,-9.223372036854775e+18
1737112640000,-9.223372036854775e+18
1737112645000,-9.223372036854775e+18
1737112650000,-9.223372036854775e+18
1737112655000,-9.223372036854775e+18
1737112660000,-9.223372036854775e+18
1737112665000,-9.223372036854775e+18
1737112670000,-9.223372036854775e+18
1737112675000,-9.223372036854775e+18
1737112680000,-9.223372036854775e+18
1737112685000,-9.223372036854775e+18
1737112690000,-9.223372036854775e+18
1737112695000,-9.223372036854775e+18
1737112700000,-9.223372036854775e+18
1737112705000,-9.223372036854775e+18
1737112710000,-9.223372036854775e+18
1737112715000,-9.223372036854775e+18
1737112720000,-9.223372036854775e+18
1737112725000,-9.223372036854775e+18
1737112730000,-9.223372036854775e+18
1737112735000,-9.223372036854775e+18
1737112740000,-9.223372036854775e+18
1737112745000,-9.223372036854775e+18
1737112750000,-9.223372036854775e+18
1737112755000,-9.223372036854775e+18
1737112760000,-9.223372036854775e+18
1737112765000,-9.223372036854775e+18
1737112770000,-9.223372036854775e+18
1737112775000,-9.223372036854775e+18
1737112780000,-9.223372036854775e+18
1737112785000,-9.223372036854775e+18
1737112790000,-9.223372036854775e+18
1737112795000,-9.223372036854775e+18
1737112800000,-9.223372036854775e+18
1737112805000,-9.223372036854775e+18
1737112810000,-9.223372036854775e+18
1737112815000,-9.223372036854775e+18
1737112820000,-9.223372036854775e+18
1737112825000,-9.223372036854775e+18
1737112830000,-9.223372036854775e+18
1737112835000,-9.223372036854775e+18
1737112840000,-9.223372036854775e+18
1737112845000,-9.223372036854775e+18
1737112850000,-9.223372036854775e+18
1737112855000,-9.223372036854775e+18
1737112860000,-9.223372036854775e+18
1737112865000,-9.223372036854775e+18
1737112870000,-9.223372036854775e+18
1737112875000,
