,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks
,0,1,2,3
Timestamp,,,,
1737802870000,1000.0,,,
1737802875000,694.0,,,
1737802880000,515.0,,,
1737802885000,668.0,,,
1737802890000,751.0,,,
1737802895000,801.0,,,
1737802900000,834.0,,,
1737802905000,858.0,,,
1737802910000,876.0,,,
1737802915000,890.0,,,
1737802920000,901.0,,,
1737802925000,909.0,,,
1737802930000,917.0,,,
1737802935000,942.0,,,
1737802940000,997.0,,,
1737802945000,1000.0,,,
1737802950000,998.0,,,
1737802955000,998.0,,,
1737802960000,998.0,,,
1737802965000,998.0,,,
1737802970000,998.0,,,
1737802975000,998.0,,,
1737802980000,998.0,,,
1737802985000,999.0,,,
1737802990000,999.0,,,
1737802995000,999.0,,,
1737803000000,999.0,,,
1737803005000,999.0,,,
1737803010000,1000.0,,,
1737803015000,1000.0,,,
1737803020000,1000.0,,,
1737803025000,1000.0,,,
1737803030000,1000.0,,,
1737803035000,1000.0,,,
1737803040000,1000.0,,,
1737803045000,1000.0,,,
1737803050000,1000.0,,,
1737803055000,1000.0,,,
1737803060000,999.0,,,
1737803065000,999.0,,,
1737803070000,999.0,,,
1737803075000,999.0,,,
1737803080000,999.0,,,
1737803085000,999.0,,,
1737803090000,999.0,,,
1737803095000,999.0,,,
1737803100000,999.0,,,
1737803105000,1000.0,,,
1737803110000,1000.0,,,
1737803115000,1000.0,,,
1737803120000,1000.0,,,
1737803125000,,,,
1737803145000,1000.0,1000.0,,
1737803150000,1000.0,1000.0,,
1737803155000,784.0,78.0,,
1737803160000,892.0,520.0,,
1737803165000,928.0,657.0,,
1737803170000,942.0,715.0,,
1737803175000,954.0,772.0,,
1737803180000,957.0,810.0,,
1737803185000,957.0,817.0,,
1737803190000,962.0,832.0,,
1737803195000,966.0,841.0,,
1737803200000,965.0,856.0,,
1737803205000,967.0,863.0,,
1737803210000,969.0,872.0,,
1737803215000,987.0,945.0,,
1737803220000,985.0,940.0,,
1737803225000,985.0,940.0,,
1737803230000,987.0,940.0,,
1737803235000,987.0,938.0,,
1737803240000,989.0,936.0,,
1737803245000,991.0,940.0,,
1737803250000,991.0,946.0,,
1737803255000,992.0,949.0,,
1737803260000,994.0,944.0,,
1737803265000,994.0,943.0,,
1737803270000,995.0,940.0,,
1737803275000,995.0,937.0,,
1737803280000,990.0,939.0,,
1737803285000,989.0,941.0,,
1737803290000,988.0,945.0,,
1737803295000,984.0,942.0,,
1737803300000,980.0,940.0,,
1737803305000,981.0,947.0,,
1737803310000,981.0,943.0,,
1737803315000,981.0,945.0,,
1737803320000,982.0,944.0,,
1737803325000,979.0,948.0,,
1737803330000,978.0,953.0,,
1737803335000,977.0,958.0,,
1737803340000,983.0,961.0,,
1737803345000,982.0,952.0,,
1737803350000,983.0,952.0,,
1737803355000,987.0,956.0,,
1737803360000,987.0,951.0,,
1737803365000,988.0,944.0,,
1737803370000,985.0,947.0,,
1737803375000,983.0,943.0,,
1737803380000,983.0,948.0,,
1737803385000,985.0,947.0,,
1737803390000,985.0,940.0,,
1737803395000,985.0,940.0,,
1737803400000,,942.0,,
1737803405000,,,,
1737803425000,,1000.0,,
1737803430000,686.0,1000.0,1000.0,
1737803435000,812.0,87.0,176.0,
1737803440000,864.0,471.0,484.0,
1737803445000,895.0,610.0,614.0,
1737803450000,916.0,679.0,684.0,
1737803455000,924.0,719.0,730.0,
1737803460000,926.0,747.0,750.0,
1737803465000,934.0,771.0,773.0,
1737803470000,939.0,786.0,790.0,
1737803475000,943.0,796.0,803.0,
1737803480000,941.0,802.0,806.0,
1737803485000,942.0,814.0,815.0,
