,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks
,0,1,2,3
Timestamp,,,,
1737802870000,0.0,,,
1737802875000,1816.7166666666,,,
1737802880000,2762.9666666666,,,
1737802885000,8139.13333333,,,
1737802890000,13183.05,,,
1737802895000,16991.93333333,,,
1737802900000,22364.38333333,,,
1737802905000,22364.38333333,,,
1737802910000,28834.3,,,
1737802915000,29508.05,,,
1737802920000,30269.15,,,
1737802925000,35763.0,,,
1737802930000,35763.0,,,
1737802935000,35603.66666666,,,
1737802940000,38850.43333333,,,
1737802945000,33474.26666666,,,
1737802950000,32933.55,,,
1737802955000,30676.41666666,,,
1737802960000,25303.96666666,,,
1737802965000,29279.183333330002,,,
1737802970000,22809.266666659998,,,
1737802975000,28057.6,,,
1737802980000,34128.58333333,,,
1737802985000,34571.466666659995,,,
1737802990000,37673.68333333,,,
1737802995000,41388.9,,,
1737803000000,37195.88333333,,,
1737803005000,39100.26666666,,,
1737803010000,38915.35,,,
1737803015000,37363.6,,,
1737803020000,42997.43333333,,,
1737803025000,39022.216666659995,,,
1737803030000,40832.08333333,,,
1737803035000,38766.15,,,
1737803040000,31934.066666659997,,,
1737803045000,27346.65,,,
1737803050000,24408.15,,,
1737803055000,23181.1,,,
1737803060000,29470.566666659997,,,
1737803065000,34588.55,,,
1737803070000,33399.85,,,
1737803075000,39594.216666659995,,,
1737803080000,33960.38333333,,,
1737803085000,35202.41666666,,,
1737803090000,37938.51666666,,,
1737803095000,34082.36666666,,,
1737803100000,40040.18333333,,,
1737803105000,38936.56666666,,,
1737803110000,39063.26666666,,,
1737803115000,36767.51666666,,,
1737803120000,30478.05,,,
1737803125000,,,,
1737803145000,0.0,0.0,,
1737803150000,0.0,0.0,,
1737803155000,5630.98333333,4858.85,,
1737803160000,11126.95,11074.23333333,,
1737803165000,13949.5,13889.61666666,,
1737803170000,17099.65,17006.78333333,,
1737803175000,17535.13333333,17448.61666666,,
1737803180000,19933.38333333,18201.11666666,,
1737803185000,26216.63333333,23888.26666666,,
1737803190000,29137.3,29020.71666666,,
1737803195000,31624.06666666,31502.68333333,,
1737803200000,34275.2,34149.85,,
1737803205000,37208.43333333,34964.16666666,,
1737803210000,38718.28333333,37078.3,,
1737803215000,34918.93333333,35540.51666666,,
1737803220000,31936.83333333,31751.21666666,,
1737803225000,31878.88333333,31775.95,,
1737803230000,31718.43333333,30898.63333333,,
1737803235000,34404.0,31563.58333333,,
1737803240000,33074.95,33507.18333333,,
1737803245000,28374.633333330003,30458.816666659997,,
1737803250000,27164.1,25732.41666666,,
1737803255000,32307.25,29635.25,,
1737803260000,32795.81666666,32626.266666659998,,
1737803265000,33217.08333333,33969.93333333,,
1737803270000,33990.36666666,33268.966666659995,,
1737803275000,33023.26666666,32599.21666666,,
1737803280000,33076.28333333,32981.1,,
1737803285000,33251.31666666,33091.18333333,,
1737803290000,33351.7,33901.26666666,,
1737803295000,32702.433333330002,33630.03333333,,
1737803300000,33433.38333333,32560.816666659997,,
1737803305000,33179.4,32750.11666666,,
1737803310000,34268.35,35431.16666666,,
1737803315000,27481.066666659997,29856.36666666,,
1737803320000,29723.683333330002,27876.066666659997,,
1737803325000,31162.183333330002,31604.1,,
1737803330000,31056.766666659998,33015.81666666,,
1737803335000,32935.15,33053.8,,
1737803340000,33394.68333333,33234.55,,
1737803345000,33176.3,31827.66666666,,
1737803350000,32629.45,30197.23333333,,
1737803355000,30956.833333330003,31653.78333333,,
1737803360000,31529.566666659997,33190.18333333,,
1737803365000,33063.466666659995,33263.983333330005,,
1737803370000,33101.83333333,32967.18333333,,
1737803375000,35504.61666666,33040.08333333,,
