,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,0,1,2,3,4
Timestamp,,,,,
1708183430000,0.0,,,,
1708183435000,0.0,,,,
1708183440000,0.0,,,,
1708183445000,390.9166666666,,,,
1708183450000,830.0,,,,
1708183455000,830.0,,,,
1708183460000,830.0,,,,
1708183465000,1247.8166666666,,,,
1708183470000,4059.0,,,,
1708183475000,9726.86666666,,,,
1708183480000,15138.0,,,,
1708183485000,20221.3,,,,
1708183490000,24313.6,,,,
1708183495000,26623.4,,,,
1708183500000,26623.4,,,,
1708183505000,26232.48333333,,,,
1708183510000,27586.95,,,,
1708183515000,32555.5,,,,
1708183520000,32555.5,,,,
1708183525000,32137.683333330002,,,,
1708183530000,29326.5,,,,
1708183535000,23658.633333330003,,,,
1708183540000,21812.86666666,,,,
1708183545000,18525.71666666,,,,
1708183550000,14433.41666666,,,,
1708183555000,13053.616666659998,,,,
1708183560000,19142.516666659998,,,,
1708183565000,24198.98333333,,,,
1708183570000,27928.25,,,,
1708183575000,29522.15,,,,
1708183580000,35936.983333330005,,,,
1708183585000,36459.16666666,,,,
1708183590000,36803.31666666,,,,
1708183595000,42502.36666666,,,,
1708183600000,39235.06666666,,,,
1708183605000,37438.91666666,,,,
1708183610000,37561.36666666,,,,
1708183615000,37440.216666659995,,,,
1708183620000,34871.58333333,,,,
1708183625000,36074.0,,,,
1708183630000,36713.08333333,,,,
1708183635000,36317.966666659995,,,,
1708183640000,34971.55,,,,
1708183645000,41244.8,,,,
1708183650000,44952.58333333,,,,
1708183655000,39253.53333333,,,,
1708183660000,38955.466666659995,,,,
1708183665000,39973.41666666,,,,
1708183670000,42165.78333333,,,,
1708183675000,45840.88333333,,,,
1708183680000,48961.58333333,,,,
1708183685000,48307.766666660005,,,,
1708183690000,47645.7,,,,
1708183695000,46562.71666666,,,,
1708183700000,48109.83333333,,,,
1708183705000,46622.15,,,,
1708183710000,44199.83333333,,,,
1708183715000,44199.83333333,,,,
1708183720000,44199.83333333,,,,
1708183725000,44280.1,,,,
1708183730000,42970.3,,,,
1708183735000,41256.66666666,,,,
1708183740000,41142.28333333,,,,
1708183745000,40585.41666666,,,,
1708183750000,41740.45,,,,
1708183755000,42674.18333333,,,,
1708183760000,41862.1,,,,
1708183765000,41877.26666666,,,,
1708183770000,43313.81666666,,,,
1708183775000,49822.38333333,,,,
1708183780000,49822.38333333,,,,
1708183785000,48724.16666666001,,,,
1708183790000,47719.15,,,,
1708183795000,46112.58333333,,,,
1708183800000,39816.56666666,,,,
1708183805000,37627.86666666,,,,
1708183810000,37697.78333333,,,,
1708183815000,,,,,
1708183865000,0.0,0.0,,,
1708183870000,0.0,0.0,,,
1708183875000,4.05,4.033333333333,,,
1708183880000,660.5166666666,751.6166666666,,,
1708183885000,3201.0,3261.55,,,
1708183890000,7048.83333333,7146.9,,,
1708183895000,11538.616666659998,11604.366666659998,,,
1708183900000,16415.16666666,16531.28333333,,,
1708183905000,18290.68333333,18371.63333333,,,
1708183910000,19209.55,19304.45,,,
1708183915000,22982.2,23136.433333330002,,,
1708183920000,27025.96666666,27137.41666666,,,
1708183925000,30604.55,30793.333333330003,,,
1708183930000,34617.7,34770.6,,,
1708183935000,39294.63333333,39491.65,,,
1708183940000,43123.28333333,43178.78333333,,,
1708183945000,42740.31666666,42909.58333333,,,
1708183950000,38892.483333330005,39269.86666666,,,
1708183955000,37548.41666666,37848.83333333,,,
1708183960000,32671.86666666,32921.91666666,,,
1708183965000,31229.816666659997,31400.183333330002,,,
1708183970000,31585.383333330003,31880.583333330003,,,
1708183975000,32348.683333330002,32518.86666666,,,
1708183980000,33342.53333333,33468.53333333,,,
1708183985000,34059.16666666,34138.03333333,,,
1708183990000,35124.05,35330.26666666,,,
1708183995000,35330.43333333,35439.216666659995,,,
1708184000000,35684.31666666,35879.35,,,
1708184005000,35479.05,35662.86666666,,,
1708184010000,36487.91666666,36377.28333333,,,
1708184015000,35641.25,35705.26666666,,,
1708184020000,35641.25,35947.83333333,,,
1708184025000,35789.28333333,35985.95,,,
1708184030000,35575.45,35670.2,,,
1708184035000,35487.9,35549.33333333,,,
1708184040000,35645.2,35886.33333333,,,
1708184045000,35441.966666659995,35604.966666659995,,,
1708184050000,35516.8,35631.58333333,,,
1708184055000,35414.31666666,35668.216666659995,,,
1708184060000,36000.81666666,36194.25,,,
1708184065000,38500.36666666,38689.56666666,,,
1708184070000,37605.31666666,37836.2,,,
1708184075000,37209.5,37313.68333333,,,
1708184080000,38707.983333330005,38614.93333333,,,
1708184085000,38755.716666659995,38945.85,,,
1708184090000,37787.983333330005,38075.9,,,
1708184095000,36170.15,36343.88333333,,,
1708184100000,35958.66666666,36086.9,,,
1708184105000,36557.41666666,36756.76666666,,,
1708184110000,36139.0,36385.06666666,,,
1708184115000,36431.716666659995,36614.45,,,
1708184120000,35830.8,35965.18333333,,,
1708184125000,36842.43333333,36991.08333333,,,
1708184130000,39531.1,39669.68333333,,,
1708184135000,39455.233333330005,39743.31666666,,,
1708184140000,39157.216666659995,39440.16666666,,,
1708184145000,38559.86666666,38752.51666666,,,
1708184150000,39461.966666659995,39436.63333333,,,
1708184155000,40952.85,41199.43333333,,,
1708184160000,40927.93333333,41194.733333330005,,,
1708184165000,40272.78333333,40477.35,,,
1708184170000,40679.18333333,40792.18333333,,,
1708184175000,40106.55,40257.45,,,
1708184180000,40605.483333330005,40879.15,,,
1708184185000,39891.76666666,40074.06666666,,,
1708184190000,39879.25,40084.91666666,,,
1708184195000,41186.11666666,41392.216666659995,,,
1708184200000,39985.65,40151.55,,,
1708184205000,40703.53333333,40899.91666666,,,
1708184210000,40176.61666666,40603.65,,,
1708184215000,39909.38333333,40062.9,,,
1708184220000,39952.13333333,40111.63333333,,,
1708184225000,41023.233333330005,41217.58333333,,,
1708184230000,40768.6,41060.45,,,
1708184235000,41351.45,41533.45,,,
1708184240000,40832.78333333,41078.83333333,,,
1708184245000,41297.5,41541.66666666,,,
1708184250000,43114.95,43404.78333333,,,
1708184255000,41287.81666666,41449.233333330005,,,
1708184260000,43435.93333333,43631.233333330005,,,
1708184265000,42967.38333333,43193.16666666,,,
1708184270000,,,,,
1708184315000,0.0,0.0,0.0,,
1708184320000,0.0,0.0,0.0,,
1708184325000,0.0,1.45,1.416666666666,,
1708184330000,13.65,258.05,248.5666666666,,
1708184335000,1031.8,1099.5333333333,1105.2333333333,,
1708184340000,3469.55,3515.41666667,3524.05,,
1708184345000,6997.433333329999,7435.35,7137.183333329999,,
1708184350000,10729.61666666,11276.65,10741.73333333,,
1708184355000,13854.43333333,14257.7,13652.16666666,,
1708184360000,17774.7,18409.7,17609.08333333,,
1708184365000,21551.816666659997,22341.93333333,21301.75,,
1708184370000,22912.55,23447.21666666,22509.6,,
1708184375000,26487.9,27405.5,26121.91666666,,
1708184380000,29708.766666659998,30357.75,28863.683333330002,,
1708184385000,29919.55,30847.03333333,29412.1,,
1708184390000,30246.73333333,30679.8,29175.0,,
1708184395000,31823.86666666,32495.36666666,30856.133333330003,,
1708184400000,32630.333333330003,33561.81666666,31842.816666659997,,
1708184405000,32965.25,33483.66666666,31921.3,,
1708184410000,33326.16666666,34032.88333333,32351.96666666,,
1708184415000,34845.4,35671.15,33832.06666666,,
1708184420000,35072.66666666,35756.0,33959.55,,
1708184425000,35370.58333333,36167.11666666,34381.4,,
1708184430000,36664.65,37720.61666666,35665.3,,
1708184435000,35406.38333333,35834.26666666,34023.4,,
1708184440000,33623.31666666,34403.3,32733.383333330003,,
1708184445000,33412.53333333,33912.56666666,32183.55,,
1708184450000,34551.35,35601.43333333,33902.03333333,,
1708184455000,35898.11666666,36673.06666666,34866.33333333,,
1708184460000,36130.38333333,37033.08333333,35124.1,,
1708184465000,36330.3,37355.95,35440.03333333,,
1708184470000,36520.06666666,37395.01666666,35616.43333333,,
1708184475000,36726.28333333,37747.58333333,35988.45,,
1708184480000,36566.5,37604.06666666,35809.7,,
1708184485000,37416.56666666,38285.2,36405.08333333,,
1708184490000,36465.01666666,37284.26666666,35474.28333333,,
1708184495000,34976.4,35805.36666666,34049.1,,
