,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks
,0,1,2,3
Timestamp,,,,
1737802650000,977.0,887.0,891.0,882.0
1737802655000,981.0,882.0,893.0,877.0
1737802660000,981.0,884.0,897.0,876.0
1737802665000,978.0,885.0,897.0,879.0
1737802670000,978.0,883.0,900.0,879.0
1737802675000,981.0,878.0,897.0,877.0
1737802680000,979.0,871.0,896.0,878.0
1737802685000,975.0,874.0,900.0,878.0
1737802690000,980.0,872.0,899.0,879.0
1737802695000,980.0,877.0,905.0,882.0
1737802700000,975.0,873.0,901.0,882.0
1737802705000,969.0,871.0,903.0,880.0
1737802710000,966.0,866.0,899.0,875.0
1737802715000,963.0,870.0,895.0,878.0
1737802720000,965.0,865.0,893.0,874.0
1737802725000,967.0,866.0,895.0,877.0
1737802730000,964.0,872.0,895.0,880.0
1737802735000,962.0,869.0,896.0,879.0
1737802740000,963.0,874.0,896.0,881.0
1737802745000,964.0,876.0,895.0,881.0
1737802750000,963.0,873.0,894.0,880.0
1737802755000,962.0,872.0,893.0,876.0
1737802760000,964.0,876.0,897.0,879.0
1737802765000,969.0,881.0,895.0,882.0
1737802770000,972.0,886.0,897.0,882.0
1737802775000,974.0,894.0,899.0,884.0
1737802780000,973.0,897.0,900.0,886.0
1737802785000,975.0,895.0,,881.0
1737802790000,,,,
