,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks
,0,1,2,3
Timestamp,,,,
1737801720000,0.0,,,
1737801725000,1278.0166666666,,,
1737801730000,2574.6333333333,,,
1737801735000,8012.45,,,
1737801740000,12746.15,,,
1737801745000,13768.216666659999,,,
1737801750000,19254.03333333,,,
1737801755000,19254.03333333,,,
1737801760000,26063.53333333,,,
1737801765000,26419.16666666,,,
1737801770000,27303.2,,,
1737801775000,34414.03333333,,,
1737801780000,34414.03333333,,,
1737801785000,36118.18333333,,,
1737801790000,37756.81666666,,,
1737801795000,32319.0,,,
1737801800000,33913.55,,,
1737801805000,32891.483333330005,,,
1737801810000,30425.21666666,,,
1737801815000,33234.35,,,
1737801820000,26424.85,,,
1737801825000,31796.583333330003,,,
1737801830000,36116.0,,,
1737801835000,34951.51666666,,,
1737801840000,37659.483333330005,,,
1737801845000,37424.91666666,,,
1737801850000,34780.483333330005,,,
1737801855000,40688.233333330005,,,
1737801860000,34359.983333330005,,,
1737801865000,40267.83333333,,,
1737801870000,37248.28333333,,,
1737801875000,39265.91666666,,,
1737801880000,39694.75,,,
1737801885000,34817.58333333,,,
1737801890000,29922.066666659997,,,
1737801895000,32234.66666666,,,
1737801900000,35230.65,,,
1737801905000,36728.0,,,
1737801910000,38183.58333333,,,
1737801915000,33029.1,,,
1737801920000,38235.466666659995,,,
1737801925000,32327.61666666,,,
1737801930000,37799.55,,,
1737801935000,32972.78333333,,,
1737801940000,37864.38333333,,,
1737801945000,37757.61666666,,,
1737801950000,38803.983333330005,,,
1737801955000,35004.53333333,,,
1737801960000,29300.583333330003,,,
1737801965000,26496.21666666,,,
1737801970000,,,,
1737801990000,,0.0,,
1737801995000,0.0,0.0,,
1737802000000,6597.35,6932.56666666,,
1737802005000,9385.58333333,9320.7,,
1737802010000,12658.31666666,12619.21666666,,
1737802015000,15652.93333333,15598.25,,
1737802020000,18186.76666666,18112.01666666,,
1737802025000,19008.71666666,18910.18333333,,
1737802030000,21991.5,23205.81666666,,
1737802035000,27684.66666666,27471.86666666,,
1737802040000,30447.66666666,30299.3,,
1737802045000,31442.55,33424.05,,
1737802050000,33587.8,35695.41666666,,
1737802055000,36830.2,36914.18333333,,
1737802060000,33009.85,32488.36666666,,
1737802065000,33114.45,33031.03333333,,
1737802070000,32581.96666666,32473.93333333,,
1737802075000,31956.86666666,32620.88333333,,
1737802080000,30819.73333333,33156.56666666,,
1737802085000,32496.9,33323.6,,
1737802090000,32031.78333333,30631.61666666,,
1737802095000,29506.83333333,29365.93333333,,
1737802100000,27536.23333333,28140.5,,
1737802105000,31745.0,32120.48333333,,
1737802110000,32613.75,32820.2,,
1737802115000,31906.3,32610.18333333,,
1737802120000,31715.23333333,31559.66666666,,
1737802125000,31713.15,31583.63333333,,
1737802130000,31940.1,31751.23333333,,
1737802135000,32907.75,31951.9,,
1737802140000,33891.91666666,31190.2,,
1737802145000,32824.78333333,33523.83333333,,
1737802150000,32300.5,34455.13333333,,
1737802155000,31761.43333333,32026.88333333,,
1737802160000,33923.2,33076.91666666,,
1737802165000,31533.56666666,28683.33333333,,
1737802170000,29160.9,27906.76666666,,
1737802175000,34282.3,33039.0,,
1737802180000,34298.08333333,34193.7,,
1737802185000,33733.08333333,34145.1,,
1737802190000,32451.18333333,34487.65,,
1737802195000,31535.333333330003,33215.3,,
1737802200000,31660.45,31860.71666666,,
1737802205000,33323.78333333,31397.35,,
1737802210000,34077.03333333,31599.333333330003,,
1737802215000,34701.5,34252.75,,
1737802220000,34176.716666659995,34173.25,,
1737802225000,32243.633333330003,34695.26666666,,
1737802230000,34069.61666666,34565.45,,
