Parallelism,Throughput_min,Throughput_max,Throughput_mean
1,34569.94490740361,37556.42499999694,35770.068634130825
2,63940.200854693336,69483.89090908454,66149.37228105945
4,119038.02882881596,121977.45180178947,120716.61700778171
8,200896.74895830595,212229.471621593,208065.9178424424
16,311365.9723957803,330908.1118279,320603.72835007956
26,354064.1972221347,378473.6376343288,365607.12907876814
