,flink_taskmanager_job_task_numRecordsInPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks
,0
Timestamp,
1737223105000,0.0
1737223110000,1282.7333333333
1737223115000,2505.5666666666
1737223120000,2545.7333333333
1737223125000,8585.23333333
1737223130000,15427.56666666
1737223135000,17322.43333333
1737223140000,23840.46666666
1737223145000,23840.46666666
1737223150000,23840.46666666
1737223155000,28939.683333330002
1737223160000,35935.76666666
1737223165000,35935.76666666
1737223170000,34653.03333333
1737223175000,39325.31666666
1737223180000,39285.15
1737223185000,38020.86666666
1737223190000,32623.73333333
1737223195000,30728.86666666
1737223200000,29713.833333330003
1737223205000,29713.833333330003
1737223210000,30712.9
1737223215000,25925.6
1737223220000,25415.28333333
1737223225000,33711.51666666
1737223230000,35606.0
1737223235000,30033.766666659998
1737223240000,35968.61666666
1737223245000,31193.4
1737223250000,35679.66666666
1737223255000,35679.66666666
1737223260000,30954.36666666
1737223265000,36026.85
1737223270000,35027.78333333
1737223275000,34941.15
1737223280000,35784.76666666
1737223285000,33376.81666666
1737223290000,37401.86666666
1737223295000,42828.08333333
1737223300000,36893.233333330005
1737223305000,40540.7
1737223310000,36955.61666666
1737223315000,36955.61666666
1737223320000,42172.233333330005
1737223325000,37099.75
1737223330000,38164.216666659995
1737223335000,37938.93333333
1737223340000,36340.16666666
1737223345000,36044.983333330005
1737223350000,
