,flink_taskmanager_job_task_busyTimeMsPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks
,0
Timestamp,
1737223105000,1000.0
1737223110000,431.0
1737223115000,324.0
1737223120000,235.0
1737223125000,422.0
1737223130000,538.0
1737223135000,615.0
1737223140000,670.0
1737223145000,711.0
1737223150000,743.0
1737223155000,769.0
1737223160000,790.0
1737223165000,808.0
1737223170000,855.0
1737223175000,921.0
1737223180000,999.0
1737223185000,1000.0
1737223190000,1000.0
1737223195000,1000.0
1737223200000,1000.0
1737223205000,1000.0
1737223210000,1000.0
1737223215000,1000.0
1737223220000,1000.0
1737223225000,1000.0
1737223230000,1000.0
1737223235000,1000.0
1737223240000,1000.0
1737223245000,1000.0
1737223250000,1000.0
1737223255000,1000.0
1737223260000,1000.0
1737223265000,1000.0
1737223270000,1000.0
1737223275000,1000.0
1737223280000,1000.0
1737223285000,1000.0
1737223290000,1000.0
1737223295000,1000.0
1737223300000,1000.0
1737223305000,1000.0
1737223310000,1000.0
1737223315000,1000.0
1737223320000,1000.0
1737223325000,1000.0
1737223330000,1000.0
1737223335000,1000.0
1737223340000,1000.0
1737223345000,1000.0
1737223350000,
