Parallelism,Throughput_min,Throughput_max,Throughput_mean
3,2863.321739130332,4168.825980392054,3467.078396718281
6,5782.8166666664965,11144.932843137029,9068.81493617369
9,6533.003535353272,15224.372549019305,10437.987915881236
12,9620.556989246948,17847.59784946198,12978.763405017544
