,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs
,Timestamps_Watermarks____Map,TumblingEventTimeWindows____Timestamps_Watermarks,Sink:_Sink,Source:_Source1,Source:_Source2,Timestamps_Watermarks____Map,TumblingEventTimeWindows____Timestamps_Watermarks,Sink:_Sink,Source:_Source1,Source:_Source2,Timestamps_Watermarks____Map,TumblingEventTimeWindows____Timestamps_Watermarks,Sink:_Sink,Source:_Source1,Source:_Source2
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timestamp,,,,,,,,,,,,,,,
1737229595000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737229600000,1.0,5.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,38.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737229605000,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,13312000.0,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1737229610000,3.0,20.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,3.0,862.0,1798000.0,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1737229615000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,115623000.0,20.0,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1737229620000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,73269000.0,26.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737229625000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,40446000.0,45.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737229630000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,3276000.0,45.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737229635000,9.0,19.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,9.0,1.0,63.0,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1737229640000,9.0,19.0,1.0,0.0,0.0,9.0,1.0,0.0,9.0,9.0,2304000.0,89.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737229645000,9.0,19.0,1.0,0.0,0.0,9.0,1.0,0.0,9.0,9.0,2304000.0,89.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737229650000,3.0,20.0,0.0,0.0,0.0,10.0,0.0,0.0,2.0,9.0,1.0,77.0,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1737229655000,9.0,19.0,1.0,0.0,0.0,9.0,1.0,0.0,9.0,9.0,2304000.0,606.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737229660000,9.0,19.0,1.0,0.0,0.0,9.0,1.0,0.0,9.0,9.0,2304000.0,606.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737229665000,9.0,19.0,1.0,0.0,0.0,9.0,1.0,0.0,9.0,9.0,2439000.0,69.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737229670000,9.0,19.0,1.0,0.0,0.0,9.0,1.0,0.0,9.0,9.0,2304000.0,69.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737229675000,9.0,19.0,1.0,0.0,0.0,9.0,1.0,0.0,9.0,9.0,3717000.0,87.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737229680000,9.0,19.0,1.0,0.0,0.0,9.0,1.0,0.0,9.0,9.0,2304000.0,87.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737229685000,9.0,19.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,4.0,0.0,87.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737229690000,9.0,19.0,1.0,0.0,0.0,9.0,1.0,0.0,9.0,9.0,2304000.0,87.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737229695000,9.0,19.0,1.0,0.0,0.0,9.0,1.0,0.0,9.0,9.0,2.0,454.0,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1737229700000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,2817000.0,95.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737229705000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,3699000.0,78.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737229710000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,2304000.0,78.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
