,flink_taskmanager_job_task_numRecordsInPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks
,0
Timestamp,
1737513775000,0.0
1737513780000,0.0
1737513785000,142.4333333333
1737513790000,517.2166666666
1737513795000,517.2166666666
1737513800000,5014.65
1737513805000,15165.283333329999
1737513810000,15165.283333329999
1737513815000,15165.283333329999
1737513820000,15165.283333329999
1737513825000,
1737513840000,0.0
1737513845000,5377.66666667
1737513850000,10515.31666666
1737513855000,10997.23333333
1737513860000,
1737513875000,0.0
1737513880000,0.0
1737513885000,
1737513920000,0.0
1737513925000,4049.48333333
1737513930000,9976.31666666
1737513935000,14204.466666659999
1737513940000,
1737513985000,0.0
1737513990000,0.0
1737513995000,5872.91666667
1737514000000,9933.45
1737514005000,
