Parallelism,region,"('Throughput_OUT', 'mean')","('Throughput_OUT', 'std')","('Throughput_IN', 'mean')","('Throughput_IN', 'std')",Predictions
1,1,1958.0736559135833,3165.201659337209,25841.949999997094,3239.2258963897457,
2,1,10533.045024871044,1864.7624114100518,46307.23507462343,2509.042454187139,53952.0
3,1,23009.563131309696,4449.693295425222,61662.90277777454,5420.425105929645,69918.0
4,1,21505.04758453725,4419.818194067739,79013.93647342667,8614.38322509923,89791.0
5,1,34247.13186274206,3249.0102890389985,91950.61544117265,16480.34807464355,92091.0
6,1,41134.23647342734,7884.381488905016,97216.9789855042,18250.976867958838,118587.0
7,1,31502.922794114264,3349.793847663105,95646.21372548706,20245.755618530075,128571.0
8,1,38875.840925922224,2748.3100508447083,115424.60222221901,23055.42110580684,126333.0
