Timestamp,"('flink_taskmanager_job_task_numRecordsInPerSecond', 0)","('flink_taskmanager_job_task_numRecordsInPerSecond', 1)","('flink_taskmanager_job_task_numRecordsInPerSecond', 2)","('flink_taskmanager_job_task_numRecordsInPerSecond', 3)","('flink_taskmanager_job_task_numRecordsInPerSecond', 4)","('flink_taskmanager_job_task_numRecordsInPerSecond', 5)","('flink_taskmanager_job_task_numRecordsInPerSecond', 6)","('flink_taskmanager_job_task_numRecordsInPerSecond', 7)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 0)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 1)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 2)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 3)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 4)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 5)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 6)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 7)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 1)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 2)",flink_jobmanager_job_lastCheckpointSize,flink_jobmanager_job_lastCheckpointDuration,Parallelism
0,0.0,,,,,,,,1000.0,,,,,,,,0.0,0.0,,,1
5,0.0,,,,,,,,1000.0,,,,,,,,0.0,0.0,,,1
10,291.9333333333,,,,,,,,411.0,,,,,,,,0.0,146.0,,,1
15,291.9333333333,,,,,,,,203.0,,,,,,,,0.0,73.0,,,1
20,291.9333333333,,,,,,,,150.0,,,,,,,,0.0,48.0,,,1
25,291.9333333333,,,,,,,,112.0,,,,,,,,0.0,36.0,,,1
30,1394.95,,,,,,,,140.0,,,,,,,,0.0,55.0,,,1
35,3890.68333333,,,,,,,,263.0,,,,,,,,74.0,180.0,,,1
40,4876.28333333,,,,,,,,366.0,,,,,,,,188.0,280.0,,,1
45,11419.5,,,,,,,,441.0,,,,,,,,273.0,302.0,,,1
50,12361.7,,,,,,,,503.0,,,,,,,,346.0,373.0,,,1
55,18322.8,,,,,,,,553.0,,,,,,,,405.0,397.0,,,1
60,18746.03333333,,,,,,,,594.0,,,,,,,,455.0,452.0,,,1
65,23674.78333333,,,,,,,,627.0,,,,,,,,538.0,477.0,,,1
70,24804.85,,,,,,,,677.0,,,,,,,,619.0,541.0,,,1
75,28203.1,,,,,,,,760.0,,,,,,,,766.0,678.0,,,1
