,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,0,1,2,3,4
Timestamp,,,,,
1706110745000,3339.68333333,3394.28333333,3436.7,3376.78333333,
1706110750000,4263.58333333,4582.8,4693.61666667,4529.78333333,
1706110755000,5312.61666667,5484.66666667,5672.66666667,5419.5,
1706110760000,6251.28333333,6632.766666670001,6670.36666666,6529.75,
1706110765000,7092.28333333,7561.26666666,7596.16666666,7445.53333333,
1706110770000,8084.51666666,8255.35,8259.85,8138.21666666,
1706110775000,9057.26666666,9577.41666666,9631.23333333,9441.4,
1706110780000,9975.15,10195.71666666,10385.35,9995.45,
1706110785000,10581.75,10880.5,10927.36666666,10738.01666666,
1706110790000,11595.48333333,11587.73333333,11861.48333333,11405.15,
1706110795000,12227.3,12502.6,12535.033333329999,12349.31666666,
1706110800000,11989.4,12569.4,12502.133333329999,12340.533333329999,
1706110805000,12093.266666659998,12525.15,12331.98333333,12117.766666659998,
1706110810000,12378.93333333,12344.966666659999,12326.56666666,12181.633333329999,
1706110815000,12430.116666659998,12629.08333333,12578.516666659998,12478.08333333,
1706110820000,12436.41666666,12374.466666659999,12678.16666666,12485.766666659998,
1706110825000,12804.08333333,12683.91666666,12996.95,12559.81666666,
1706110830000,13034.866666659998,13314.91666666,13427.55,13173.31666666,
1706110835000,12983.116666659998,13080.9,13150.7,12945.98333333,
1706110840000,12989.883333329999,13182.45,13105.1,13105.283333329999,
1706110845000,13086.43333333,13397.5,13478.016666659998,13037.55,
1706110850000,13091.25,13504.0,13526.216666659999,13378.68333333,
1706110855000,13580.116666659998,13552.45,13805.83333333,13348.016666659998,
1706110860000,13709.33333333,13757.83333333,13751.0,13689.58333333,
1706110865000,13566.31666666,13576.41666666,14122.2,13659.48333333,
1706110870000,13279.55,13844.466666659999,13910.4,13649.883333329999,
1706110875000,13257.05,13419.06666666,13461.4,13254.216666659999,
1706110880000,13475.81666666,13843.633333329999,13635.05,13397.55,
1706110885000,13432.533333329999,13850.85,13699.266666659998,13694.65,
1706110890000,13481.633333329999,13837.133333329999,14047.56666666,13624.06666666,
1706110895000,13922.18333333,13986.45,14059.533333329999,13816.966666659999,
1706110900000,13851.1,14276.83333333,14457.766666659998,14101.383333329999,
1706110905000,13803.81666666,13847.43333333,13919.05,13886.2,
1706110910000,13969.9,14074.05,13989.033333329999,13916.133333329999,
1706110915000,13349.7,13587.05,13658.5,13486.58333333,
1706110920000,13566.58333333,13663.716666659999,13717.633333329999,13478.05,
1706110925000,13686.766666659998,14005.65,13842.48333333,13810.66666666,
1706110930000,13966.81666666,13942.68333333,14019.966666659999,13809.366666659998,
1706110935000,14101.41666666,14376.91666666,14441.65,14203.1,
1706110940000,14012.016666659998,14373.133333329999,14490.283333329999,14235.8,
1706110945000,13827.95,13897.95,14166.45,13733.783333329999,
1706110950000,14004.98333333,14034.58333333,14203.0,13916.85,
1706110955000,13882.25,14079.7,14164.5,13910.016666659998,
1706110960000,14091.866666659998,14076.98333333,14031.91666666,13906.68333333,
1706110965000,13913.16666666,14344.05,14435.48333333,14189.633333329999,
1706110970000,13809.033333329999,14189.383333329999,14253.08333333,13987.216666659999,
1706110975000,14079.85,14473.616666659998,14397.65,14105.98333333,
1706110980000,13892.16666666,14292.5,14371.783333329999,14129.966666659999,
1706110985000,,,,,
1706111030000,0.0,0.0,0.0,0.0,0.0
1706111035000,0.0,0.0,0.0,0.0,0.0
1706111040000,0.0,0.0,126.4,126.3166666666,121.3166666666
1706111045000,90.5833333333,128.3166666666,616.5333333333,446.4166666666,430.8833333333
1706111050000,448.1166666666,460.7333333333,748.15,751.3333333333,733.9166666666
1706111055000,798.4833333333,761.4166666666,1160.9166666666,1136.4166666666,1106.0166666666
1706111060000,1186.6666666666,1152.9833333333,1863.9166666666,1873.25,1810.6
1706111065000,1879.6833333332997,1901.5166666666,2750.9,2721.7166666666,2650.8666666666
1706111070000,2759.7666666666,2662.55,3528.86666667,3546.21666667,3429.2
1706111075000,3569.43333333,3573.13333333,4253.15,4276.43333333,4131.23333333
1706111080000,4288.78333333,4091.16666667,4695.91666667,4723.2,4563.18333333
1706111085000,4818.4,4665.5,5411.48333333,5471.51666667,5286.46666667
1706111090000,5447.61666667,5550.85,6117.83333333,6166.66666667,5957.3
1706111095000,6164.05,6248.883333329999,6920.41666666,6959.76666666,6726.01666666
1706111100000,7080.51666666,7062.16666666,7681.983333329999,7726.3,7470.66666666
1706111105000,7794.6,7835.58333333,8034.36666666,8255.48333333,7977.733333329999
1706111110000,8227.93333333,8367.41666666,8719.6,8770.96666666,8467.71666666
1706111115000,8752.01666666,8899.86666666,9233.15,9307.58333333,8994.86666666
1706111120000,9115.15,9347.91666666,9284.8,9365.35,9019.15
1706111125000,9394.7,9500.06666666,9250.73333333,9345.2,9009.533333329999
1706111130000,9349.133333329999,9579.18333333,9291.633333329999,9340.533333329999,9029.9
1706111135000,9346.23333333,9536.18333333,9346.31666666,9402.7,9086.98333333
1706111140000,9276.1,9785.96666666,9791.81666666,9746.7,9500.16666666
1706111145000,9769.41666666,10015.383333329999,9835.283333329999,9862.8,9532.2
1706111150000,9933.01666666,10007.56666666,10168.43333333,10213.75,9873.76666666
1706111155000,10272.81666666,10368.46666666,10300.08333333,10359.55,10009.6
1706111160000,10290.9,10510.48333333,10081.75,10155.283333329999,9884.0
1706111165000,10163.36666666,10291.01666666,10354.23333333,10413.06666666,10063.06666666
1706111170000,10494.06666666,10563.18333333,10507.6,10508.033333329999,10198.43333333
1706111175000,10598.7,10651.7,10403.55,10474.25,10114.15
1706111180000,10602.21666666,10721.71666666,10481.66666666,10518.2,10195.06666666
1706111185000,10547.65,10671.46666666,10504.8,10570.91666666,10214.35
1706111190000,10594.71666666,10724.85,10558.85,10628.61666666,10219.383333329999
1706111195000,10666.81666666,10698.56666666,10816.31666666,10879.5,10505.383333329999
1706111200000,11045.3,11028.16666666,10880.73333333,11042.6,10639.7
1706111205000,11054.633333329999,11255.11666666,11088.05,11193.25,10816.7
1706111210000,11206.15,11356.21666666,10947.75,11011.9,10637.85
1706111215000,10893.68333333,11172.85,11157.06666666,11146.65,10828.65
1706111220000,11280.05,11307.36666666,11366.95,11419.16666666,10960.8
1706111225000,11489.81666666,11599.06666666,11064.45,11100.98333333,10726.0
1706111230000,11134.86666666,11263.11666666,11066.7,11190.6,10771.1
1706111235000,11190.0,11372.93333333,11343.08333333,11330.56666666,11091.43333333
1706111240000,11454.4,11495.36666666,11488.91666666,11550.73333333,11162.35
1706111245000,11624.033333329999,11727.216666659999,11485.75,11550.95,11163.05
1706111250000,11561.31666666,11670.7,11548.15,11524.96666666,11238.31666666
1706111255000,11687.05,11741.366666659998,11338.96666666,11355.35,11000.633333329999
1706111260000,11259.93333333,11530.65,11383.85,11437.533333329999,11004.36666666
1706111265000,11432.75,11525.18333333,11386.5,11425.43333333,11086.93333333
1706111270000,11385.08333333,11495.76666666,11589.95,11571.116666659998,11056.76666666
1706111275000,11611.8,11598.466666659999,11203.5,11343.81666666,10904.23333333
1706111280000,11275.85,11507.91666666,11323.55,11409.18333333,11012.4
1706111285000,11418.98333333,11570.383333329999,11449.26666666,11543.9,11155.283333329999
1706111290000,11516.73333333,11709.91666666,11455.46666666,11515.533333329999,11129.05
1706111295000,11299.25,11672.08333333,11165.25,11308.71666666,10784.31666666
1706111300000,11329.01666666,11473.033333329999,11229.16666666,,10918.6
