,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond
,0,1
Timestamp,,
1707939615000,1000.0,
1707939620000,679.0,
1707939625000,414.0,
1707939630000,270.0,
1707939635000,198.0,
1707939640000,157.0,
1707939645000,255.0,
1707939650000,347.0,
1707939655000,421.0,
1707939660000,484.0,
1707939665000,532.0,
1707939670000,570.0,
1707939675000,605.0,
1707939680000,630.0,
1707939685000,700.0,
1707939690000,785.0,
1707939695000,868.0,
1707939700000,952.0,
1707939705000,972.0,
1707939710000,980.0,
1707939715000,984.0,
1707939720000,984.0,
1707939725000,986.0,
1707939730000,990.0,
1707939735000,990.0,
1707939740000,970.0,
1707939745000,971.0,
1707939750000,970.0,
1707939755000,971.0,
1707939760000,971.0,
1707939765000,971.0,
1707939770000,971.0,
1707939775000,969.0,
1707939780000,971.0,
1707939785000,971.0,
1707939790000,971.0,
1707939795000,972.0,
1707939800000,992.0,
1707939805000,992.0,
1707939810000,992.0,
1707939815000,991.0,
1707939820000,992.0,
1707939825000,992.0,
1707939830000,991.0,
1707939835000,993.0,
1707939840000,993.0,
1707939845000,993.0,
1707939850000,993.0,
1707939855000,993.0,
1707939860000,987.0,
1707939865000,987.0,
1707939870000,988.0,
1707939875000,988.0,
1707939880000,988.0,
1707939885000,987.0,
1707939890000,988.0,
1707939895000,988.0,
1707939900000,988.0,
1707939905000,989.0,
1707939910000,988.0,
1707939915000,988.0,
1707939920000,993.0,
1707939925000,993.0,
1707939930000,993.0,
1707939935000,994.0,
1707939940000,994.0,
1707939945000,994.0,
1707939950000,994.0,
1707939955000,994.0,
1707939960000,995.0,
1707939965000,995.0,
1707939970000,995.0,
1707939975000,995.0,
1707939980000,986.0,
1707939985000,969.0,
1707939990000,970.0,
1707939995000,,
1707940040000,,1000.0
1707940045000,583.0,228.0
1707940050000,791.0,218.0
1707940055000,856.0,289.0
1707940060000,883.0,348.0
1707940065000,901.0,362.0
1707940070000,913.0,379.0
1707940075000,917.0,400.0
1707940080000,924.0,417.0
1707940085000,928.0,424.0
1707940090000,931.0,434.0
1707940095000,932.0,447.0
1707940100000,932.0,459.0
1707940105000,961.0,488.0
1707940110000,955.0,517.0
1707940115000,951.0,531.0
1707940120000,948.0,534.0
1707940125000,945.0,548.0
1707940130000,936.0,552.0
1707940135000,936.0,557.0
1707940140000,933.0,558.0
1707940145000,932.0,566.0
1707940150000,931.0,569.0
1707940155000,928.0,570.0
1707940160000,928.0,572.0
1707940165000,929.0,574.0
1707940170000,931.0,576.0
1707940175000,931.0,576.0
1707940180000,930.0,578.0
1707940185000,929.0,578.0
1707940190000,936.0,585.0
1707940195000,936.0,586.0
1707940200000,936.0,588.0
1707940205000,936.0,590.0
1707940210000,934.0,595.0
1707940215000,935.0,598.0
1707940220000,938.0,596.0
1707940225000,936.0,593.0
1707940230000,934.0,592.0
1707940235000,933.0,594.0
1707940240000,933.0,594.0
1707940245000,934.0,593.0
1707940250000,928.0,591.0
1707940255000,927.0,591.0
1707940260000,926.0,595.0
1707940265000,925.0,595.0
1707940270000,926.0,594.0
1707940275000,925.0,596.0
1707940280000,925.0,597.0
1707940285000,923.0,603.0
1707940290000,924.0,605.0
1707940295000,924.0,607.0
1707940300000,924.0,610.0
1707940305000,923.0,613.0
1707940310000,928.0,617.0
1707940315000,926.0,616.0
1707940320000,927.0,615.0
1707940325000,927.0,613.0
1707940330000,927.0,609.0
1707940335000,927.0,606.0
1707940340000,928.0,602.0
1707940345000,931.0,597.0
1707940350000,931.0,596.0
1707940355000,934.0,593.0
1707940360000,937.0,589.0
1707940365000,939.0,585.0
1707940370000,941.0,582.0
1707940375000,926.0,572.0
1707940380000,924.0,573.0
1707940385000,926.0,573.0
1707940390000,926.0,574.0
1707940395000,927.0,579.0
1707940400000,926.0,580.0
1707940405000,905.0,567.0
1707940410000,904.0,567.0
1707940415000,902.0,568.0
1707940420000,898.0,571.0
1707940425000,899.0,572.0
1707940430000,899.0,574.0
