Timestamp,"('flink_taskmanager_job_task_numRecordsInPerSecond', 0)","('flink_taskmanager_job_task_numRecordsInPerSecond', 1)","('flink_taskmanager_job_task_numRecordsInPerSecond', 2)","('flink_taskmanager_job_task_numRecordsInPerSecond', 3)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 0)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 1)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 2)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 3)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 1)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 2)",flink_jobmanager_job_lastCheckpointSize,flink_jobmanager_job_lastCheckpointDuration,Parallelism
0,0.0,,,,,,,,0.0,0.0,,,1
5,0.0,,,,1000.0,,,,0.0,0.0,,,1
10,0.0,,,,643.0,,,,0.0,0.0,,,1
15,0.0,,,,312.0,,,,0.0,0.0,,,1
20,0.0,,,,204.0,,,,0.0,0.0,,,1
25,611.7666666666,,,,339.0,,,,186.0,184.0,,,1
30,838.65,,,,308.0,,,,183.0,186.0,,,1
35,838.65,,,,251.0,,,,153.0,155.0,,,1
40,902.0333333333,,,,213.0,,,,131.0,133.0,,,1
45,3416.26666667,,,,286.0,,,,169.0,201.0,,,1
50,7678.7,,,,360.0,,,,246.0,254.0,,,1
55,13696.48333333,,,,423.0,,,,296.0,271.0,,,1
60,19088.4,,,,476.0,,,,337.0,306.0,,,1
65,21339.88333333,,,,517.0,,,,397.0,366.0,,,1
70,28796.35,,,,632.0,,,,529.0,506.0,,,1
75,28796.35,,,,632.0,,,,529.0,506.0,,,1
80,31661.3,,,,716.0,,,,600.0,575.0,,,1
85,36460.86666666,,,,738.0,,,,609.0,585.0,,,1
90,36233.98333333,,,,806.0,,,,678.0,652.0,,,1
95,36233.98333333,,,,892.0,,,,761.0,735.0,,,1
100,36170.6,,,,977.0,,,,845.0,819.0,,,1
105,34560.25,,,,993.0,,,,1000.0,1000.0,,,1
110,33155.36666666,,,,996.0,,,,1000.0,1000.0,,,1
115,32536.73333333,,,,995.0,,,,1000.0,1000.0,,,1
120,29682.41666666,,,,994.0,,,,1000.0,1000.0,,,1
125,32407.5,,,,996.0,,,,1000.0,1000.0,,,1
130,28892.13333333,,,,996.0,,,,1000.0,1000.0,,,1
135,33579.01666666,,,,996.0,,,,1000.0,1000.0,,,1
140,35073.46666666,,,,996.0,,,,1000.0,1000.0,,,1
145,36371.85,,,,996.0,,,,1000.0,1000.0,,,1
150,41176.75,,,,996.0,,,,1000.0,1000.0,,,1
155,41176.75,,,,996.0,,,,1000.0,1000.0,,,1
160,42646.15,,,,994.0,,,,1000.0,1000.0,,,1
165,43890.38333333,,,,994.0,,,,1000.0,991.0,,,1
170,47116.23333333,,,,994.0,,,,997.0,1000.0,,,1
175,48014.36666666,,,,995.0,,,,977.0,983.0,,,1
180,50217.53333333,,,,996.0,,,,978.0,984.0,,,1
185,46842.91666666,,,,996.0,,,,979.0,984.0,,,1
190,48670.23333333,,,,996.0,,,,985.0,994.0,,,1
195,45037.13333333,,,,996.0,,,,1000.0,1000.0,,,1
200,45353.81666666,,,,996.0,,,,1000.0,1000.0,,,1
205,45742.05,,,,996.0,,,,1000.0,1000.0,,,1
210,45169.65,,,,996.0,,,,1000.0,1000.0,,,1
215,46265.51666666,,,,996.0,,,,1000.0,1000.0,,,1
220,47360.0,,,,998.0,,,,923.0,924.0,,,1
225,51373.9,,,,995.0,,,,908.0,914.0,,,1
