Parallelism,Throughput,ThroughputStdErr,BusyTime,BusyTimeStdErr,Predictions
0,0.0,0.0,,,
1,13915.799583330165,659.8098304707893,908.921052631579,23.0595982260214,
2,28859.967532460905,984.1784330589251,850.2077922077922,4.802555879879839,33106.0
3,38071.21666665734,1354.6155197623686,770.210970464135,8.662674722721478,47656.0
4,49822.863502098386,1643.3625588802124,739.8037974683544,9.622937116115232,53732.0
5,58884.088607580874,2312.382146525308,675.273417721519,12.124140858972758,75363.0
6,68371.78983738064,2427.241297000738,657.8150406504066,7.829677744116925,86800.0
7,70958.85870368461,2765.4839181716857,581.3746031746032,8.411261206309362,96270.0
8,77088.75723682015,2727.216332758819,549.6809210526316,9.313442116035333,108074.0
9,87826.8478114214,2493.7739583097846,537.9191919191919,5.471646905523419,108739.0
