,flink_taskmanager_job_task_busyTimeMsPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks
,0
Timestamp,
1737223435000,1000.0
1737223440000,346.0
1737223445000,350.0
1737223450000,363.0
1737223455000,508.0
1737223460000,607.0
1737223465000,672.0
1737223470000,719.0
1737223475000,754.0
1737223480000,781.0
1737223485000,803.0
1737223490000,821.0
1737223495000,836.0
1737223500000,891.0
1737223505000,945.0
1737223510000,995.0
1737223515000,1000.0
1737223520000,1000.0
1737223525000,1000.0
1737223530000,1000.0
1737223535000,1000.0
1737223540000,1000.0
1737223545000,1000.0
1737223550000,1000.0
1737223555000,1000.0
1737223560000,1000.0
1737223565000,1000.0
1737223570000,1000.0
1737223575000,1000.0
1737223580000,1000.0
1737223585000,1000.0
1737223590000,1000.0
1737223595000,1000.0
1737223600000,1000.0
1737223605000,1000.0
1737223610000,1000.0
1737223615000,1000.0
1737223620000,1000.0
1737223625000,1000.0
1737223630000,1000.0
1737223635000,1000.0
1737223640000,1000.0
1737223645000,1000.0
1737223650000,1000.0
1737223655000,1000.0
1737223660000,1000.0
1737223665000,1000.0
1737223670000,1000.0
1737223675000,
