,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond
,0,1,2,3,4,5
Timestamp,,,,,,
1703153885000,926.0,636.0,686.0,,,
1703153890000,936.0,663.0,689.0,,,
1703153895000,944.0,692.0,692.0,,,
1703153900000,951.0,698.0,686.0,,,
1703153905000,956.0,706.0,694.0,,,
1703153910000,960.0,700.0,677.0,,,
1703153915000,963.0,707.0,682.0,,,
1703153920000,963.0,690.0,650.0,,,
1703153925000,992.0,722.0,636.0,,,
1703153930000,1000.0,745.0,649.0,,,
1703153935000,1000.0,754.0,655.0,,,
1703153940000,997.0,777.0,680.0,,,
1703153945000,997.0,769.0,677.0,,,
1703153950000,997.0,768.0,677.0,,,
1703153955000,996.0,766.0,695.0,,,
1703153960000,996.0,766.0,704.0,,,
1703153965000,996.0,759.0,696.0,,,
1703153970000,991.0,764.0,709.0,,,
1703153975000,991.0,768.0,709.0,,,
1703153980000,991.0,754.0,705.0,,,
1703153985000,991.0,753.0,711.0,,,
1703153990000,991.0,742.0,703.0,,,
1703153995000,991.0,738.0,697.0,,,
1703154000000,995.0,743.0,701.0,,,
1703154005000,995.0,750.0,701.0,,,
1703154010000,995.0,738.0,698.0,,,
1703154015000,995.0,733.0,689.0,,,
1703154020000,995.0,732.0,678.0,,,
1703154025000,995.0,742.0,686.0,,,
1703154030000,999.0,755.0,694.0,,,
1703154035000,998.0,758.0,692.0,,,
1703154040000,998.0,770.0,704.0,,,
1703154045000,998.0,784.0,707.0,,,
1703154050000,998.0,786.0,712.0,,,
1703154055000,998.0,798.0,728.0,,,
1703154060000,998.0,791.0,724.0,,,
1703154065000,998.0,791.0,731.0,,,
1703154070000,998.0,793.0,745.0,,,
1703154075000,1000.0,797.0,743.0,,,
1703154080000,1000.0,801.0,749.0,,,
1703154085000,1000.0,803.0,751.0,,,
1703154090000,1000.0,799.0,750.0,,,
1703154095000,1000.0,786.0,736.0,,,
1703154100000,1000.0,782.0,737.0,,,
1703154105000,1000.0,776.0,739.0,,,
1703154110000,1000.0,778.0,741.0,,,
1703154115000,1000.0,775.0,740.0,,,
1703154120000,1000.0,783.0,747.0,,,
1703154125000,994.0,784.0,746.0,,,
1703154130000,993.0,797.0,733.0,,,
1703154135000,993.0,791.0,724.0,,,
1703154140000,992.0,788.0,730.0,,,
1703154145000,992.0,783.0,724.0,,,
1703154150000,992.0,785.0,724.0,,,
1703154155000,992.0,796.0,737.0,,,
1703154160000,993.0,808.0,740.0,,,
1703154165000,992.0,807.0,738.0,,,
1703154170000,992.0,816.0,745.0,,,
1703154175000,992.0,825.0,747.0,,,
1703154180000,991.0,820.0,750.0,,,
1703154185000,989.0,801.0,736.0,,,
1703154190000,990.0,801.0,746.0,,,
1703154195000,990.0,798.0,761.0,,,
1703154200000,991.0,798.0,762.0,,,
1703154205000,991.0,799.0,770.0,,,
1703154210000,991.0,796.0,767.0,,,
1703154215000,986.0,787.0,764.0,,,
1703154220000,986.0,780.0,752.0,,,
1703154225000,987.0,775.0,747.0,,,
1703154230000,987.0,781.0,744.0,,,
1703154235000,987.0,773.0,731.0,,,
1703154240000,987.0,768.0,721.0,,,
1703154245000,995.0,782.0,727.0,,,
1703154250000,995.0,780.0,719.0,,,
1703154255000,994.0,780.0,713.0,,,
1703154260000,994.0,793.0,713.0,,,
1703154265000,994.0,787.0,703.0,,,
1703154270000,975.0,773.0,691.0,,,
1703154275000,896.0,713.0,634.0,,,
1703154280000,812.0,646.0,,,,
1703154285000,,,,,,
1703154330000,1000.0,,,1000.0,,
1703154335000,1000.0,1000.0,1000.0,1000.0,,
1703154340000,1000.0,1000.0,694.0,1000.0,,
1703154345000,752.0,1000.0,331.0,1000.0,,
1703154350000,563.0,1000.0,219.0,836.0,,
1703154355000,502.0,1000.0,160.0,621.0,,
1703154360000,535.0,1000.0,187.0,549.0,,
1703154365000,558.0,953.0,280.0,575.0,,
1703154370000,579.0,872.0,291.0,531.0,,
1703154375000,624.0,814.0,307.0,518.0,,
1703154380000,600.0,790.0,317.0,524.0,,
1703154385000,545.0,736.0,304.0,497.0,,
1703154390000,532.0,668.0,282.0,449.0,,
1703154395000,509.0,630.0,264.0,427.0,,
1703154400000,496.0,589.0,246.0,383.0,,
1703154405000,544.0,559.0,304.0,353.0,,
1703154410000,623.0,527.0,355.0,363.0,,
1703154415000,685.0,488.0,403.0,407.0,,
1703154420000,709.0,450.0,421.0,427.0,,
1703154425000,733.0,436.0,407.0,413.0,,
1703154430000,756.0,459.0,433.0,442.0,,
1703154435000,757.0,478.0,450.0,464.0,,
1703154440000,808.0,479.0,467.0,468.0,,
1703154445000,892.0,522.0,513.0,508.0,,
1703154450000,939.0,584.0,565.0,569.0,,
1703154455000,963.0,636.0,618.0,614.0,,
1703154460000,975.0,654.0,642.0,633.0,,
1703154465000,989.0,659.0,642.0,633.0,,
1703154470000,994.0,671.0,650.0,637.0,,
1703154475000,990.0,681.0,656.0,644.0,,
1703154480000,991.0,688.0,661.0,643.0,,
1703154485000,992.0,689.0,668.0,650.0,,
1703154490000,992.0,689.0,668.0,647.0,,
1703154495000,992.0,701.0,676.0,646.0,,
1703154500000,992.0,705.0,682.0,647.0,,
1703154505000,992.0,700.0,677.0,637.0,,
1703154510000,996.0,699.0,676.0,632.0,,
1703154515000,989.0,694.0,681.0,630.0,,
1703154520000,989.0,694.0,677.0,617.0,,
1703154525000,989.0,694.0,686.0,619.0,,
1703154530000,989.0,689.0,681.0,615.0,,
1703154535000,993.0,693.0,684.0,617.0,,
1703154540000,993.0,700.0,695.0,632.0,,
1703154545000,993.0,710.0,691.0,634.0,,
1703154550000,993.0,707.0,693.0,638.0,,
1703154555000,983.0,692.0,680.0,634.0,,
1703154560000,983.0,685.0,674.0,635.0,,
1703154565000,983.0,681.0,673.0,635.0,,
1703154570000,983.0,681.0,679.0,639.0,,
1703154575000,990.0,678.0,678.0,637.0,,
1703154580000,990.0,674.0,676.0,647.0,,
1703154585000,990.0,676.0,670.0,644.0,,
1703154590000,987.0,678.0,674.0,646.0,,
1703154595000,987.0,703.0,701.0,670.0,,
1703154600000,987.0,687.0,695.0,655.0,,
1703154605000,987.0,688.0,699.0,654.0,,
1703154610000,987.0,695.0,700.0,654.0,,
1703154615000,997.0,708.0,715.0,653.0,,
1703154620000,997.0,712.0,711.0,649.0,,
1703154625000,997.0,719.0,714.0,650.0,,
1703154630000,997.0,718.0,712.0,655.0,,
1703154635000,997.0,712.0,710.0,651.0,,
1703154640000,997.0,713.0,710.0,647.0,,
1703154645000,997.0,714.0,710.0,651.0,,
1703154650000,1000.0,715.0,712.0,651.0,,
1703154655000,1000.0,692.0,688.0,628.0,,
1703154660000,1000.0,705.0,689.0,638.0,,
1703154665000,1000.0,709.0,694.0,638.0,,
1703154670000,1000.0,699.0,686.0,631.0,,
1703154675000,1000.0,693.0,679.0,632.0,,
1703154680000,1000.0,709.0,695.0,646.0,,
1703154685000,1000.0,702.0,693.0,645.0,,
1703154690000,1000.0,706.0,693.0,640.0,,
1703154695000,1000.0,714.0,689.0,645.0,,
1703154700000,1000.0,716.0,693.0,646.0,,
1703154705000,1000.0,711.0,687.0,643.0,,
1703154710000,1000.0,710.0,689.0,642.0,,
1703154715000,1000.0,707.0,695.0,640.0,,
1703154720000,1000.0,713.0,702.0,645.0,,
1703154725000,1000.0,708.0,699.0,647.0,,
1703154730000,1000.0,720.0,708.0,653.0,,
1703154735000,1000.0,723.0,705.0,651.0,,
1703154740000,956.0,720.0,706.0,648.0,,
1703154745000,,,,,,
1703154795000,1000.0,,,,,
1703154800000,715.0,1000.0,1000.0,1000.0,1000.0,
1703154805000,624.0,632.0,629.0,1000.0,396.0,
1703154810000,553.0,414.0,423.0,1000.0,357.0,
1703154815000,665.0,337.0,347.0,1000.0,296.0,
1703154820000,649.0,321.0,335.0,952.0,380.0,
1703154825000,705.0,280.0,300.0,795.0,345.0,
1703154830000,695.0,285.0,300.0,737.0,360.0,
1703154835000,733.0,297.0,304.0,689.0,363.0,
1703154840000,763.0,352.0,375.0,687.0,403.0,
1703154845000,787.0,360.0,377.0,660.0,401.0,
1703154850000,806.0,376.0,391.0,638.0,415.0,
1703154855000,821.0,393.0,406.0,631.0,426.0,
1703154860000,845.0,404.0,418.0,622.0,435.0,
1703154865000,884.0,394.0,405.0,580.0,451.0,
1703154870000,933.0,426.0,431.0,546.0,468.0,
1703154875000,933.0,461.0,462.0,511.0,497.0,
1703154880000,968.0,487.0,484.0,491.0,494.0,
1703154885000,969.0,529.0,520.0,520.0,526.0,
1703154890000,999.0,543.0,539.0,524.0,530.0,
1703154895000,999.0,558.0,556.0,537.0,543.0,
1703154900000,999.0,554.0,537.0,537.0,550.0,
1703154905000,999.0,571.0,557.0,561.0,569.0,
1703154910000,999.0,582.0,563.0,573.0,579.0,
1703154915000,1000.0,595.0,573.0,575.0,585.0,
1703154920000,1000.0,596.0,574.0,579.0,589.0,
1703154925000,1000.0,611.0,596.0,597.0,594.0,
1703154930000,1000.0,606.0,597.0,590.0,602.0,
1703154935000,1000.0,612.0,605.0,600.0,610.0,
1703154940000,1000.0,618.0,615.0,611.0,619.0,
1703154945000,1000.0,623.0,624.0,619.0,627.0,
1703154950000,1000.0,636.0,641.0,632.0,640.0,
1703154955000,1000.0,643.0,647.0,637.0,647.0,
1703154960000,1000.0,637.0,646.0,633.0,630.0,
1703154965000,1000.0,640.0,651.0,631.0,635.0,
1703154970000,1000.0,636.0,651.0,638.0,637.0,
1703154975000,991.0,638.0,650.0,647.0,641.0,
1703154980000,991.0,636.0,647.0,644.0,632.0,
1703154985000,991.0,633.0,640.0,637.0,633.0,
1703154990000,991.0,646.0,649.0,647.0,642.0,
1703154995000,991.0,642.0,643.0,638.0,647.0,
1703155000000,991.0,635.0,634.0,627.0,643.0,
1703155005000,991.0,637.0,634.0,634.0,643.0,
1703155010000,991.0,631.0,623.0,626.0,641.0,
1703155015000,991.0,642.0,632.0,633.0,653.0,
1703155020000,991.0,639.0,626.0,627.0,654.0,
1703155025000,991.0,642.0,624.0,624.0,655.0,
1703155030000,987.0,647.0,620.0,610.0,650.0,
1703155035000,997.0,634.0,614.0,603.0,642.0,
1703155040000,997.0,641.0,620.0,605.0,656.0,
1703155045000,997.0,643.0,617.0,602.0,655.0,
1703155050000,997.0,646.0,617.0,599.0,654.0,
1703155055000,997.0,639.0,609.0,592.0,643.0,
1703155060000,997.0,652.0,622.0,607.0,649.0,
1703155065000,997.0,638.0,608.0,595.0,633.0,
1703155070000,997.0,647.0,617.0,600.0,640.0,
1703155075000,988.0,636.0,609.0,594.0,631.0,
1703155080000,988.0,628.0,602.0,585.0,621.0,
1703155085000,988.0,620.0,598.0,580.0,617.0,
1703155090000,992.0,617.0,598.0,582.0,622.0,
1703155095000,992.0,619.0,599.0,583.0,624.0,
1703155100000,992.0,623.0,605.0,586.0,628.0,
1703155105000,992.0,617.0,595.0,576.0,623.0,
1703155110000,992.0,603.0,585.0,570.0,608.0,
1703155115000,992.0,610.0,597.0,578.0,610.0,
1703155120000,985.0,603.0,592.0,567.0,608.0,
1703155125000,975.0,617.0,607.0,580.0,626.0,
1703155130000,975.0,605.0,593.0,570.0,611.0,
1703155135000,984.0,597.0,586.0,562.0,604.0,
1703155140000,984.0,608.0,593.0,570.0,622.0,
1703155145000,984.0,613.0,598.0,574.0,623.0,
1703155150000,984.0,610.0,602.0,577.0,624.0,
1703155155000,984.0,604.0,601.0,576.0,622.0,
1703155160000,984.0,603.0,600.0,581.0,619.0,
1703155165000,984.0,611.0,607.0,586.0,631.0,
1703155170000,984.0,610.0,607.0,586.0,633.0,
1703155175000,984.0,621.0,613.0,597.0,642.0,
1703155180000,990.0,612.0,601.0,589.0,633.0,
1703155185000,1000.0,609.0,597.0,583.0,627.0,
1703155190000,1000.0,618.0,604.0,588.0,636.0,
1703155195000,1000.0,627.0,605.0,592.0,637.0,
1703155200000,1000.0,625.0,604.0,596.0,630.0,
1703155205000,1000.0,620.0,598.0,588.0,624.0,
1703155210000,1000.0,625.0,600.0,591.0,626.0,
1703155215000,963.0,633.0,603.0,595.0,633.0,
1703155220000,878.0,605.0,571.0,560.0,607.0,
1703155225000,,,,,,
1703155275000,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
1703155280000,758.0,1000.0,1000.0,1000.0,790.0,1000.0
1703155285000,879.0,949.0,1000.0,1000.0,640.0,867.0
1703155290000,654.0,661.0,1000.0,1000.0,423.0,582.0
1703155295000,489.0,489.0,1000.0,996.0,314.0,435.0
1703155300000,427.0,422.0,997.0,975.0,284.0,373.0
1703155305000,385.0,372.0,926.0,827.0,255.0,329.0
1703155310000,358.0,344.0,819.0,735.0,243.0,309.0
1703155315000,373.0,336.0,766.0,686.0,244.0,310.0
1703155320000,413.0,357.0,729.0,669.0,265.0,327.0
1703155325000,452.0,367.0,702.0,649.0,282.0,343.0
1703155330000,467.0,367.0,675.0,630.0,288.0,340.0
1703155335000,496.0,369.0,652.0,614.0,300.0,343.0
1703155340000,501.0,326.0,613.0,578.0,274.0,301.0
1703155345000,488.0,290.0,572.0,544.0,278.0,290.0
1703155350000,532.0,313.0,524.0,499.0,309.0,322.0
1703155355000,595.0,350.0,476.0,455.0,346.0,362.0
