,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,0,1,2,3,4,5
Timestamp,,,,,,
1703152910000,0.0,,,,,
1703152915000,0.0,,,,,
1703152920000,0.0,,,,,
1703152925000,95.8833333333,,,,,
1703152930000,728.6666666666,,,,,
1703152935000,1635.8833333333,,,,,
1703152940000,4117.0,,,,,
1703152945000,5314.23333333,,,,,
1703152950000,6001.35,,,,,
1703152955000,8638.06666666,,,,,
1703152960000,9582.35,,,,,
1703152965000,11532.13333333,,,,,
1703152970000,12827.03333333,,,,,
1703152975000,14021.45,,,,,
1703152980000,16223.4,,,,,
1703152985000,16127.51666666,,,,,
1703152990000,17491.6,,,,,
1703152995000,17760.96666666,,,,,
1703153000000,15874.51666666,,,,,
1703153005000,16498.66666666,,,,,
1703153010000,17215.23333333,,,,,
1703153015000,16285.46666666,,,,,
1703153020000,17269.73333333,,,,,
1703153025000,16105.46666666,,,,,
1703153030000,15511.55,,,,,
1703153035000,16138.8,,,,,
1703153040000,15601.15,,,,,
1703153045000,17261.95,,,,,
1703153050000,16965.4,,,,,
1703153055000,15860.3,,,,,
1703153060000,16832.11666666,,,,,
1703153065000,16483.8,,,,,
1703153070000,16942.95,,,,,
1703153075000,16831.8,,,,,
1703153080000,16081.91666666,,,,,
1703153085000,15956.116666659998,,,,,
1703153090000,16889.233333329998,,,,,
1703153095000,16647.93333333,,,,,
1703153100000,16674.3,,,,,
1703153105000,16605.33333333,,,,,
1703153110000,15970.98333333,,,,,
1703153115000,16607.75,,,,,
1703153120000,16764.16666666,,,,,
1703153125000,16807.66666666,,,,,
1703153130000,15384.033333329999,,,,,
1703153135000,15120.633333329999,,,,,
1703153140000,15527.4,,,,,
1703153145000,16697.35,,,,,
1703153150000,16687.16666666,,,,,
1703153155000,16780.45,,,,,
1703153160000,15348.6,,,,,
1703153165000,15348.85,,,,,
1703153170000,16092.18333333,,,,,
1703153175000,16631.28333333,,,,,
1703153180000,15188.58333333,,,,,
1703153185000,15245.68333333,,,,,
1703153190000,16300.766666659998,,,,,
1703153195000,16820.38333333,,,,,
1703153200000,16065.15,,,,,
1703153205000,16646.4,,,,,
1703153210000,16673.11666666,,,,,
1703153215000,16900.95,,,,,
1703153220000,17832.58333333,,,,,
1703153225000,16567.11666666,,,,,
1703153230000,16471.9,,,,,
1703153235000,16822.016666659998,,,,,
1703153240000,18336.233333329998,,,,,
1703153245000,18423.13333333,,,,,
1703153250000,18579.66666666,,,,,
1703153255000,17998.266666659998,,,,,
1703153260000,17775.46666666,,,,,
1703153265000,16572.21666666,,,,,
1703153270000,16613.65,,,,,
1703153275000,16165.116666659998,,,,,
1703153280000,16759.316666659997,,,,,
1703153285000,17999.68333333,,,,,
1703153290000,17153.68333333,,,,,
1703153295000,,,,,,
1703153345000,0.0,0.0,,,,
1703153350000,0.0,0.0,,,,
1703153355000,0.0,0.0,,,,
1703153360000,67.9833333333,0.0,,,,
1703153365000,237.9166666666,0.0,,,,
1703153370000,374.6,318.3333333333,,,,
1703153375000,930.15,767.4833333333,,,,
1703153380000,1613.15,1629.4666666666,,,,
1703153385000,2336.8833333333,2345.5833333333,,,,
1703153390000,2715.1333333333,2729.9666666666,,,,
1703153395000,3600.1,3456.33333333,,,,
1703153400000,4541.86666667,4565.96666667,,,,
1703153405000,5391.05,5472.2,,,,
1703153410000,7172.86666666,7110.71666666,,,,
1703153415000,8113.733333329999,8204.71666666,,,,
1703153420000,9307.58333333,9417.91666666,,,,
1703153425000,11331.783333329999,11608.83333333,,,,
1703153430000,14241.266666659998,14156.95,,,,
1703153435000,15538.35,15555.83333333,,,,
1703153440000,16644.2,16633.35,,,,
1703153445000,16570.266666659998,16890.78333333,,,,
1703153450000,17885.85,17936.36666666,,,,
1703153455000,17823.05,18071.233333329998,,,,
1703153460000,17523.93333333,17638.45,,,,
1703153465000,18454.95,18478.0,,,,
1703153470000,17519.05,17702.96666666,,,,
1703153475000,17606.38333333,17566.03333333,,,,
1703153480000,17554.28333333,17647.43333333,,,,
1703153485000,16945.266666659998,16908.483333329998,,,,
1703153490000,14692.033333329999,14966.55,,,,
1703153495000,13665.866666659998,14121.0,,,,
1703153500000,13426.8,13549.65,,,,
1703153505000,14045.5,13794.533333329999,,,,
1703153510000,13604.6,13715.8,,,,
1703153515000,13905.216666659999,13979.2,,,,
1703153520000,14520.616666659998,14518.783333329999,,,,
1703153525000,13525.35,13682.216666659999,,,,
