Timestamp,"('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 0)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 0)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 2)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 1)",flink_jobmanager_job_lastCheckpointSize,flink_jobmanager_job_lastCheckpointDuration,Parallelism
0,0.0,,0.0,0.0,-1.0,-1.0,1
5,0.0,1000.0,0.0,0.0,22637.0,18.0,1
10,5.233333333333,12.0,0.0,0.0,22637.0,18.0,1
15,1545.9333333332997,506.0,393.0,359.0,4617007.0,828.0,1
20,1979.9166666666,463.0,295.0,266.0,4799500.0,569.0,1
25,5850.15,510.0,250.0,322.0,12093862.0,1069.0,1
30,6932.75,600.0,417.0,473.0,12093862.0,1069.0,1
35,11088.96666666,664.0,526.0,517.0,4006715.0,648.0,1
40,14826.15,711.0,641.0,600.0,4006715.0,648.0,1
45,14826.15,747.0,686.0,650.0,4006715.0,648.0,1
50,14826.15,775.0,722.0,689.0,4006715.0,648.0,1
55,14826.15,798.0,750.0,721.0,4006715.0,648.0,1
60,,,,,4006715.0,648.0,0
75,0.0,1000.0,0.0,0.0,4006715.0,648.0,1
80,167.8166666666,739.0,0.0,0.0,4467978.0,4991.0,1
85,1541.1,870.0,246.0,178.0,12344811.0,2091.0,1
90,3921.0,913.0,444.0,394.0,12344811.0,2091.0,1
95,3921.0,935.0,583.0,545.0,15605640.0,1197.0,1
100,7830.1,948.0,875.0,852.0,20665024.0,1452.0,1
105,9980.33333333,957.0,894.0,877.0,20665024.0,1452.0,1
110,9980.33333333,963.0,909.0,894.0,5710721.0,694.0,1
115,11226.06666666,968.0,1000.0,1000.0,11104077.0,943.0,1
120,15634.766666659998,971.0,1000.0,1000.0,10245626.0,990.0,1
125,,,,,10245626.0,990.0,0
145,0.0,1000.0,0.0,0.0,10245626.0,990.0,1
150,0.0,1000.0,0.0,0.0,11639833.0,3321.0,1
155,874.4,762.0,328.0,249.0,11639833.0,3321.0,1
160,1331.3166666666,881.0,654.0,603.0,12389429.0,1095.0,1
165,4555.55,921.0,740.0,665.0,20004735.0,1292.0,1
170,7986.91666666,941.0,775.0,711.0,20004735.0,1292.0,1
175,12570.15,953.0,807.0,744.0,20004735.0,1292.0,1
180,12570.15,961.0,840.0,787.0,20004735.0,1292.0,1
185,,,,,,,0
275,0.0,1000.0,0.0,0.0,,,1
280,1410.7833333333,839.0,43.0,360.0,,,1
285,2271.4,756.0,295.0,180.0,,,1
290,6059.55,695.0,197.0,209.0,,,1
295,9316.55,764.0,288.0,345.0,,,1
300,13132.966666659999,807.0,434.0,415.0,,,1
305,16769.05,839.0,520.0,471.0,,,1
310,19417.28333333,862.0,581.0,528.0,,,1
315,24389.28333333,880.0,621.0,557.0,,,1
320,27202.55,893.0,689.0,633.0,,,1
325,30283.016666659998,904.0,716.0,657.0,,,1
330,30283.016666659998,913.0,742.0,688.0,,,1
335,33887.41666666,920.0,896.0,833.0,,,1
340,34725.06666666,933.0,972.0,875.0,,,1
345,33864.45,961.0,1000.0,958.0,,,1
350,30124.833333330003,996.0,1000.0,1000.0,,,1
355,31529.91666666,999.0,1000.0,1000.0,,,1
360,29013.11666666,1000.0,1000.0,1000.0,,,1
365,25377.03333333,1000.0,1000.0,1000.0,,,1
370,25239.8,1000.0,1000.0,1000.0,,,1
375,20267.8,1000.0,1000.0,1000.0,,,1
380,23039.61666666,1000.0,1000.0,1000.0,,,1
385,24675.41666666,1000.0,1000.0,1000.0,,,1
390,27405.066666659997,1000.0,1000.0,1000.0,,,1
395,28823.333333330003,1000.0,1000.0,1000.0,,,1
400,32528.316666659997,1000.0,1000.0,1000.0,,,1
405,34948.6,1000.0,1000.0,1000.0,,,1
410,38763.01666666,1000.0,1000.0,1000.0,,,1
