,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks
,0,1,2,3
Timestamp,,,,
1737804030000,0.0,,,
1737804035000,1401.3833333333,,,
1737804040000,4488.38333333,,,
1737804045000,12204.4,,,
1737804050000,15102.7,,,
1737804055000,19112.25,,,
1737804060000,23671.2,,,
1737804065000,29040.88333333,,,
1737804070000,29040.88333333,,,
1737804075000,34899.95,,,
1737804080000,34984.48333333,,,
1737804085000,41100.13333333,,,
1737804090000,41100.13333333,,,
1737804095000,41549.05,,,
1737804100000,42129.2,,,
1737804105000,34413.18333333,,,
1737804110000,37563.15,,,
1737804115000,33553.6,,,
1737804120000,31446.3,,,
1737804125000,29770.4,,,
1737804130000,29770.4,,,
1737804135000,25406.566666659997,,,
1737804140000,32913.13333333,,,
1737804145000,34459.8,,,
1737804150000,40259.63333333,,,
1737804155000,44106.83333333,,,
1737804160000,46443.58333333,,,
1737804165000,49206.233333330005,,,
1737804170000,46272.33333333,,,
1737804175000,46272.33333333,,,
1737804180000,49830.91666666001,,,
1737804185000,46137.13333333,,,
1737804190000,47786.78333333,,,
1737804195000,46291.55,,,
1737804200000,38700.45,,,
1737804205000,33622.86666666,,,
1737804210000,33329.03333333,,,
1737804215000,33938.983333330005,,,
1737804220000,35795.733333330005,,,
1737804225000,39069.2,,,
1737804230000,41696.7,,,
1737804235000,41696.7,,,
1737804240000,41959.55,,,
1737804245000,41959.55,,,
1737804250000,43988.66666666,,,
1737804255000,46028.4,,,
1737804260000,46369.91666666001,,,
1737804265000,44299.85,,,
1737804270000,38793.85,,,
1737804275000,35421.76666666,,,
1737804280000,,,,
1737804305000,0.0,0.0,,
1737804310000,0.0,5412.41666667,,
1737804315000,10257.45,11314.033333329999,,
1737804320000,16545.36666666,17305.63333333,,
1737804325000,18391.83333333,20164.41666666,,
1737804330000,20594.05,20665.9,,
1737804335000,20739.11666666,20929.05,,
1737804340000,24882.316666659997,26039.333333330003,,
1737804345000,30547.316666659997,32512.583333330003,,
1737804350000,36559.966666659995,39039.26666666,,
1737804355000,39252.05,40027.03333333,,
1737804360000,42093.26666666,41915.33333333,,
1737804365000,44949.1,44781.85,,
1737804370000,47930.88333333,42234.483333330005,,
1737804375000,38906.66666666,39202.18333333,,
1737804380000,34403.95,35913.78333333,,
1737804385000,35054.78333333,33595.85,,
1737804390000,36016.65,35692.233333330005,,
1737804395000,38760.3,38319.66666666,,
1737804400000,35519.26666666,34097.733333330005,,
1737804405000,30096.9,29128.8,,
1737804410000,30593.7,29029.21666666,,
1737804415000,34301.93333333,33585.13333333,,
1737804420000,36779.58333333,36814.53333333,,
1737804425000,34797.8,37269.56666666,,
1737804430000,34486.65,35586.25,,
1737804435000,35772.5,34032.733333330005,,
1737804440000,37277.33333333,34661.41666666,,
1737804445000,37333.91666666,36626.16666666,,
1737804450000,36045.2,37176.8,,
1737804455000,34743.983333330005,37053.88333333,,
1737804460000,36348.716666659995,36981.03333333,,
1737804465000,38862.28333333,37435.78333333,,
1737804470000,34601.76666666,33270.08333333,,
1737804475000,28201.45,27794.35,,
1737804480000,27823.48333333,28011.5,,
1737804485000,32722.71666666,31965.25,,
1737804490000,35879.81666666,37438.3,,
1737804495000,36424.38333333,36585.03333333,,
1737804500000,36292.51666666,36108.483333330005,,
1737804505000,36879.61666666,36701.25,,
1737804510000,37140.75,36657.83333333,,
1737804515000,36677.86666666,35595.95,,
1737804520000,37028.85,36089.91666666,,
1737804525000,37204.03333333,37001.66666666,,
1737804530000,37454.233333330005,37263.93333333,,
1737804535000,40003.483333330005,39734.466666659995,,
1737804540000,36510.88333333,35854.63333333,,
