,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks
,0,1,2,3
Timestamp,,,,
1737804030000,1000.0,,,
1737804035000,591.0,,,
1737804040000,491.0,,,
1737804045000,656.0,,,
1737804050000,742.0,,,
1737804055000,794.0,,,
1737804060000,828.0,,,
1737804065000,853.0,,,
1737804070000,871.0,,,
1737804075000,886.0,,,
1737804080000,897.0,,,
1737804085000,907.0,,,
1737804090000,914.0,,,
1737804095000,948.0,,,
1737804100000,999.0,,,
1737804105000,1000.0,,,
1737804110000,1000.0,,,
1737804115000,1000.0,,,
1737804120000,1000.0,,,
1737804125000,999.0,,,
1737804130000,999.0,,,
1737804135000,999.0,,,
1737804140000,999.0,,,
1737804145000,999.0,,,
1737804150000,999.0,,,
1737804155000,999.0,,,
1737804160000,999.0,,,
1737804165000,999.0,,,
1737804170000,999.0,,,
1737804175000,999.0,,,
1737804180000,999.0,,,
1737804185000,1000.0,,,
1737804190000,999.0,,,
1737804195000,999.0,,,
1737804200000,999.0,,,
1737804205000,999.0,,,
1737804210000,997.0,,,
1737804215000,997.0,,,
1737804220000,997.0,,,
1737804225000,997.0,,,
1737804230000,997.0,,,
1737804235000,997.0,,,
1737804240000,997.0,,,
1737804245000,997.0,,,
1737804250000,998.0,,,
1737804255000,998.0,,,
1737804260000,998.0,,,
1737804265000,998.0,,,
1737804270000,1000.0,,,
1737804275000,999.0,,,
1737804280000,,,,
1737804305000,1000.0,1000.0,,
1737804310000,1000.0,975.0,,
1737804315000,727.0,988.0,,
1737804320000,864.0,988.0,,
1737804325000,902.0,989.0,,
1737804330000,925.0,990.0,,
1737804335000,940.0,992.0,,
1737804340000,940.0,977.0,,
1737804345000,948.0,969.0,,
1737804350000,952.0,966.0,,
1737804355000,958.0,967.0,,
1737804360000,956.0,962.0,,
1737804365000,959.0,965.0,,
1737804370000,954.0,964.0,,
1737804375000,975.0,964.0,,
1737804380000,975.0,964.0,,
1737804385000,974.0,965.0,,
1737804390000,971.0,958.0,,
1737804395000,967.0,958.0,,
1737804400000,971.0,966.0,,
1737804405000,972.0,974.0,,
1737804410000,972.0,976.0,,
1737804415000,972.0,976.0,,
1737804420000,974.0,975.0,,
1737804425000,974.0,970.0,,
1737804430000,982.0,968.0,,
1737804435000,982.0,966.0,,
1737804440000,982.0,960.0,,
1737804445000,980.0,959.0,,
1737804450000,982.0,961.0,,
1737804455000,987.0,960.0,,
1737804460000,985.0,961.0,,
1737804465000,983.0,961.0,,
1737804470000,971.0,964.0,,
1737804475000,971.0,965.0,,
1737804480000,969.0,970.0,,
1737804485000,969.0,970.0,,
1737804490000,970.0,973.0,,
1737804495000,971.0,975.0,,
1737804500000,966.0,974.0,,
1737804505000,970.0,967.0,,
1737804510000,968.0,971.0,,
1737804515000,968.0,965.0,,
1737804520000,968.0,961.0,,
1737804525000,969.0,962.0,,
1737804530000,976.0,955.0,,
1737804535000,974.0,955.0,,
1737804540000,975.0,959.0,,
1737804545000,977.0,965.0,,
1737804550000,974.0,966.0,,
1737804555000,975.0,,,
1737804560000,,,,
1737804580000,1000.0,1000.0,1000.0,
1737804585000,595.0,593.0,1000.0,
1737804590000,768.0,766.0,270.0,
1737804595000,833.0,802.0,560.0,
1737804600000,875.0,830.0,663.0,
1737804605000,894.0,835.0,706.0,
1737804610000,912.0,861.0,756.0,
1737804615000,925.0,858.0,770.0,
1737804620000,928.0,868.0,790.0,
1737804625000,932.0,869.0,808.0,
1737804630000,932.0,866.0,809.0,
1737804635000,936.0,870.0,808.0,
1737804640000,941.0,874.0,818.0,
1737804645000,973.0,897.0,826.0,
1737804650000,976.0,886.0,875.0,
