Timestamp,"('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 0)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 1)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 2)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 0)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 1)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 2)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 2)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 1)",flink_jobmanager_job_lastCheckpointSize,flink_jobmanager_job_lastCheckpointDuration,Parallelism
0,0.0,,,,,,0.0,0.0,-1.0,-1.0,1
5,0.0,,,,,,0.0,0.0,-1.0,-1.0,1
10,0.0,,,,,,0.0,0.0,-1.0,-1.0,1
15,0.0,,,,,,0.0,0.0,-1.0,-1.0,1
20,0.0,,,,,,0.0,0.0,-1.0,-1.0,1
25,0.0,,,,,,0.0,0.0,-1.0,-1.0,1
30,0.0,,,,,,0.0,0.0,-1.0,-1.0,1
35,0.0,,,1000.0,,,0.0,0.0,-1.0,-1.0,1
40,0.0,,,971.0,,,0.0,0.0,-1.0,-1.0,1
45,0.0,,,879.0,,,0.0,0.0,22637.0,-1.0,1
50,4.966666666666,,,835.0,,,0.0,0.0,38461.0,5792.0,1
55,63.4333333333,,,849.0,,,31.0,39.0,38461.0,2186.0,1
60,132.3,,,849.0,,,89.0,106.0,212409.0,2186.0,1
65,213.35,,,849.0,,,167.0,174.0,212409.0,13608.0,1
70,414.93333333329997,,,849.0,,,284.0,294.0,991649.0,13608.0,1
75,466.2666666666,,,849.0,,,377.0,385.0,991649.0,8998.0,1
80,621.65,,,849.0,,,487.0,489.0,1415653.0,8998.0,1
85,801.1166666665999,,,849.0,,,541.0,554.0,1415653.0,10494.0,1
90,1011.85,,,849.0,,,639.0,657.0,1630066.0,10494.0,1
95,1583.3166666666,,,849.0,,,706.0,726.0,3992869.0,7500.0,1
100,2227.7333333333,,,871.0,,,771.0,796.0,5198255.0,3873.0,1
105,2699.2833333333,,,951.0,,,837.0,868.0,5198255.0,4933.0,1
110,3146.5833333333003,,,1000.0,,,896.0,933.0,4497550.0,4933.0,1
115,3088.1166666666,,,1000.0,,,948.0,977.0,4497550.0,5114.0,1
120,3492.36666667,,,1000.0,,,1000.0,1000.0,7017575.0,5114.0,1
125,3974.81666667,,,1000.0,,,1000.0,1000.0,8528368.0,11517.0,1
130,4366.81666667,,,1000.0,,,985.0,1000.0,10102906.0,5707.0,1
135,4315.48333333,,,1000.0,,,975.0,999.0,10102906.0,5528.0,1
140,4160.1,,,1000.0,,,949.0,978.0,10102906.0,5528.0,1
145,4183.9,,,1000.0,,,1000.0,1000.0,7846759.0,5528.0,1
150,4615.4,,,1000.0,,,1000.0,1000.0,9068670.0,13997.0,1
155,4811.18333333,,,1000.0,,,1000.0,1000.0,10655191.0,4120.0,1
160,4668.3,,,1000.0,,,1000.0,1000.0,12362658.0,4096.0,1
165,4196.75,,,1000.0,,,1000.0,1000.0,12362658.0,6206.0,1
170,3966.2,,,1000.0,,,1000.0,1000.0,7229522.0,6206.0,1
175,4767.03333333,,,1000.0,,,1000.0,1000.0,8723445.0,10757.0,1
180,5190.28333333,,,1000.0,,,1000.0,1000.0,10466950.0,3831.0,1
185,5392.2,,,1000.0,,,1000.0,1000.0,12415108.0,3884.0,1
190,5489.63333333,,,1000.0,,,1000.0,1000.0,8029682.0,5694.0,1
195,6223.63333333,,,1000.0,,,1000.0,1000.0,9759098.0,4105.0,1
200,6223.63333333,,,1000.0,,,1000.0,1000.0,9759098.0,6051.0,1
205,6020.36666667,,,1000.0,,,931.0,958.0,9759098.0,6051.0,1
210,5378.13333333,,,1000.0,,,954.0,978.0,9759098.0,6051.0,1
215,4610.88333333,,,1000.0,,,975.0,996.0,9759098.0,6051.0,1
220,4534.4,,,1000.0,,,1000.0,1000.0,9759098.0,6051.0,1
225,4534.4,,,1000.0,,,1000.0,1000.0,9759098.0,6051.0,1
230,4312.68333333,,,1000.0,,,995.0,1000.0,,6051.0,1
235,,,,,,,,,,,0
260,0.0,0.0,,,,,0.0,0.0,-1.0,-1.0,2
265,0.0,0.0,,,,,0.0,0.0,-1.0,-1.0,2
270,0.0,0.0,,,,,0.0,0.0,-1.0,-1.0,2
275,0.0,0.0,,,,,0.0,0.0,-1.0,-1.0,2
280,0.0,0.0,,,,,0.0,0.0,-1.0,-1.0,2
285,0.0,0.0,,,,,0.0,0.0,-1.0,-1.0,2
290,0.0,0.0,,,,,0.0,0.0,-1.0,-1.0,2
295,0.0,0.0,,1000.0,,,0.0,0.0,-1.0,-1.0,2
300,0.0,0.0,,920.0,,,0.0,0.0,-1.0,-1.0,2
305,33.066666666666,0.0,,860.0,,,0.0,0.0,-1.0,-1.0,2
310,232.9333333333,0.0,,872.0,1000.0,,43.0,42.0,-1.0,-1.0,2
315,367.93333333329997,162.9,,809.0,999.0,,114.0,116.0,-1.0,-1.0,2
320,502.18333333329997,476.5666666666,,756.0,999.0,,181.0,175.0,-1.0,-1.0,2
325,760.2333333332999,759.1833333333,,721.0,999.0,,284.0,278.0,2484186.0,-1.0,2
330,879.9833333332999,964.8333333333,,677.0,993.0,,366.0,360.0,2484186.0,12737.0,2
335,1103.9666666665998,1192.8,,656.0,978.0,,478.0,467.0,6094785.0,12737.0,2
340,1196.9833333333,1192.8,,656.0,978.0,,545.0,547.0,6094785.0,2516.0,2
345,1406.2666666666,1192.8,,635.0,978.0,,684.0,688.0,6094785.0,2516.0,2
350,1406.2666666666,1381.6333333333,,550.0,978.0,,768.0,771.0,8318267.0,2516.0,2
355,1731.15,1728.3666666666,,539.0,978.0,,934.0,936.0,3518767.0,15394.0,2
360,1841.9333333333,2073.6166666666,,587.0,960.0,,1000.0,1000.0,6757677.0,2237.0,2
365,2264.05,2512.1666666666,,633.0,939.0,,1000.0,1000.0,8036388.0,2504.0,2
370,2483.7166666666,3118.55,,636.0,915.0,,1000.0,1000.0,6354755.0,3421.0,2
375,3099.8333333333003,3602.38333333,,699.0,884.0,,1000.0,1000.0,8657697.0,3122.0,2
380,3493.25,3852.78333333,,764.0,860.0,,1000.0,1000.0,10895405.0,3804.0,2
385,3725.93333333,4060.8333333299997,,818.0,832.0,,945.0,979.0,11077626.0,4378.0,2
390,3966.05,3855.18333333,,863.0,838.0,,931.0,968.0,11077626.0,4501.0,2
395,3742.06666667,3932.0833333299997,,884.0,844.0,,903.0,945.0,16261067.0,4501.0,2
400,3972.46666667,4071.46666667,,884.0,844.0,,1000.0,1000.0,16261067.0,11210.0,2
405,3854.18333333,4071.46666667,,905.0,844.0,,991.0,1000.0,16261067.0,11210.0,2
410,3854.18333333,3999.0833333299997,,990.0,813.0,,991.0,1000.0,16261067.0,11210.0,2
415,3764.3333333299997,4002.4,,1000.0,759.0,,995.0,1000.0,23017235.0,11210.0,2
