Parallelism,Throughput_min,Throughput_max,Throughput_mean
1,22981.531818178184,30265.977631575788,26419.39790846742
2,48967.74146340805,57624.39166666026,51605.208688949075
3,67108.4772357622,83305.10900900027,73777.01435916142
4,89287.51302082125,104302.60731706073,94817.51104249022
5,100572.68072914968,136391.91891890214,113967.53600262888
6,119253.56666664605,150506.20376342162,131104.9200728439
7,129677.81801799404,168665.23064513775,145055.0317399321
8,142016.78388886264,179341.15430105067,152602.8255662818
