,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks
,0,1
Timestamp,,
1736793695000,1000.0,
1736793700000,1000.0,
1736793705000,846.0,
1736793710000,662.0,
1736793715000,775.0,
1736793720000,831.0,
1736793725000,865.0,
1736793730000,888.0,
1736793735000,904.0,
1736793740000,916.0,
1736793745000,925.0,
1736793750000,933.0,
1736793755000,939.0,
1736793760000,944.0,
1736793765000,957.0,
1736793770000,1000.0,
1736793775000,1000.0,
1736793780000,1000.0,
1736793785000,1000.0,
1736793790000,1000.0,
1736793795000,1000.0,
1736793800000,1000.0,
1736793805000,1000.0,
1736793810000,1000.0,
1736793815000,1000.0,
1736793820000,1000.0,
1736793825000,1000.0,
1736793830000,1000.0,
1736793835000,1000.0,
1736793840000,1000.0,
1736793845000,1000.0,
1736793850000,1000.0,
1736793855000,1000.0,
1736793860000,1000.0,
1736793865000,1000.0,
1736793870000,1000.0,
1736793875000,1000.0,
1736793880000,1000.0,
1736793885000,1000.0,
1736793890000,1000.0,
1736793895000,1000.0,
1736793900000,1000.0,
1736793905000,1000.0,
1736793910000,1000.0,
1736793915000,1000.0,
1736793920000,1000.0,
1736793925000,1000.0,
1736793930000,1000.0,
1736793935000,1000.0,
1736793940000,1000.0,
1736793945000,1000.0,
1736793950000,,
1736793970000,1000.0,1000.0
1736793975000,756.0,1000.0
1736793980000,878.0,0.0
1736793985000,919.0,176.0
1736793990000,939.0,326.0
1736793995000,952.0,430.0
1736794000000,960.0,522.0
1736794005000,966.0,601.0
1736794010000,969.0,619.0
1736794015000,972.0,632.0
1736794020000,975.0,642.0
1736794025000,977.0,653.0
1736794030000,979.0,685.0
1736794035000,1000.0,704.0
1736794040000,996.0,783.0
1736794045000,976.0,823.0
1736794050000,976.0,854.0
1736794055000,976.0,875.0
1736794060000,976.0,884.0
1736794065000,975.0,868.0
1736794070000,958.0,891.0
1736794075000,958.0,914.0
1736794080000,958.0,935.0
1736794085000,958.0,936.0
1736794090000,957.0,927.0
1736794095000,957.0,911.0
1736794100000,951.0,921.0
1736794105000,971.0,921.0
1736794110000,971.0,919.0
1736794115000,971.0,919.0
1736794120000,971.0,902.0
1736794125000,972.0,918.0
1736794130000,990.0,911.0
1736794135000,990.0,895.0
1736794140000,991.0,898.0
1736794145000,990.0,908.0
1736794150000,990.0,906.0
1736794155000,990.0,906.0
1736794160000,1000.0,896.0
1736794165000,1000.0,889.0
1736794170000,1000.0,882.0
1736794175000,1000.0,877.0
1736794180000,1000.0,893.0
1736794185000,1000.0,867.0
1736794190000,1000.0,875.0
1736794195000,1000.0,884.0
1736794200000,1000.0,876.0
1736794205000,1000.0,881.0
1736794210000,997.0,878.0
1736794215000,,902.0
1736794220000,,
