,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks
,0,1
Timestamp,,
1736793695000,0.0,
1736793700000,0.0,
1736793705000,1547.1333333332998,
1736793710000,4725.58333333,
1736793715000,5824.316666670001,
1736793720000,8245.98333333,
1736793725000,11895.31666666,
1736793730000,17654.61666666,
1736793735000,18749.53333333,
1736793740000,18927.95,
1736793745000,25498.11666666,
1736793750000,25498.11666666,
1736793755000,25498.11666666,
1736793760000,30899.1,
1736793765000,30965.36666666,
1736793770000,27786.91666666,
1736793775000,28644.583333330003,
1736793780000,30487.11666666,
1736793785000,26837.78333333,
1736793790000,21726.46666666,
1736793795000,23350.383333330003,
1736793800000,28927.96666666,
1736793805000,27981.75,
1736793810000,32399.066666659997,
1736793815000,34838.91666666,
1736793820000,29437.933333330002,
1736793825000,33471.56666666,
1736793830000,33471.56666666,
1736793835000,32173.28333333,
1736793840000,33454.95,
1736793845000,33454.95,
1736793850000,33204.25,
1736793855000,35509.66666666,
1736793860000,30071.316666659997,
1736793865000,24839.1,
1736793870000,20659.11666666,
1736793875000,20957.18333333,
1736793880000,23840.3,
1736793885000,23576.6,
1736793890000,29457.6,
1736793895000,32555.21666666,
1736793900000,29465.28333333,
1736793905000,35027.38333333,
1736793910000,34848.25,
1736793915000,30316.066666659997,
1736793920000,34024.4,
1736793925000,34829.15,
1736793930000,34591.81666666,
1736793935000,32988.66666666,
1736793940000,30118.7,
1736793945000,28356.633333330003,
1736793950000,,
1736793970000,0.0,0.0
1736793975000,1994.5166666666,0.0
1736793980000,5471.0,1093.2666666666
1736793985000,10021.85,4086.05
1736793990000,12703.91666666,7857.66666666
1736793995000,13088.43333333,11926.9
1736794000000,13630.91666666,13003.6
1736794005000,16885.46666666,13030.75
1736794010000,21413.983333329998,15219.7
1736794015000,25084.15,19197.33333333
1736794020000,27845.8,23345.85
1736794025000,27845.8,27270.6
1736794030000,29826.23333333,27723.85
1736794035000,28893.53333333,28023.266666659998
1736794040000,25853.8,29648.566666659997
1736794045000,23992.583333330003,26655.78333333
1736794050000,21310.516666659998,25618.516666659998
1736794055000,22435.3,21938.41666666
1736794060000,23358.383333330003,21116.0
1736794065000,20546.516666659998,23786.91666666
1736794070000,16212.75,21597.96666666
1736794075000,13547.266666659998,18251.83333333
1736794080000,15152.616666659998,14315.16666666
1736794085000,19505.65,14146.766666659998
1736794090000,22024.9,17250.5
1736794095000,22019.15,22109.316666659997
1736794100000,23074.28333333,21860.5
1736794105000,21849.78333333,21860.5
1736794110000,21849.78333333,22135.03333333
1736794115000,23501.016666659998,21745.9
1736794120000,22035.45,24498.2
1736794125000,23071.0,21940.43333333
1736794130000,23254.0,22339.41666666
1736794135000,22249.316666659997,23158.066666659997
1736794140000,20219.11666666,22946.21666666
1736794145000,21760.2,20407.13333333
1736794150000,20414.5,21146.36666666
1736794155000,24540.75,20551.36666666
1736794160000,23048.86666666,22964.68333333
1736794165000,24390.3,24510.95
1736794170000,24423.7,22727.68333333
1736794175000,22329.5,24321.833333330003
1736794180000,24164.03333333,21315.25
1736794185000,22685.8,24059.98333333
1736794190000,25593.48333333,23661.0
1736794195000,25593.48333333,24065.45
1736794200000,23667.316666659997,25400.816666659997
1736794205000,17773.2,24507.65
1736794210000,17060.35,20391.5
1736794215000,,16167.23333333
1736794220000,,
