Parallelism,Throughput_min,Throughput_max,Throughput_mean
1,28258.35601851528,33177.06041666469,30417.79881255999
2,51956.24517543263,62744.15959595212,56765.993474311894
4,80923.83749998781,103724.31885963817,96135.13579653487
8,123970.15913975902,155239.74623653066,144174.23645249434
16,171019.0408601613,212303.94999994597,192961.41555438243
32,189987.89838709196,234731.48494613645,222730.2484374232
52,209250.17111111656,247241.07043009967,232933.8775448023
