,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond
,0,1,2,3,4,5,6,7,8
Timestamp,,,,,,,,,
1701850960000,1000.0,,,,,,,,
1701850965000,321.0,,,,,,,,
1701850970000,170.0,,,,,,,,
1701850975000,112.0,,,,,,,,
1701850980000,237.0,,,,,,,,
1701850985000,259.0,,,,,,,,
1701850990000,357.0,,,,,,,,
1701850995000,445.0,,,,,,,,
1701851000000,511.0,,,,,,,,
1701851005000,564.0,,,,,,,,
1701851010000,608.0,,,,,,,,
1701851015000,643.0,,,,,,,,
1701851020000,673.0,,,,,,,,
1701851025000,730.0,,,,,,,,
1701851030000,811.0,,,,,,,,
1701851035000,895.0,,,,,,,,
1701851040000,928.0,,,,,,,,
1701851045000,982.0,,,,,,,,
1701851050000,995.0,,,,,,,,
1701851055000,997.0,,,,,,,,
1701851060000,999.0,,,,,,,,
1701851065000,1000.0,,,,,,,,
1701851070000,1000.0,,,,,,,,
1701851075000,1000.0,,,,,,,,
1701851080000,1000.0,,,,,,,,
1701851085000,1000.0,,,,,,,,
1701851090000,1000.0,,,,,,,,
1701851095000,1000.0,,,,,,,,
1701851100000,1000.0,,,,,,,,
1701851105000,1000.0,,,,,,,,
1701851110000,1000.0,,,,,,,,
1701851115000,1000.0,,,,,,,,
1701851120000,1000.0,,,,,,,,
1701851125000,1000.0,,,,,,,,
1701851130000,1000.0,,,,,,,,
1701851135000,1000.0,,,,,,,,
1701851140000,1000.0,,,,,,,,
1701851145000,1000.0,,,,,,,,
1701851150000,1000.0,,,,,,,,
1701851155000,1000.0,,,,,,,,
1701851160000,1000.0,,,,,,,,
1701851165000,1000.0,,,,,,,,
1701851170000,1000.0,,,,,,,,
1701851175000,1000.0,,,,,,,,
1701851180000,1000.0,,,,,,,,
1701851185000,1000.0,,,,,,,,
1701851190000,1000.0,,,,,,,,
1701851195000,1000.0,,,,,,,,
1701851200000,1000.0,,,,,,,,
1701851205000,1000.0,,,,,,,,
1701851210000,1000.0,,,,,,,,
1701851215000,1000.0,,,,,,,,
