,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,0,1,2,3,4,5,6,7,8
Timestamp,,,,,,,,,
1701851580000,13246.25,13288.85,,,,,,,
1701851585000,13796.93333333,13696.35,,,,,,,
1701851590000,13544.15,13648.866666659998,,,,,,,
1701851595000,13563.616666659998,13647.2,,,,,,,
1701851600000,13549.93333333,13369.633333329999,,,,,,,
1701851605000,13232.466666659999,13428.616666659998,,,,,,,
1701851610000,13416.65,13613.35,,,,,,,
1701851615000,13448.68333333,13520.98333333,,,,,,,
1701851620000,13319.31666666,13365.766666659998,,,,,,,
1701851625000,13748.366666659998,13587.966666659999,,,,,,,
1701851630000,13492.0,13625.3,,,,,,,
1701851635000,13476.716666659999,13532.5,,,,,,,
1701851640000,13320.95,13561.9,,,,,,,
1701851645000,12819.68333333,13185.73333333,,,,,,,
1701851650000,12431.283333329999,12396.23333333,,,,,,,
1701851655000,12941.533333329999,13070.133333329999,,,,,,,
1701851660000,13020.48333333,13094.1,,,,,,,
1701851665000,13022.716666659999,12902.2,,,,,,,
1701851670000,13223.05,13162.033333329999,,,,,,,
1701851675000,13107.616666659998,13173.8,,,,,,,
1701851680000,13236.08333333,13538.883333329999,,,,,,,
1701851685000,13710.68333333,13712.3,,,,,,,
1701851690000,13618.6,13587.366666659998,,,,,,,
1701851695000,13082.766666659998,13368.43333333,,,,,,,
1701851700000,13699.366666659998,13740.466666659999,,,,,,,
1701851705000,13011.5,12835.56666666,,,,,,,
1701851710000,12914.2,13080.66666666,,,,,,,
1701851715000,13695.266666659998,13635.883333329999,,,,,,,
1701851720000,14210.5,14293.66666666,,,,,,,
1701851725000,14709.8,14812.9,,,,,,,
1701851730000,14263.95,14268.66666666,,,,,,,
1701851735000,14961.91666666,15061.73333333,,,,,,,
1701851740000,14706.05,14568.83333333,,,,,,,
1701851745000,14635.68333333,14706.25,,,,,,,
1701851750000,14868.866666659998,14947.55,,,,,,,
1701851755000,15351.45,15297.533333329999,,,,,,,
1701851760000,15237.06666666,15208.6,,,,,,,
1701851765000,16185.633333329999,16230.73333333,,,,,,,
1701851770000,16391.7,16457.46666666,,,,,,,
1701851775000,15188.25,15034.65,,,,,,,
1701851780000,15356.23333333,15286.56666666,,,,,,,
1701851785000,14601.41666666,14591.5,,,,,,,
1701851790000,14690.516666659998,14754.48333333,,,,,,,
1701851795000,14573.716666659999,14601.533333329999,,,,,,,
1701851800000,14818.15,14892.75,,,,,,,
1701851805000,14502.91666666,14555.81666666,,,,,,,
1701851810000,14766.1,14814.31666666,,,,,,,
1701851815000,14778.7,14806.466666659999,,,,,,,
1701851820000,14779.116666659998,14823.283333329999,,,,,,,
1701851825000,15140.283333329999,15095.66666666,,,,,,,
1701851830000,14954.18333333,14962.23333333,,,,,,,
1701851835000,15221.06666666,15657.133333329999,,,,,,,
1701851840000,14830.783333329999,15045.35,,,,,,,
1701851845000,15819.266666659998,15856.65,,,,,,,
1701851850000,15482.48333333,15623.75,,,,,,,
1701851855000,15014.7,15271.58333333,,,,,,,
1701851860000,15435.83333333,15530.033333329999,,,,,,,
1701851865000,15796.133333329999,15821.08333333,,,,,,,
1701851870000,15178.25,15212.366666659998,,,,,,,
1701851875000,15408.0,15500.5,,,,,,,
1701851880000,15222.0,15257.55,,,,,,,
1701851885000,14620.1,14854.05,,,,,,,
1701851890000,15420.68333333,15536.16666666,,,,,,,
1701851895000,15307.65,15301.95,,,,,,,
1701851900000,15408.93333333,15494.81666666,,,,,,,
1701851905000,,,,,,,,,
1701851950000,0.0,0.0,0.0,,,,,,
1701851955000,0.0,0.0,0.0,,,,,,
1701851960000,10.5,8.9,1.533333333333,,,,,,
1701851965000,162.45,146.15,50.25,,,,,,
1701851970000,637.4333333333,701.55,647.8666666666,,,,,,
1701851975000,1920.8666666666,2074.5833333333,1967.6833333332997,,,,,,
1701851980000,3252.2166666666,3383.58333333,3209.7833333332997,,,,,,
1701851985000,4021.75,4157.88333333,3971.03333333,,,,,,
1701851990000,4967.58333333,5208.55,5054.93333333,,,,,,
1701851995000,6074.566666670001,6459.366666670001,6141.7,,,,,,
1701852000000,7210.7,7369.233333329999,7006.65,,,,,,
1701852005000,8086.86666666,8325.55,7882.11666666,,,,,,
1701852010000,9245.26666666,9586.46666666,9159.51666666,,,,,,
1701852015000,10449.61666666,10716.33333333,10191.31666666,,,,,,
1701852020000,11157.56666666,11509.33333333,10949.3,,,,,,
1701852025000,12291.15,12601.466666659999,12070.883333329999,,,,,,
1701852030000,13017.766666659998,13423.016666659998,12757.56666666,,,,,,
1701852035000,12578.9,12998.9,12364.633333329999,,,,,,
1701852040000,12756.45,13067.133333329999,12427.716666659999,,,,,,
1701852045000,13232.5,13486.65,12808.08333333,,,,,,
1701852050000,13242.633333329999,13551.283333329999,12828.08333333,,,,,,
1701852055000,13071.6,13354.133333329999,12699.95,,,,,,
1701852060000,13579.98333333,13923.48333333,13249.216666659999,,,,,,
1701852065000,13618.1,13923.3,13287.8,,,,,,
1701852070000,13434.45,13593.466666659999,12886.93333333,,,,,,
1701852075000,13378.31666666,13861.83333333,13205.31666666,,,,,,
1701852080000,13954.05,14415.81666666,13713.48333333,,,,,,
1701852085000,13919.7,14317.033333329999,13607.5,,,,,,
1701852090000,14078.7,14477.4,13633.41666666,,,,,,
1701852095000,14452.783333329999,14625.05,13912.8,,,,,,
1701852100000,14196.8,14479.633333329999,13781.06666666,,,,,,
1701852105000,14337.116666659998,14674.23333333,13953.55,,,,,,
1701852110000,14571.68333333,14749.06666666,13985.616666659998,,,,,,
1701852115000,14817.466666659999,15034.15,14294.31666666,,,,,,
1701852120000,14540.73333333,14789.6,14048.6,,,,,,
1701852125000,14640.35,14952.1,14214.16666666,,,,,,
1701852130000,14817.23333333,15153.25,14407.43333333,,,,,,
1701852135000,14761.33333333,15001.23333333,14360.466666659999,,,,,,
1701852140000,14931.98333333,15039.0,14305.81666666,,,,,,
1701852145000,14766.533333329999,15130.616666659998,14499.766666659998,,,,,,
1701852150000,14324.866666659998,14603.266666659998,14038.08333333,,,,,,
1701852155000,14780.5,14978.48333333,14244.93333333,,,,,,
1701852160000,14701.48333333,14980.466666659999,14246.41666666,,,,,,
1701852165000,13877.5,14396.41666666,13695.18333333,,,,,,
1701852170000,13389.68333333,13823.8,13105.0,,,,,,
1701852175000,14253.216666659999,14447.73333333,13781.883333329999,,,,,,
1701852180000,13973.75,14308.83333333,13619.716666659999,,,,,,
1701852185000,14226.7,14532.75,14023.15,,,,,,
1701852190000,14320.5,14761.16666666,14034.033333329999,,,,,,
1701852195000,14298.83333333,14618.283333329999,13788.45,,,,,,
1701852200000,14320.91666666,14715.95,13995.966666659999,,,,,,
1701852205000,14421.33333333,14607.85,13791.56666666,,,,,,
1701852210000,14582.716666659999,14701.383333329999,13996.866666659998,,,,,,
1701852215000,14438.9,14850.05,14131.45,,,,,,
1701852220000,14462.266666659998,14881.45,14165.18333333,,,,,,
1701852225000,14891.15,15148.116666659998,14380.43333333,,,,,,
1701852230000,15492.81666666,15689.43333333,14963.55,,,,,,
1701852235000,14609.73333333,14947.783333329999,14172.9,,,,,,
1701852240000,14733.58333333,15123.5,14433.95,,,,,,
1701852245000,14752.18333333,15253.0,14302.48333333,,,,,,
1701852250000,14816.6,15198.516666659998,14461.383333329999,,,,,,
1701852255000,15305.5,15512.15,14756.55,,,,,,
1701852260000,14954.4,15261.966666659999,14508.81666666,,,,,,
1701852265000,14954.05,15290.783333329999,14532.31666666,,,,,,
1701852270000,15065.883333329999,15410.766666659998,14653.516666659998,,,,,,
1701852275000,14660.7,14905.9,14165.7,,,,,,
1701852280000,14575.116666659998,14893.466666659999,14143.73333333,,,,,,
1701852285000,14795.3,15014.45,14303.716666659999,,,,,,
1701852290000,14495.48333333,14856.883333329999,14118.866666659998,,,,,,
1701852295000,14632.16666666,15011.2,14283.266666659998,,,,,,
1701852300000,14636.633333329999,14940.283333329999,14161.16666666,,,,,,
1701852305000,14449.633333329999,14569.366666659998,13861.48333333,,,,,,
1701852310000,14161.616666659998,14312.783333329999,13593.266666659998,,,,,,
1701852315000,13957.0,14266.31666666,13563.516666659998,,,,,,
1701852320000,14404.43333333,14589.766666659998,13870.73333333,,,,,,
1701852325000,14202.716666659999,14747.0,14029.3,,,,,,
1701852330000,14643.16666666,14987.81666666,14249.15,,,,,,
1701852335000,14396.93333333,14743.716666659999,14023.25,,,,,,
1701852340000,14039.9,14515.16666666,13812.16666666,,,,,,
1701852345000,14484.05,14846.7,14116.08333333,,,,,,
1701852350000,14650.43333333,14990.116666659998,14269.883333329999,,,,,,
1701852355000,14401.116666659998,14689.283333329999,13987.06666666,,,,,,
1701852360000,14437.216666659999,14840.216666659999,14110.9,,,,,,
1701852365000,14659.9,15134.766666659998,14377.31666666,,,,,,
1701852370000,14923.73333333,15275.466666659999,14545.25,,,,,,
1701852375000,14674.08333333,15145.25,14403.85,,,,,,
1701852380000,14534.91666666,14996.68333333,14273.783333329999,,,,,,
1701852385000,14560.16666666,14698.75,13987.383333329999,,,,,,
1701852390000,14028.883333329999,14338.93333333,13643.93333333,,,,,,
1701852395000,13619.4,14196.2,13497.16666666,,,,,,
1701852400000,14907.266666659998,15204.05,14482.2,,,,,,
1701852405000,,,0.0,,,,,,
1701852410000,0.0,0.0,0.0,,,,,,
1701852415000,,,,,,,,,
1701852460000,0.0,0.0,0.0,0.0,,,,,
1701852465000,0.0,0.0,0.0,0.0,,,,,
1701852470000,198.4166666666,284.2,0.0,190.4166666666,,,,,
1701852475000,638.2333333333,598.7833333333,235.6833333333,715.0833333333,,,,,
1701852480000,984.65,1133.9,603.3166666666,1122.35,,,,,
1701852485000,1681.7166666666,1863.75,1003.7833333333,1953.7666666666,,,,,
1701852490000,2479.7,2685.4833333333,1841.7166666666,2655.2833333332997,,,,,
1701852495000,3443.61666667,3658.31666667,2700.0166666666,3721.68333333,,,,,
1701852500000,4264.3,4529.01666667,3675.73333333,4690.95,,,,,
1701852505000,5332.03333333,5440.15,4552.28333333,5585.4,,,,,
1701852510000,6212.83333333,6414.266666670001,5474.48333333,6469.866666670001,,,,,
1701852515000,6946.41666666,7309.383333329999,6449.133333329999,7221.65,,,,,
1701852520000,7862.26666666,8129.61666666,7348.56666666,8255.85,,,,,
1701852525000,9089.633333329999,9248.48333333,8174.33333333,9137.85,,,,,
1701852530000,9635.11666666,9713.11666666,9283.25,9679.66666666,,,,,
1701852535000,10296.36666666,10664.26666666,9825.31666666,10411.283333329999,,,,,
1701852540000,10831.15,11125.4,10718.3,11099.33333333,,,,,
1701852545000,11292.25,11336.783333329999,11318.75,11087.01666666,,,,,
1701852550000,11536.7,11544.0,11428.533333329999,11533.883333329999,,,,,
1701852555000,11612.85,11671.7,11604.9,11646.58333333,,,,,
1701852560000,11473.6,11728.43333333,11734.633333329999,11570.716666659999,,,,,
1701852565000,11789.283333329999,11908.266666659998,11790.16666666,11732.516666659998,,,,,
1701852570000,11897.58333333,11976.73333333,11961.4,11753.05,,,,,
1701852575000,11867.2,12076.45,12047.516666659998,12023.216666659999,,,,,
1701852580000,12168.116666659998,12232.516666659998,12139.266666659998,11855.966666659999,,,,,
1701852585000,12113.68333333,12312.05,12293.883333329999,12158.033333329999,,,,,
1701852590000,12171.81666666,12392.0,12385.66666666,12394.23333333,,,,,
1701852595000,11857.23333333,12170.65,12445.83333333,12218.616666659998,,,,,
1701852600000,12244.65,12464.616666659998,12236.016666659998,12288.68333333,,,,,
1701852605000,12165.516666659998,12373.266666659998,12460.08333333,12225.58333333,,,,,
1701852610000,12370.65,12599.81666666,12437.716666659999,12303.766666659998,,,,,
1701852615000,12376.81666666,12617.133333329999,12667.98333333,12522.33333333,,,,,
1701852620000,12747.25,12966.58333333,12655.23333333,12753.83333333,,,,,
1701852625000,12585.383333329999,12889.73333333,13033.716666659999,12557.783333329999,,,,,
1701852630000,12776.18333333,13029.98333333,12962.75,13042.883333329999,,,,,
1701852635000,13847.08333333,13808.783333329999,13115.533333329999,13546.73333333,,,,,
1701852640000,13684.06666666,14013.23333333,13878.1,13958.366666659998,,,,,
1701852645000,13549.866666659998,13873.75,14000.783333329999,13844.1,,,,,
1701852650000,13882.41666666,14121.81666666,13950.15,13801.91666666,,,,,
1701852655000,13999.533333329999,14239.08333333,14178.95,13965.0,,,,,
1701852660000,13991.23333333,14199.633333329999,14311.41666666,14147.85,,,,,
1701852665000,14087.016666659998,14548.016666659998,14345.15,14415.56666666,,,,,
1701852670000,14067.016666659998,14310.116666659998,14398.6,14133.383333329999,,,,,
1701852675000,14100.766666659998,14372.966666659999,14379.91666666,13987.68333333,,,,,
1701852680000,14009.883333329999,14252.66666666,14385.883333329999,13938.616666659998,,,,,
1701852685000,13985.633333329999,14140.48333333,14328.466666659999,14205.68333333,,,,,
1701852690000,13914.23333333,14153.8,14211.08333333,13746.41666666,,,,,
1701852695000,13270.16666666,13536.68333333,14262.133333329999,13397.43333333,,,,,
1701852700000,13093.133333329999,13488.05,13581.93333333,13357.23333333,,,,,
1701852705000,13266.8,13558.45,13644.5,13299.283333329999,,,,,
1701852710000,13411.75,13751.85,13630.7,13799.65,,,,,
1701852715000,13636.783333329999,13645.016666659998,13839.116666659998,13376.25,,,,,
1701852720000,13774.366666659998,13794.81666666,13698.85,13569.23333333,,,,,
1701852725000,13479.58333333,13737.56666666,13783.31666666,13555.716666659999,,,,,
1701852730000,13568.68333333,13801.08333333,14033.08333333,13648.08333333,,,,,
1701852735000,13521.866666659998,13756.05,13878.283333329999,13548.9,,,,,
1701852740000,13604.33333333,13834.616666659998,13837.283333329999,13791.383333329999,,,,,
1701852745000,13821.033333329999,14238.9,13907.65,13829.766666659998,,,,,
1701852750000,13953.633333329999,14231.9,14322.08333333,14059.966666659999,,,,,
1701852755000,13665.8,14117.6,14207.616666659998,14095.783333329999,,,,,
1701852760000,13999.33333333,14001.7,14220.516666659998,13912.4,,,,,
1701852765000,14040.75,14140.06666666,14072.5,14035.1,,,,,
1701852770000,13794.633333329999,13921.15,14212.05,13570.3,,,,,
1701852775000,13594.95,13884.25,13992.08333333,13905.48333333,,,,,
1701852780000,13376.2,13651.43333333,13974.283333329999,13533.766666659998,,,,,
1701852785000,13232.0,13455.516666659998,13797.75,13258.93333333,,,,,
1701852790000,13034.68333333,13415.56666666,13527.766666659998,13254.283333329999,,,,,
1701852795000,12932.95,13100.116666659998,13484.65,13132.48333333,,,,,
1701852800000,12846.81666666,12872.98333333,13247.45,12860.466666659999,,,,,
1701852805000,12619.266666659998,12762.81666666,12939.23333333,12792.83333333,,,,,
1701852810000,12569.16666666,12735.98333333,12827.98333333,12590.06666666,,,,,
1701852815000,12743.716666659999,12799.48333333,12854.56666666,12770.783333329999,,,,,
1701852820000,12630.91666666,13077.6,12866.4,12802.31666666,,,,,
1701852825000,12735.5,13008.4,13149.516666659998,12768.91666666,,,,,
1701852830000,12899.93333333,13186.23333333,13076.83333333,12997.266666659998,,,,,
1701852835000,12843.08333333,13229.18333333,13258.93333333,12885.9,,,,,
1701852840000,12784.66666666,13030.016666659998,13281.216666659999,12680.716666659999,,,,,
1701852845000,13370.2,13363.98333333,13110.98333333,13219.8,,,,,
1701852850000,13193.06666666,13277.133333329999,13406.866666659998,13357.033333329999,,,,,
1701852855000,13388.33333333,13608.81666666,13345.83333333,13459.616666659998,,,,,
1701852860000,13547.16666666,13863.9,13664.1,13655.93333333,,,,,
1701852865000,13762.06666666,14071.55,13936.883333329999,13742.7,,,,,
1701852870000,13808.866666659998,14062.016666659998,14134.91666666,14087.93333333,,,,,
1701852875000,13904.83333333,14087.75,14119.08333333,13856.116666659998,,,,,
1701852880000,14012.266666659998,14019.016666659998,14160.533333329999,13738.466666659999,,,,,
1701852885000,13885.6,14098.0,14092.43333333,13899.2,,,,,
1701852890000,13820.75,13994.48333333,14174.56666666,13819.73333333,,,,,
1701852895000,13899.533333329999,14148.33333333,14064.6,14106.68333333,,,,,
1701852900000,14373.25,14545.15,14239.45,14371.116666659998,,,,,
1701852905000,14106.91666666,14343.766666659998,14560.383333329999,14154.58333333,,,,,
1701852910000,14251.05,14501.533333329999,14443.033333329999,14251.366666659998,,,,,
1701852915000,,,14575.633333329999,,,,,,
1701852920000,,,,,,,,,
1701852960000,0.0,0.0,0.0,,0.0,,,,
1701852965000,0.0,0.0,0.0,0.0,0.0,,,,
1701852970000,105.1666666666,153.3166666666,110.4666666666,0.26666666666666,0.0,,,,
1701852975000,484.35,479.5,476.35,105.35,191.15,,,,
1701852980000,843.3166666666,921.9333333333,966.1,477.4166666666,460.9166666666,,,,
1701852985000,1524.65,1586.55,1552.05,910.7666666666,962.4333333333,,,,
1701852990000,1889.6,2110.5833333333,2070.8,1564.65,1506.1333333332998,,,,
1701852995000,2589.3833333333,2717.8833333333,2566.0666666666,2081.8,2010.85,,,,
1701853000000,3439.48333333,3653.51666667,3581.98333333,2793.3,2647.2333333333,,,,
1701853005000,4405.1,4568.26666667,4456.6,3680.15,3527.95,,,,
1701853010000,5130.81666667,5366.61666667,5235.4,4584.65,4399.95,,,,
1701853015000,5996.4,6198.08333333,6078.016666670001,5346.08333333,5142.75,,,,
1701853020000,6689.78333333,7009.96666666,6859.233333329999,6110.71666667,5894.983333329999,,,,
1701853025000,7670.76666666,7758.1,7606.81666666,6910.78333333,6678.86666666,,,,
1701853030000,8265.35,8392.48333333,8250.68333333,7648.28333333,7390.45,,,,
1701853035000,8725.68333333,9069.45,8883.58333333,8382.5,8007.21666666,,,,
1701853040000,9076.8,9343.86666666,9088.8,8935.383333329999,8635.26666666,,,,
1701853045000,9324.06666666,9580.783333329999,9390.65,9214.7,8823.11666666,,,,
1701853050000,9947.31666666,10013.16666666,9800.11666666,9492.43333333,9177.36666666,,,,
1701853055000,10143.55,10344.883333329999,10217.85,9866.58333333,9538.5,,,,
1701853060000,10210.33333333,10390.133333329999,10183.15,10149.05,9840.133333329999,,,,
1701853065000,10410.55,10545.26666666,10311.73333333,10163.05,9850.0,,,,
1701853070000,10769.23333333,10719.75,10491.51666666,10335.11666666,10016.33333333,,,,
1701853075000,10765.48333333,10931.18333333,10679.58333333,10470.51666666,10179.7,,,,
1701853080000,11255.16666666,11172.01666666,10911.35,10777.95,10422.21666666,,,,
1701853085000,11280.98333333,11415.383333329999,11155.6,11075.75,10699.01666666,,,,
1701853090000,11551.266666659998,11607.08333333,11389.93333333,11307.36666666,10876.11666666,,,,
1701853095000,11642.93333333,11757.83333333,11470.41666666,11377.71666666,10998.21666666,,,,
1701853100000,12305.883333329999,12451.81666666,12208.4,11606.18333333,11213.23333333,,,,
1701853105000,12441.633333329999,12388.283333329999,12147.9,12265.85,11854.06666666,,,,
1701853110000,12426.55,12525.81666666,12255.883333329999,12163.56666666,11763.2,,,,
