,flink_taskmanager_job_task_numRecordsInPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks
,0
Timestamp,
1737228955000,0.0
1737228960000,0.0
1737228965000,2329.1166666666
1737228970000,2340.1333333333
1737228975000,8733.15
1737228980000,17261.733333329998
1737228985000,17261.733333329998
1737228990000,26178.15
1737228995000,26178.15
1737229000000,26178.15
1737229005000,29915.36666666
1737229010000,32673.183333330002
1737229015000,32673.183333330002
1737229020000,35458.13333333
1737229025000,36072.233333330005
1737229030000,36061.216666659995
1737229035000,35478.38333333
1737229040000,26949.8
1737229045000,30487.7
1737229050000,24372.083333330003
1737229055000,24526.46666666
1737229060000,25954.35
1737229065000,26333.95
1737229070000,29689.3
1737229075000,29689.3
1737229080000,32583.1
1737229085000,29639.883333330003
1737229090000,33132.36666666
1737229095000,29416.75
1737229100000,31225.95
1737229105000,31646.11666666
1737229110000,28845.316666659997
1737229115000,32704.35
1737229120000,32728.65
1737229125000,36149.38333333
1737229130000,35901.76666666
1737229135000,41926.733333330005
1737229140000,41850.1
1737229145000,41850.1
1737229150000,44059.4
1737229155000,41964.83333333
1737229160000,44770.716666659995
1737229165000,42159.61666666
1737229170000,42481.55
1737229175000,43848.16666666
1737229180000,42395.983333330005
1737229185000,36203.93333333
1737229190000,30740.7
1737229195000,
