,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,0,1
Timestamp,,
1707944305000,0.0,
1707944310000,0.0,
1707944315000,0.0,
1707944320000,425.75,
1707944325000,761.6833333333,
1707944330000,761.6833333333,
1707944335000,761.6833333333,
1707944340000,3909.26666667,
1707944345000,10305.16666666,
1707944350000,17200.5,
1707944355000,25117.2,
1707944360000,33798.35,
1707944365000,42077.91666666,
1707944370000,51360.25,
1707944375000,60800.2,
1707944380000,69670.76666666,
1707944385000,78598.2,
1707944390000,87356.71666666,
1707944395000,95331.91666665999,
1707944400000,100272.08333333,
1707944405000,102963.75,
1707944410000,105174.25,
1707944415000,106573.81666665999,
1707944420000,107178.91666665999,
1707944425000,108098.66666665999,
1707944430000,108243.0,
1707944435000,108171.2,
1707944440000,108384.63333333,
1707944445000,108677.26666666,
1707944450000,109345.41666665999,
1707944455000,110935.86666665999,
1707944460000,112331.03333333,
1707944465000,109979.03333333,
1707944470000,110335.21666666,
1707944475000,110560.18333333,
1707944480000,110817.61666665999,
1707944485000,111221.18333333,
1707944490000,111140.7,
1707944495000,111313.93333333,
1707944500000,111366.6,
1707944505000,111406.36666665999,
1707944510000,111466.25,
1707944515000,111450.45,
1707944520000,111350.31666665999,
1707944525000,114102.06666665999,
1707944530000,114122.76666666,
1707944535000,114127.61666665999,
1707944540000,113802.4,
1707944545000,113742.96666666,
1707944550000,113837.3,
1707944555000,113916.88333333,
1707944560000,113880.18333333,
1707944565000,113796.5,
1707944570000,113503.55,
1707944575000,113516.43333333,
1707944580000,113571.11666665999,
1707944585000,112269.88333333,
1707944590000,112299.38333333,
1707944595000,112292.96666666,
1707944600000,112627.6,
1707944605000,112380.33333333,
1707944610000,112284.9,
1707944615000,111922.4,
1707944620000,111806.91666665999,
1707944625000,111777.26666666,
1707944630000,111908.9,
1707944635000,111857.65,
1707944640000,111917.76666666,
1707944645000,113157.95,
1707944650000,112299.63333333,
1707944655000,112320.71666666,
1707944660000,112318.9,
1707944665000,112626.76666666,
1707944670000,112832.21666666,
1707944675000,113194.58333333,
1707944680000,113206.71666666,
1707944685000,,
1707944690000,0.0,
1707944695000,9664.83333333,
1707944700000,,
1707944745000,0.0,0.0
1707944750000,0.0,725.1333333333
1707944755000,623.3666666666,4925.3
1707944760000,4883.46666667,10628.98333333
1707944765000,10575.81666666,14447.41666666
1707944770000,14409.23333333,19821.78333333
1707944775000,19791.78333333,25313.133333330003
1707944780000,25265.566666659997,30946.15
1707944785000,30896.16666666,37255.25
1707944790000,37216.75,42908.55
1707944795000,42944.78333333,46454.45
1707944800000,46386.83333333,51576.45
1707944805000,51512.88333333,58131.95
1707944810000,58161.45,64174.516666660005
1707944815000,64210.483333330005,66720.33333333
1707944820000,66872.2,68242.86666666
1707944825000,68350.53333333001,71473.7
1707944830000,71456.88333333,73092.41666666
1707944835000,73042.45,74537.36666666
1707944840000,74612.61666666,75837.55
1707944845000,75894.98333333,76280.33333333
1707944850000,76317.8,77179.9
1707944855000,77252.88333333,80548.6
1707944860000,80613.6,82349.96666666001
1707944865000,82368.06666666,82730.73333333
1707944870000,82764.41666666,82899.35
1707944875000,82983.31666666,83270.1
1707944880000,83199.28333333001,83199.28333333001
1707944885000,83166.9,82875.93333333
1707944890000,82941.11666666,82814.85
1707944895000,82993.96666666001,82828.66666666
1707944900000,82894.21666666001,82752.53333333001
1707944905000,82741.6,82946.96666666001
1707944910000,82957.06666666,83223.81666666
1707944915000,83164.11666666,83187.23333333
1707944920000,83212.93333333,82063.5
1707944925000,82200.1,82376.31666666
1707944930000,82321.56666666,82628.56666666
1707944935000,82634.98333333,82570.26666666
1707944940000,82648.9,82726.65
1707944945000,82738.71666666001,83128.7
1707944950000,83078.71666666001,82897.58333333
1707944955000,82800.43333333,82947.26666666
1707944960000,82959.66666666,83334.93333333
1707944965000,83336.71666666001,83423.08333333
1707944970000,83452.16666666,83731.56666666
1707944975000,83748.56666666,84182.8
1707944980000,84271.61666666,85475.63333333
1707944985000,85396.75,85564.33333333
1707944990000,85549.38333333,85738.53333333001
1707944995000,85720.0,85153.38333333
1707945000000,85042.13333333,84855.91666666
1707945005000,84841.35,84770.66666666
1707945010000,84831.41666666,85069.8
1707945015000,85045.01666666,84965.35
1707945020000,84898.78333333001,84523.31666666
1707945025000,84613.08333333,84613.08333333
1707945030000,84560.1,84014.93333333
1707945035000,84011.43333333,83425.56666666
1707945040000,83338.06666666,83445.26666666
1707945045000,83393.35,82854.53333333001
1707945050000,82939.48333333,82435.23333333
1707945055000,82459.16666666,82472.51666666
1707945060000,82454.55,82212.78333333001
1707945065000,82196.36666666,82292.6
1707945070000,82249.71666666001,82444.08333333
1707945075000,82528.75,82633.8
1707945080000,82608.86666666,83004.46666666001
1707945085000,82875.13333333,82953.8
1707945090000,82967.06666666,83219.63333333
1707945095000,83186.0,83419.7
1707945100000,83425.73333333,83006.21666666001
1707945105000,83039.11666666,83024.26666666
1707945110000,82903.01666666,83182.23333333
1707945115000,83135.68333333,83943.88333333
1707945120000,84016.63333333,84351.05
1707945125000,84370.8,84414.85
1707945130000,84468.55,83434.01666666
1707945135000,83424.05,
