Parallelism,Throughput,ThroughputStdErr,BusyTime,BusyTimeStdErr,Predictions
0,0.0,0.0,,,
1,14482.04753787602,500.1128263447938,911.1931818181819,23.219353846883234,
2,27475.520555548923,833.6167663481173,872.6166666666667,4.432170900234883,35502.0
3,39175.817037027846,1125.4288841621976,841.318352059925,5.206819404899122,48130.0
4,51017.26235953902,1621.1632794668278,798.6067415730337,7.645213823144373,54362.0
5,59120.45580522842,1910.5633173474778,701.0044943820225,11.646266811315733,72067.0
6,61984.99186044691,2178.5138323255505,646.9147286821706,10.618313703394104,59431.0
7,59863.97848835188,1902.0925977309573,528.4518272425249,5.237642870632157,79217.0
