Timestamp,"('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 0)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 0)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 2)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 1)",flink_jobmanager_job_lastCheckpointSize,flink_jobmanager_job_lastCheckpointDuration,Parallelism
0,0.0,1000.0,0.0,0.0,376257.0,510.0,1
5,0.0,1000.0,0.0,0.0,4102078.0,329.0,1
10,2291.9,0.0,0.0,0.0,4606702.0,142.0,1
15,2291.9,0.0,0.0,0.0,3403032.0,661.0,1
20,8106.41666666,193.0,231.0,181.0,7501994.0,4620.0,1
25,11622.216666659999,395.0,476.0,398.0,20977269.0,1084.0,1
30,18866.33333333,516.0,542.0,481.0,20977269.0,1084.0,1
35,18866.33333333,596.0,619.0,555.0,20977269.0,1084.0,1
40,18866.33333333,654.0,673.0,610.0,20977269.0,1084.0,1
45,18866.33333333,697.0,714.0,654.0,14520494.0,410.0,1
50,29545.11666666,731.0,1000.0,1000.0,14520494.0,410.0,1
55,29545.11666666,758.0,1000.0,1000.0,14520494.0,410.0,1
60,29545.11666666,780.0,1000.0,1000.0,14520494.0,410.0,1
65,29631.36666666,798.0,1000.0,1000.0,28402648.0,544.0,1
70,33879.76666666,908.0,1000.0,1000.0,28402648.0,544.0,1
75,33879.76666666,994.0,1000.0,1000.0,26976847.0,531.0,1
80,33986.75,1000.0,1000.0,1000.0,26976847.0,531.0,1
85,30470.95,1000.0,1000.0,1000.0,29788410.0,9758.0,1
90,25984.516666659998,1000.0,1000.0,1000.0,19113165.0,410.0,1
95,28913.05,1000.0,1000.0,1000.0,19113165.0,410.0,1
100,29219.083333330003,1000.0,1000.0,1000.0,27511333.0,9320.0,1
105,30216.65,1000.0,1000.0,1000.0,11229721.0,370.0,1
110,23767.41666666,1000.0,1000.0,1000.0,16872636.0,370.0,1
115,27700.15,1000.0,1000.0,1000.0,16872636.0,370.0,1
120,28027.98333333,1000.0,1000.0,1000.0,9277539.0,335.0,1
125,33795.4,1000.0,1000.0,1000.0,9277539.0,335.0,1
130,27255.1,1000.0,1000.0,1000.0,6401419.0,328.0,1
135,32855.8,1000.0,1000.0,1000.0,6401419.0,328.0,1
140,26934.3,1000.0,1000.0,1000.0,18174482.0,645.0,1
145,33096.41666666,1000.0,1000.0,1000.0,18174482.0,645.0,1
150,30338.73333333,1000.0,1000.0,1000.0,18563992.0,430.0,1
155,32858.18333333,1000.0,1000.0,1000.0,18563992.0,430.0,1
160,32552.15,1000.0,1000.0,1000.0,16233509.0,8670.0,1
165,32763.766666659998,1000.0,1000.0,1000.0,15270179.0,716.0,1
170,34981.466666659995,1000.0,1000.0,1000.0,19608007.0,903.0,1
175,36614.3,1000.0,1000.0,1000.0,26541530.0,3776.0,1
180,39382.85,1000.0,1000.0,1000.0,15645845.0,476.0,1
185,36791.66666666,1000.0,1000.0,1000.0,15645845.0,476.0,1
190,37106.75,1000.0,1000.0,1000.0,23868821.0,523.0,1
195,36839.5,1000.0,1000.0,1000.0,23868821.0,523.0,1
200,36839.5,1000.0,1000.0,1000.0,23902630.0,445.0,1
205,36582.56666666,1000.0,1000.0,1000.0,23902630.0,445.0,1
210,36582.56666666,1000.0,1000.0,1000.0,30269627.0,574.0,1
215,36741.28333333,1000.0,1000.0,1000.0,30269627.0,574.0,1
220,36741.28333333,1000.0,1000.0,1000.0,24623758.0,485.0,1
225,37216.03333333,1000.0,1000.0,1000.0,23809981.0,3915.0,1
230,31563.71666666,1000.0,1000.0,1000.0,21824053.0,671.0,1
235,32178.583333330003,1000.0,1000.0,1000.0,33590127.0,1144.0,1
240,34973.466666659995,1000.0,1000.0,1000.0,29807023.0,1193.0,1
245,,,,,,,0
