,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks
,0,1
Timestamp,,
1736792485000,0.0,
1736792490000,0.0,
1736792495000,1336.8666666666,
1736792500000,3615.65,
1736792505000,6778.91666666,
1736792510000,10908.1,
1736792515000,18280.85,
1736792520000,23358.583333330003,
1736792525000,25738.28333333,
1736792530000,30106.316666659997,
1736792535000,32203.583333330003,
1736792540000,33884.61666666,
1736792545000,40006.86666666,
1736792550000,40006.86666666,
1736792555000,38670.0,
1736792560000,40371.16666666,
1736792565000,39047.9,
1736792570000,34918.716666659995,
1736792575000,29544.016666659998,
1736792580000,27687.516666659998,
1736792585000,25307.816666659997,
1736792590000,20939.78333333,
1736792595000,18880.733333329998,
1736792600000,20217.15,
1736792605000,20236.63333333,
1736792610000,25146.86666666,
1736792615000,27760.066666659997,
1736792620000,28590.4,
1736792625000,32268.316666659997,
1736792630000,37900.966666659995,
1736792635000,35904.8,
1736792640000,36310.4,
1736792645000,38734.9,
1736792650000,38734.9,
1736792655000,39228.733333330005,
1736792660000,36211.28333333,
1736792665000,30069.55,
1736792670000,28073.1,
1736792675000,28488.98333333,
1736792680000,29280.66666666,
1736792685000,29723.766666659998,
1736792690000,27536.683333330002,
1736792695000,31122.066666659997,
1736792700000,33033.7,
1736792705000,35639.216666659995,
1736792710000,36143.0,
1736792715000,39270.41666666,
1736792720000,41109.03333333,
1736792725000,41109.03333333,
1736792730000,39100.08333333,
1736792735000,36071.0,
1736792740000,30720.3,
1736792745000,,
1736792765000,0.0,
1736792770000,0.0,0.0
1736792775000,4311.21666667,1686.2166666666
1736792780000,7910.81666666,6121.733333329999
1736792785000,10261.05,10164.76666666
1736792790000,13987.266666659998,10648.46666666
1736792795000,15613.866666659998,14505.0
1736792800000,19590.66666666,18210.16666666
1736792805000,24401.766666659998,21837.65
1736792810000,27163.316666659997,26513.21666666
1736792815000,30264.35,29055.61666666
1736792820000,30264.35,30127.65
1736792825000,31925.266666659998,30127.65
1736792830000,33051.05,32898.466666659995
1736792835000,28739.833333330003,31212.25
1736792840000,28144.55,28173.21666666
1736792845000,25794.316666659997,25749.21666666
1736792850000,23222.683333330002,25265.516666659998
1736792855000,23511.16666666,24452.48333333
1736792860000,19534.36666666,20747.316666659997
1736792865000,15225.766666659998,17638.0
1736792870000,13309.616666659998,12962.43333333
1736792875000,14938.883333329999,13439.23333333
1736792880000,19196.68333333,16654.03333333
1736792885000,22525.983333329998,21843.266666659998
1736792890000,24838.65,22954.75
1736792895000,27108.566666659997,24754.566666659997
1736792900000,24734.016666659998,26230.8
1736792905000,25111.5,24611.766666659998
1736792910000,26806.933333330002,27033.85
1736792915000,24891.85,24783.183333330002
1736792920000,26954.36666666,25031.133333330003
1736792925000,27426.7,27277.85
1736792930000,26581.3,27277.85
1736792935000,22260.36666666,24684.21666666
1736792940000,18172.6,20397.38333333
1736792945000,15864.25,16790.53333333
1736792950000,18050.25,16833.28333333
1736792955000,20605.35,20389.53333333
1736792960000,24102.883333330003,21590.5
1736792965000,26432.133333330003,26167.85
1736792970000,23912.78333333,24277.05
1736792975000,26457.316666659997,25420.333333330003
1736792980000,24394.8,26095.516666659998
1736792985000,25217.816666659997,23330.633333330003
1736792990000,26418.98333333,26326.516666659998
1736792995000,26009.61666666,25900.95
1736793000000,26439.3,26503.766666659998
1736793005000,23757.433333330002,24921.383333330003
1736793010000,21231.566666659997,21890.25
1736793015000,,
