,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks
,0,1
Timestamp,,
1736792490000,1000.0,
1736792495000,881.0,
1736792500000,941.0,
1736792505000,961.0,
1736792510000,971.0,
1736792515000,977.0,
1736792520000,981.0,
1736792525000,983.0,
1736792530000,986.0,
1736792535000,987.0,
1736792540000,989.0,
1736792545000,990.0,
1736792550000,991.0,
1736792555000,1000.0,
1736792560000,1000.0,
1736792565000,1000.0,
1736792570000,1000.0,
1736792575000,1000.0,
1736792580000,1000.0,
1736792585000,1000.0,
1736792590000,1000.0,
1736792595000,1000.0,
1736792600000,1000.0,
1736792605000,1000.0,
1736792610000,1000.0,
1736792615000,1000.0,
1736792620000,1000.0,
1736792625000,1000.0,
1736792630000,1000.0,
1736792635000,1000.0,
1736792640000,1000.0,
1736792645000,1000.0,
1736792650000,1000.0,
1736792655000,1000.0,
1736792660000,1000.0,
1736792665000,1000.0,
1736792670000,1000.0,
1736792675000,1000.0,
1736792680000,1000.0,
1736792685000,1000.0,
1736792690000,1000.0,
1736792695000,1000.0,
1736792700000,1000.0,
1736792705000,1000.0,
1736792710000,1000.0,
1736792715000,1000.0,
1736792720000,1000.0,
1736792725000,1000.0,
1736792730000,1000.0,
1736792735000,1000.0,
1736792740000,1000.0,
1736792745000,,
1736792765000,1000.0,
1736792770000,1000.0,1000.0
1736792775000,641.0,998.0
1736792780000,728.0,972.0
1736792785000,819.0,930.0
1736792790000,864.0,946.0
1736792795000,891.0,903.0
1736792800000,910.0,881.0
1736792805000,923.0,872.0
1736792810000,932.0,858.0
1736792815000,940.0,858.0
1736792820000,946.0,866.0
1736792825000,935.0,878.0
1736792830000,939.0,888.0
1736792835000,969.0,888.0
1736792840000,970.0,892.0
1736792845000,970.0,904.0
1736792850000,970.0,905.0
1736792855000,970.0,911.0
1736792860000,970.0,930.0
1736792865000,970.0,944.0
1736792870000,970.0,964.0
1736792875000,970.0,968.0
1736792880000,970.0,963.0
1736792885000,985.0,944.0
1736792890000,987.0,930.0
1736792895000,985.0,925.0
1736792900000,998.0,924.0
1736792905000,998.0,925.0
1736792910000,990.0,925.0
1736792915000,990.0,937.0
1736792920000,990.0,936.0
1736792925000,990.0,929.0
1736792930000,990.0,929.0
1736792935000,990.0,929.0
1736792940000,990.0,941.0
1736792945000,990.0,928.0
1736792950000,990.0,929.0
1736792955000,992.0,919.0
1736792960000,992.0,907.0
1736792965000,992.0,892.0
1736792970000,994.0,890.0
1736792975000,987.0,894.0
1736792980000,987.0,895.0
1736792985000,987.0,903.0
1736792990000,987.0,891.0
1736792995000,987.0,899.0
1736793000000,987.0,899.0
1736793005000,987.0,930.0
1736793010000,987.0,943.0
1736793015000,,
